timestamp;sn;text
2017-02-01 03:29:10;postpolitics;President Trump has already socked away more than $7 million for his 2020 reelection https://t.co/Jf8UGfnEn7
2017-02-01 03:20:53;postpolitics;‘Why let ‘em in?’ Understanding Bannon’s worldview and the policies that follow https://t.co/4xCBhnIrjl
2017-02-01 02:37:27;postpolitics;Trump’s nomination of Neil Gorsuch is a promise kept to conservative media https://t.co/ZY123WYHHx
2017-02-01 01:52:36;postpolitics;Supreme Court ‘Survivor’ reaches a dramatic conclusion! https://t.co/rTszwHh6ls
2017-02-01 01:16:37;postpolitics;Read some of Gorsuch's own words here https://t.co/kuuu0KuR4J
2017-02-01 01:16:11;postpolitics;It's still Justice Kennedy's Supreme Court https://t.co/T6USMXU96D
2017-02-01 01:09:17;postpolitics;Trump nominates Neil Gorsuch, a proponent of strictly interpreting the Constitution, to fill Supreme Court vacancy https://t.co/RKxErcWHVQ
2017-02-01 01:05:53;postpolitics;Trump picks Colo. appeals court judge Neil Gorsuch for Supreme Court https://t.co/Fd3Ubdsx24
2017-02-01 00:50:32;postpolitics;"Here are the two finalists for the vacancy on the Supreme Court; nomination to be announced at 8 pm https://t.co/p2D0oDtFp3"
2017-01-31 20:23:53;postpolitics;Congressional Democrats have declared war on Donald Trump https://t.co/rYdIfz7tl0
2017-01-31 20:17:19;postpolitics;Yes, Democrats are in real danger of becoming a regional party. Just look at these 2 maps. https://t.co/yjRylSmB2i
2017-01-31 19:41:14;postpolitics;Trump’s team is mad people are calling it a travel ‘ban,’ even though they also called it a ‘ban’ https://t.co/QNhl1b4BHP
2017-01-31 18:59:53;postpolitics;Elaine Chao is confirmed as secretary of transportation -- with some Democrats disssenting https://t.co/7bm39zcHQk
2017-01-31 18:45:14;postpolitics;Neil Gorsuch naturally equipped for his spot on Trump’s Supreme Court shortlist https://t.co/Av07Ap27w2
2017-01-31 16:50:25;postpolitics;Donald Trump’s White House is in chaos. And he loves every minute of it. https://t.co/xCk7BaL82k
2017-01-31 16:43:38;postpolitics;Did Donald Trump just set his relationship with Hill Republicans on fire? https://t.co/NHWBJYKFR2
2017-01-31 16:37:18;postpolitics;Learn about President Trump’s shortlist of Supreme Court nominees on The @washingtonpost's Instagram Story https://t.co/PIfaKvGxhP
2017-01-31 16:10:05;postpolitics;"Democrats boycott confirmation hearings for Price and Mnuchin, blocking votes
 https://t.co/G9M9htfTcc"
2017-01-31 15:58:40;postpolitics;How a looming fight over Trump’s Supreme Court nominee could change the Senate forever https://t.co/xP2WECzTXQ
2017-01-31 15:34:01;postpolitics;‘Monday Night Massacre’ sure is a catchy name. The media isn’t sure whether to use it. https://t.co/3Glc3NE5BB
2017-01-31 15:29:01;postpolitics;Catch up on what's being debated with the key terms here  https://t.co/250yYBGpZR
2017-01-31 15:28:19;postpolitics;"What could be the final Obamacare enrollment period ends tonight

https://t.co/W3EGr8p9hD"
2017-01-31 15:04:31;postpolitics;RT @mikedebonis: NEW: Betsy DeVos responses to Senate appear to include passages from uncited sources. w/ @emmersbrown https://t.co/S8XGxbf…
2017-01-31 14:48:32;postpolitics;Donald Trump firing Sally Yates isn’t the big story. How he did it is. https://t.co/q7gMhz5kXk
2017-01-31 14:10:14;postpolitics;Trump says he'll name his Supreme Court pick at 8 p.m. Here's what we know now https://t.co/VbWwuWKQJk
2017-01-31 14:09:17;postpolitics;"RT @wpjenna: The tale of a Trump falsehood: How his voter fraud claim spread like a virus. 
https://t.co/4yVK0jeHpH https://t.co/dekL1O5sXX"
2017-01-31 14:03:26;postpolitics;RT @PhilipRucker: .@wpjenna reconstructs one of President Trump's falsehoods and shows how it spreads https://t.co/zaGzQPpivB
2017-01-31 14:03:10;postpolitics;RT @DanEggenWPost: A defeat for Christian conservatives: White House says LGBT protections for federal workers will remain https://t.co/r77…
2017-01-31 13:09:51;postpolitics;Trump is making full use of Obama’s ‘pen and a phone’ precedent. How far will he take it? https://t.co/XDqEMcbt69
2017-01-31 12:45:05;postpolitics;Watch Sally Yates answer the question that got her fired by President Trump https://t.co/PgurUmrApR
2017-01-31 11:06:46;postpolitics;Kasich to publish ‘Two Paths,’ a book offering a contrast to Trump’s America https://t.co/01r1lYKdac
2017-01-31 08:07:28;postpolitics;Fact Checker:  Trump’s claim taking credit for cutting $600 million from the F-35 program https://t.co/vlD01w2Ujc
2017-01-30 23:27:04;postpolitics;Fact Checker:  The number of people affected by Trump’s travel ban: about 90,000 https://t.co/D5eY9EhMke
2017-01-30 21:16:18;postpolitics;Sean Spicer is right about one thing: The Democratic party isn’t very healthy https://t.co/UhzJTXw0Mm
2017-01-30 21:15:36;postpolitics;Spicer slams ‘pathetic’ criticism of Holocaust statement that omitted mention of Jews https://t.co/hFvS12MW20
2017-01-30 20:55:18;postpolitics;Trump allies launch nonprofit to support the administration’s agenda https://t.co/8t5FqlLIjY
2017-01-30 20:39:32;postpolitics;Spicer: Diplomats opposed to immigration ban should ‘either get with the program or they can go’ https://t.co/G7eGxEondO
2017-01-30 20:19:27;postpolitics;Scott Walker tells Republicans: ‘It’s put up or shut up time.’ https://t.co/HGdo8Jy8b9
2017-01-30 20:10:47;postpolitics;Sean Spicer is talking about President Trump’s audience size again https://t.co/FAexjGeLPQ
2017-01-30 19:32:10;postpolitics;How President Trump turns a reasonably popular policy into a mess https://t.co/Y0l4ON5Xms
2017-01-30 19:23:20;postpolitics;Obama rejects comparison between Trump’s immigration policy and his own, encourages protests https://t.co/SI4pnJtb2V
2017-01-30 19:00:37;postpolitics;Trump calls Canadian prime minister after mosque attack https://t.co/sfoEUUkBjo
2017-01-30 18:54:59;postpolitics;Trump orders that each new regulation should come with two eliminated regulations. https://t.co/Mcpl8IvHvP
2017-01-30 17:32:13;postpolitics;Fear of authoritarianism pervades Koch network seminar, as billionaire donors grapple with Trump… https://t.co/sKCfYVlZyK
2017-01-30 17:30:34;postpolitics;A fascinating theory from the world of sports about Donald Trump’s first 7 days https://t.co/A0HgqE0PaW
2017-01-30 17:26:11;postpolitics;Why most congressional Republicans probably won’t be speaking out against Trump’s travel ban https://t.co/EIArYlW6YV
2017-01-30 16:11:48;postpolitics;Republicans insist this isn’t a ‘Muslim ban.’ Trump and Giuliani aren’t helping them make that case. https://t.co/zfoM2hRUv9
2017-01-30 16:04:55;postpolitics;Trump to media: Hey, look over here at this other thing! https://t.co/i4KsvJCjU0
2017-01-30 15:36:43;postpolitics;RT @myhlee: The 1st Promise Broken on our Trump Promise Tracker: 5 yr ban on fmr WH, congressional officials becoming lobbyists https://t.c…
2017-01-30 15:29:13;postpolitics;Kellyanne Conway gave a master class in not answering questions in her Fox News interview https://t.co/iNJUFee182
2017-01-30 15:02:01;postpolitics;RT @edatpost: UPDATED: Everything you want to know about the Trump Cabinet confirmation hearings, votes. By @eliseviebeck  https://t.co/4CG…
2017-01-30 15:01:33;postpolitics;RT @eliseviebeck: To catch up on the weekend's news, check out @PowerPost's daily transition brief: https://t.co/653mTNxs6x
2017-01-30 14:53:05;postpolitics;Trump to unveil his Supreme Court pick at 8 p.m. Tuesday https://t.co/lyIbeebw7R
2017-01-30 14:23:40;postpolitics;Sean Spicer’s defense of the Trump travel order is all about fear https://t.co/oLVWDXbaMn
2017-01-30 14:19:31;postpolitics;Trump points blame elsewhere for weekend’s chaos around entry ban https://t.co/PERNh4KquO
2017-01-30 13:49:50;postpolitics;"RT @daveweigel: Re: Trump's tweet about ""Schumer's tears"" -- Schumer's crying was the lead story on Breitbart for most of Sunday. https://t…"
2017-01-30 13:40:38;postpolitics;"Whip Count: Here’s where Republicans stand on Trump’s controversial travel ban
 https://t.co/pDxCo7T2CY"
2017-01-30 13:31:27;postpolitics;These 36 people were among the first sworn in as new U.S. residents in Trump's America  https://t.co/xn2BNBgcY6
2017-01-30 13:22:26;postpolitics;Trump and his aides keep justifying the entry ban by citing attacks it couldn’t have prevented https://t.co/2HF6dKe0ky
