timestamp;sn;text
2017-07-18 23:37:01;POTUS;Today I announced my intent to nominate personnel to key Administration posts: https://t.co/7TTr0GOGmM
2017-07-18 19:31:35;POTUS;RT @WhiteHouse: Under @POTUS, the American worker will be championed. Read more about yesterday's #MadeInAmerica Showcase: https://t.co/N08…
2017-07-18 17:54:06;POTUS;Yesterday we celebrated amazing individuals from all 50 states whose products are #MadeInAmerica:… https://t.co/inJ77Vxg1b
2017-07-18 13:55:59;POTUS;RT @WhiteHouse: #MadeInAmerica Showcase in Photos: https://t.co/52adI2m0ig https://t.co/uKAOVYisXl
2017-07-18 02:54:08;POTUS;"RT @realDonaldTrump: Republicans should just REPEAL failing ObamaCare now &amp; work on a new Healthcare Plan that will start from a clean slat…"
2017-07-18 00:51:01;POTUS;"RT @WhiteHouse: ""We want to build, create, and grow more products in our country using American labor, American goods, and American grit.""…"
2017-07-17 23:50:15;POTUS;We had a very successful day at the @WhiteHouse for the #MadeInAmerica Product Showcase! https://t.co/Knn5h3vcjX
2017-07-17 23:36:01;POTUS;The United States once again calls for free and fair elections and stands with the people of Venezuela: https://t.co/ZL4zyVh8DU
2017-07-17 23:09:00;POTUS;RT @VP: Enjoyed welcoming American businesses from all 50 states to the @WhiteHouse w/ @POTUS to celebrate #MadeInAmerica Week. https://t.c…
2017-07-17 22:44:41;POTUS;RT @PressSec: Today @POTUS hosted American companies and featured their products at the @WhiteHouse for the #MadeInAmerica Showcase. https:…
2017-07-17 22:16:56;POTUS;Today I proclaimed July 17, 2017, as #MadeInAmerica Day and this week, July 16 - July 22, as #MadeInAmerica Week: https://t.co/mLb0ly966S
2017-07-17 15:13:06;POTUS;Today at the @WhiteHouse, we will be joined by companies from all 50 states to celebrate their products that are… https://t.co/0WNPKj1Cl4
2017-07-16 21:24:34;POTUS;"RT @WhiteHouse: .@POTUS: ""Our two nations are forever joined together by the spirit of revolution and the fight for freedom."" #POTUSinFranc…"
