timestamp;sn;text
2017-01-28 23:36:58;Reince;"RT @ScottWalker: Happy to see @POTUS , @VP &amp; my fellow cheesehead Reince in the Oval Office! https://t.co/s1Exx7enf0"
2017-01-28 23:20:13;Reince;Nice for my buddy @ScottWalker to stop by the Oval Office today and visit with @POTUS, @VP and I. #MAGA https://t.co/KuTjhgb7n3
2017-01-21 00:37:03;Reince;"RT @PressSec: .@potus signs documents to allow Mattis and Kelly to be sworn in &amp; exec order on #Obamacare https://t.co/CdGcGlyfbI"
2017-01-19 17:28:39;Reince;Now let's go #MakeAmericaGreatAgain ! https://t.co/Wg8nUUjOiY
2017-01-19 17:28:02;Reince;"And best wishes &amp; congrats to the new @GOP Chairwoman @RRMGOP &amp; Co-Chair @Paduch. The RNC is in the best possible hands with them"
2017-01-19 17:26:46;Reince;"Thank you to my Co-Chair, @SharonDay, &amp; rest of our staff. It's been a joy to see their incredible dedication. God's blessing to you all"
2017-01-19 17:25:16;Reince;"I'm very thankful &amp; blessed to have led @GOP for the past 6 years. It has been one of the great honors of my life"
2017-01-18 22:25:08;Reince;RT @realDonaldTrump: Looking forward to a speedy recovery for George and Barbara Bush, both hospitalized. Thank you for your wonderful lett…
2017-01-18 15:30:11;Reince;"Speaking at my last @GOP mtg as Chair. Discussing Cabinet, transition, victory, &amp; all we accomplished in the last 6… https://t.co/g4If1K7V4O"
2017-01-17 19:05:20;Reince;RT @realDonaldTrump: Thank you to General Motors and Walmart for starting the big jobs push back into the U.S.!
2017-01-16 16:52:16;Reince;"As we honor Dr. King today as a paragon of freedom, we reflect on his powerful words &amp; strive to embrace his vision… https://t.co/dyEe6tjznP"
2017-01-16 01:05:48;Reince;Bring on Atlanta! #GoPackGo
2017-01-16 01:03:36;Reince;"RT @packers: CROSBY DRILLS IT &amp; THE #PACKERS WIN!

We're headed to the NFC Championship Game! 

#GBvsDAL #GoPackGo https://t.co/hHL2WAVJoO"
2017-01-16 01:00:42;Reince;Hallelujah! #GoPackGo !
2017-01-15 15:12:26;Reince;"Pleasure speaking this morning with @GStephanopoulos on @ThisWeekABC &amp; @chucktodd on @MeetThePress https://t.co/Xg6ZGYbfxl"
2017-01-13 16:16:25;Reince;Editorial: @BetsyDeVos will be good for public education https://t.co/Ssn9fjfrCc
2017-01-12 18:22:44;Reince;RT @realDonaldTrump: Congrats to the Senate for taking the first step to #RepealObamacare- now it's onto the House!
2017-01-11 01:22:37;Reince;RT @MichaelCohen212: I have never been to Prague in my life. #fakenews https://t.co/CMil9Rha3D
2017-01-11 01:20:31;Reince;RT @realDonaldTrump: FAKE NEWS - A TOTAL POLITICAL WITCH HUNT!
2017-01-10 21:16:40;Reince;Small-business optimism soars after @realDonaldTrump election https://t.co/cZ3eZS0dV6
2017-01-09 23:10:53;Reince;"Congrats to fellow Cheesehead, @greta, on her 1st For the Record! Glad to be able to join her for her 1st show &amp; gl… https://t.co/UT6jmUfp96"
2017-01-09 19:39:05;Reince;"Double Standard? Obama '09 Cabinet picks slid through; Trump's face hold-up |  https://t.co/mFGLZytvGr"
2017-01-09 01:00:24;Reince;#GoPackGo! Bring on the Cowboys! https://t.co/BJfuLAenrZ
2017-01-08 14:49:27;Reince;"Always a pleasure speaking with Chris Wallace on @FoxNewsSunday &amp; @jdickerson on @FaceTheNation https://t.co/gt1qWINgV6"
2017-01-06 19:49:41;Reince;RT @realDonaldTrump: Monitoring the terrible situation in Florida. Just spoke to Governor Scott. Thoughts and prayers for all. Stay safe!
2017-01-05 21:15:12;Reince;RT @lisamurkowski: ...and I look forward to continuing the conversation next week during her confirmation hearing in the Senate HELP Commit…
2017-01-05 21:14:58;Reince;RT @lisamurkowski: Today I met w/Betsy DeVos, the Secretary of Education nominee. We discussed many important education issues facing Alask…
2017-01-04 21:06:44;Reince;"Excited to have @KMWalsh_GOP, Rick Dearborn &amp; Joe Hagin in the administration. They'll fill critical roles as we push forward key priorities"
2017-01-04 16:59:01;Reince;This morning at @HouseGOP Conf w/ VP-Elect @mike_pence. Great mtgs on Cap Hill w/ @SpeakerRyan, @RepTomPrice,… https://t.co/qfrVs7TAh7
2017-01-03 19:01:38;Reince;Congrats to my good friend @SpeakerRyan on his reelection!
2017-01-03 16:43:32;Reince;Ford cancels Mexico plant. Will create 700 U.S. jobs in 'vote of confidence' in @realDonaldTrump https://t.co/i3rh7Te01K
2017-01-01 05:20:11;Reince;"RT @realDonaldTrump: TO ALL AMERICANS-
#HappyNewYear &amp; many blessings to you all! Looking forward to a wonderful &amp; prosperous 2017 as we wo…"
2017-01-01 05:10:09;Reince;Happy New Year to so many proud Americans and patriots!  Let's make this the time we save the Republic! #MAGA! https://t.co/wtlcLY8KbX
2017-01-01 04:58:37;Reince;Happy New Year + God's blessings to you all.  Looking forward to incredible things in 2017!  @realDonaldTrump will Make America Great Again!
2016-12-29 19:03:13;Reince;RT @marceloclaure: The 5,000 jobs are NEW jobs that @Sprint is creating or bringing back to the U.S. Great news for the country.
2016-12-28 15:40:14;Reince;Rudy Giuliani: @realDonaldTrump's outsider Cabinet is shaking D.C. up https://t.co/si0a33UICa
2016-12-27 02:38:36;Reince;RT @realDonaldTrump: The world was gloomy before I won - there was no hope. Now the market is up nearly 10% and Christmas spending is over…
2016-12-25 23:09:03;Reince;Merry Christmas from our family to yours! https://t.co/I8ODhNqWmm
2016-12-24 07:55:22;Reince;RT @Reuters: Lockheed CEO tells Trump she will work to drive down cost of F-35 https://t.co/r2HEsnT9ZI https://t.co/QeiH0dfWxH
2016-12-23 02:04:31;Reince;Congrats and blessings @KellyannePolls - looking forward to great things and working to MAGA! https://t.co/ba6nmM0cNY
2016-12-22 21:47:47;Reince;Working hard with @KMWalsh_GOP and @StephenBannon to make sure we #MakeAmericaGreatAgain https://t.co/lCP2qhbdBI
2016-12-22 19:21:16;Reince;Congratulations to our great Comms team of @seanspicer, Hope Hicks, @JasonMillerinDC, and @DanScavino!
2016-12-20 15:40:40;Reince;Wisconsin's red realignment https://t.co/tbOTKuqAby
2016-12-20 05:20:44;Reince;"RT @DanScavino: What does @realDonaldTrump do after securing #ElectoralCollege? 

Enjoys celebratory dinner w/ some of @TeamTrump. 

https:…"
2016-12-19 22:37:31;Reince;Congrats to @realDonaldTrump, now officially President-elect! I look forward to him taking the oath of office on Jan 20th
2016-12-18 21:47:21;Reince;#GoPackGo! https://t.co/ivxYZEL0Fj
2016-12-17 16:20:52;Reince;"With 3 of the best @GOP Chiefs of Staff. It's because of their commitment &amp; leadership we're able to… https://t.co/gXJVQC4Wpy"
2016-12-14 22:03:58;Reince;"I know @RRMGOP &amp; @Paduch will continue building on @realDonaldTrump &amp; @GOP's success as we head into important elections in 2017 &amp; 2018"
2016-12-14 22:02:20;Reince;Excited to announce @RRMGOP as @GOP Deputy Chair and @Paduch as Deputy Co-Chair
2016-12-14 20:00:25;Reince;"Today's tech summit included productive discussions about job creation &amp; economic growth. We're on track to make Am… https://t.co/IpFP8ZtYUg"
2016-12-14 03:12:34;Reince;Had a great time @ @realDonaldTrump's Thank You tour in WI w/ my friends @RepSeanDuffy, @ScottWalker, @PRyan,… https://t.co/jsPAKsHoMu
2016-12-13 19:38:43;Reince;Five reasons Rex Tillerson is the right pick for secretary of state https://t.co/Umxk177n79
2016-12-12 22:33:57;Reince;"General Kelly &amp; Gary Cohn will be great additions to the administration. Right experience to #MakeAmericaGreatAgain"
2016-12-11 22:30:19;Reince;"RT @seanspicer: .@evanperez @cnn reporting on #russianhacking notes RNC not hacked &amp; undermines ""reporting"" by @nytimes @SangerNYT https://…"
2016-12-11 18:32:55;Reince;"RT @packers: Perfect day for 🏈 in Green Bay! ❄️

#SEAvsGB #GoPackGo https://t.co/NfoVbY7YL7"
2016-12-11 15:55:59;Reince;"Had a great time yesterday with #TeamTrump @ Army-Navy game in Baltimore. Very thankful for our military &amp; the sacr… https://t.co/yON0ZWJHgM"
2016-12-11 03:02:10;Reince;Congrats to Senator-elect @JohnKennedyLA on his victory! One more Republican to add to the Senate majority!
2016-12-10 16:09:27;Reince;RT @JoshKivett: Today is Election Day in Louisiana, so all you Pelican State GOPers please get to the polls and make your voice heard! #Gea…
2016-12-10 16:08:39;Reince;Louisiana, get out and vote today! Find your polling place at https://t.co/JpwGBnMDI1. Let's get @JohnKennedyLA to the Senate!
2016-12-10 04:53:51;Reince;"RT @seanspicer: The RNC was not ""hacked"".  The @nytimes was told and chose to ignore.  Exhibit #1 in the fake news https://t.co/vDUxDr81wr"
2016-12-09 16:13:20;Reince;Strong, qualified cabinet coming together ahead of previous administrations. Best and brightest ready to #MakeAmericaGreatAgain
2016-12-09 01:32:24;Reince;RT @GOP: One month ago today, we did it! https://t.co/BNorDxjMfI https://t.co/SrrJK1ZckI
2016-12-07 12:48:19;Reince;Congrats to President-elect @realDonaldTrump for being named @TIME's Person of the Year! #TIMEPOY
