timestamp;sn;text
2017-01-31 19:55:59;RepJohnLarson;REMINDER: Today is the LAST day to sign up for coverage https://t.co/XJLIUZCKOT
2017-01-31 19:39:33;RepJohnLarson;I am an original co-sponsor of the SOLVE Act, we must overturn these un-American orders. https://t.co/G5T8R9f4VX
2017-01-31 01:29:40;RepJohnLarson;Proud to be standing up with other Democrats tonight against this wrongful ban https://t.co/md3xFuQ35R
2017-01-31 01:16:25;RepJohnLarson;Proud of @RepJoeCourtney for all of the work he goes to support those affected by the crumbling foundations. https://t.co/Qltu0K2Sek
2017-01-30 22:49:15;RepJohnLarson;Democrats are coming together in front of the Supreme Court to fight for what’s right. #NoBan WATCH LIVE → https://t.co/XsfrVmhyJV
2017-01-30 21:28:07;RepJohnLarson;Tomorrow’s the last day to sign up for healthcare through Access Health: https://t.co/XJLIUZUlGr
2017-01-28 20:54:20;RepJohnLarson;Please read my statement on the recent Executive Orders https://t.co/PdvIW7Clwt
2017-01-28 18:00:37;RepJohnLarson;Enjoyed hearing your thoughts on the I-84/I-91 tunnel proposal today in East Hartford. Thanks for coming out! https://t.co/NiEMr0qCN7
2017-01-28 01:04:14;RepJohnLarson;RT @AccessHealthCT: Don't get the facts confused. Healthcare coverage in 2017 matters! Open Enrollment ends Jan. 31st.  #GetCoveredCT https…
2017-01-28 00:56:34;RepJohnLarson;Today we remember all the victims of the Holocaust. We must work together to ensure a tragedy like this never occurs again.
2017-01-27 22:29:46;RepJohnLarson;Had the privilege of presenting Gilbert McCusker, a Korean War Veteran, with the Korean Medal of Gratitude. Thank y… https://t.co/0miIebxXmU
2017-01-27 16:42:50;RepJohnLarson;Hope to see you tomorrow at the East Hartford Public Library https://t.co/UYGus7ecZK
2017-01-26 20:30:29;RepJohnLarson;Please join me for a public forum on the I-84/I-91 Tunnel Proposal in East Hartford, more information here: https://t.co/UYGus6WC8c
2017-01-26 17:01:09;RepJohnLarson;I stand with Sgt. Major Walz and all of our Veterans https://t.co/LWcoYacm4p
2017-01-26 16:04:19;RepJohnLarson;Carbon emissions harm our oceans, increasing acidification by 30% and threatening coral reefs, shellfish, and other sea life #DefendScience
2017-01-26 01:07:54;RepJohnLarson;Thank you to everyone who came out to the forum this evening. I appreciate your input. https://t.co/t0hqLum3Fw
2017-01-25 21:52:23;RepJohnLarson;"Saddened to hear of the passing of Mary Tyler Moore. She was a pioneer in TV &amp; comedy, and overall a terrific woman."
2017-01-25 15:12:31;RepJohnLarson;Happy 80th Birthday to my good friend, @BillPascrell!
2017-01-25 14:11:08;RepJohnLarson;Hope to see you tonight! Hartford Public Library, 6 pm! https://t.co/25zhbtW6Vu
2017-01-25 01:48:36;RepJohnLarson;Instead of improving healthcare access, GOP chose to pass a bill that restricts access and raises costs https://t.co/AQPlI6iLeR
2017-01-24 14:59:23;RepJohnLarson;We can make Social Security solvent for generations to come w/o harmful benefit cuts on the backs of seniors. https://t.co/fJPj6cBUIO
2017-01-24 14:12:30;RepJohnLarson;Please join me tomorrow for a public forum about the I-84/I-91 Tunnel Proposal https://t.co/25zhbtW6Vu
2017-01-23 22:17:51;RepJohnLarson;#ACA repeal + drastic cuts to Medicaid = a disaster in the making for working families. I'm not going to stand for it.
2017-01-23 17:50:07;RepJohnLarson;Thank you for this incredible honor https://t.co/pmL4TMduoB
2017-01-21 22:10:06;RepJohnLarson;Now THIS is a movement... https://t.co/cbf0Cx8jZA
2017-01-21 18:04:52;RepJohnLarson;Proud to be standing up for Women's rights with over 4,000 from CT. https://t.co/p1LZg9xhpt
2017-01-20 15:25:07;RepJohnLarson;Please read my statement on the Inauguration https://t.co/D1JX9xLYSu
2017-01-18 18:44:41;RepJohnLarson;GOP has started the process to #MakeAmericaSickAgain. Share your story of how the ACA has helped you: https://t.co/wDAYahB9ux
2017-01-17 18:33:20;RepJohnLarson;Happy birthday @MichelleObama, thank you for everything you’ve done for our country.
2017-01-16 22:41:17;RepJohnLarson;"Today we remember Dr. Martin Luther King Jr. We must always remember his sacrifices &amp; his lessons. #MLKDay https://t.co/Ord0KQ4WMn"
2017-01-14 22:35:52;RepJohnLarson;Congrats to UCONN Women's Basketball on their recording breaking win! #GoHuskies
2017-01-13 15:50:13;RepJohnLarson;Whether it's asthma or epilepsy, pre-existing conditions should *never* be used as an excuse to deny health care. #ACAWorks
2017-01-12 23:24:06;RepJohnLarson;Very constructive conversation today with the US DOT and CT officials at the Build America Bureau Workshop… https://t.co/FHkSz89EsK
2017-01-11 23:33:45;RepJohnLarson;"Honored to be named lead Democrat on W&amp;M Social Security Subcommittee. I will fight for America’s insurance program: https://t.co/DtpdpY26cU"
2017-01-10 18:41:54;RepJohnLarson;"The President-elect &amp; I disagree on much but he is 100% right about protecting Medicare &amp; Social Security. GOP in Congress should take note"
2017-01-10 17:53:06;RepJohnLarson;Health care isn’t a game — millions of lives are on the line. We must fight back against @HouseGOP’s threats agains… https://t.co/5OPP6An7e9
2017-01-07 17:03:49;RepJohnLarson;Had some great conversations at #CongressOnYourCorner today. Thanks to everyone who came out! https://t.co/Bzz3xEY1br
2017-01-06 21:58:04;RepJohnLarson;"My thoughts &amp; prayers are with the victims and their families. Thank you to the local law enforcement &amp; first responders for acting quickly."
2017-01-06 18:36:27;RepJohnLarson;There is no “good” reason for discrimination based on pre-existing conditions. But that doesn’t stop @HouseGOP from… https://t.co/rgzXyyllBF
