timestamp;sn;text
2017-02-01 01:29:46;RepRubenGallego;Filibuster, filibuster, filibuster
2017-01-31 22:33:01;RepRubenGallego;RT @RepCardenas: Interested to see if this one gets an answer... @RepGoodlatte @HouseJudiciary https://t.co/Odk5GOtL0t
2017-01-31 21:27:10;RepRubenGallego;Democrats must filibuster Trump SCOTUS nominee. We dithered on Garland and were defeated. We must fight harder than ever now.
2017-01-31 21:10:55;RepRubenGallego;My statement regarding Trump's upcoming Supreme Court nominee: https://t.co/qnCIAHQwGi
2017-01-31 17:30:58;RepRubenGallego;.@RepGoodlatte @HouseJudiciary did your staff sign nondisclosure agreements in order to work on Trump's Muslim ban?
2017-01-31 01:49:10;RepRubenGallego;"RT @JamesFallows: She’ll be remembered for this (cf A Cox, E Richardson). People choosing sides in real time. Going out the right way.
http…"
2017-01-30 16:19:01;RepRubenGallego;My statement on Trump's appointment of white nationalist Stephen Bannon to the National Security Council: https://t.co/aOV2dswxJ6
2017-01-30 15:10:53;RepRubenGallego;Blown away by the protests. Activists - not politicians - have led the fight. We need you to keep pushing us to be stronger and tougher!
2017-01-30 03:25:17;RepRubenGallego;RT @fshakir: One way Sens McCain, Graham, Flake, Sasse and Collins can have major impact on #MuslimBan is by agreeing to delay Tillerson an…
2017-01-29 20:58:17;RepRubenGallego;"RT @SantistevanRyan: .@RepRubenGallego ""We are not the opposition, we are the resistance."" @cronkitenews https://t.co/ociY4Xp9Ky"
2017-01-29 19:06:06;RepRubenGallego;Any CBP official defying court orders should be held in contempt of court as should any one from Executive branch who directed CBP to do so.
2017-01-29 00:15:06;RepRubenGallego;Great granddaughter of missing Vietnam servicemember speaks movingly during DPAA conference. They bring our POW/MIA… https://t.co/FTc2I5VD1a
2017-01-28 20:08:19;RepRubenGallego;@SpeakerRyan, you are responsible for what @realDonaldTrump is doing to our country. I hope you are proud of yourself.
2017-01-28 19:53:51;RepRubenGallego;RT @daveweigel: Arizona's @RepRubenGallego indicts Republicans along w Trump in response to exec order https://t.co/K0uG0tZuik
2017-01-28 03:08:17;RepRubenGallego;"RT @tedlieu: Prior column by Marine @RepRubenGallego &amp; I explain why banning #refugees is really stupid &amp; harms US natl security. https://t…"
2017-01-28 00:24:39;RepRubenGallego;RT @IRSnews: Why #EITCAwarenessDay? Millions miss #IRS #tax credit because they don’t know about #EITC. Spread the word: https://t.co/lrjHv…
2017-01-27 22:17:06;RepRubenGallego;A great crowd to honor former Congressman Ed Pastor at the dedication of Phoenix Downtown Post Office! https://t.co/TpFPWCXtrR
2017-01-27 18:45:56;RepRubenGallego;"RT @AmericasVoice: “What’s at Stake Is More Than a Policy Debate”: Khizr Khan &amp; Vets Oscar Vasquez &amp; @RepRubenGallego Condemn Trump. https:…"
2017-01-27 01:35:47;RepRubenGallego;RT @loril: Here is the ad that Trump took off the air: https://t.co/AVP9m7tWyg. If Trump refuses to run it, let's make sure everyone sees i…
2017-01-26 21:06:10;RepRubenGallego;Trump is a test of character for a whole generation of Republican leaders. They are failing it. Never forget. https://t.co/c5YPPAp0zq
2017-01-25 23:17:14;RepRubenGallego;Trump got his start with racist birther conspiracies. Now voter fraud lies and unprecedented attacks on immigrants. Trump is a bigot.
2017-01-25 19:57:01;RepRubenGallego;Now, that's a Democrat. And that's the kind of fighting spirit we need to stop Trump's agenda! https://t.co/8NqDzepZE3
2017-01-24 19:48:19;RepRubenGallego;RT @KamalaHarris: Congratulations @XavierBecerra on your confirmation! I know CA will continue to have a fearless leader working for them a…
2017-01-21 22:14:17;RepRubenGallego;"As a wise woman once said, women's rights are human rights. Proud to stand as an ally &amp; ready to keep fighting.… https://t.co/OHvvoNaCsR"
2017-01-21 21:35:18;RepRubenGallego;RT @mvyphvn: @RepRubenGallego just spoke in support for the @womensmarch in Phoenix #WMPHX https://t.co/hiEqAgNgBz
2017-01-20 19:25:14;RepRubenGallego;"Real leadership means building bridges, not walls. We have to work, organize &amp; fight for our values."
2017-01-20 19:22:47;RepRubenGallego;Trump starts his presidency the way he started his campaign- w/ divisive anti-immigrant rhetoric. We must fight to protect our communities.
2017-01-20 17:34:26;RepRubenGallego;RT @jonfavs: Alright. Let's get to work.
2017-01-20 16:58:19;RepRubenGallego;RT @HispanicCaucus: The new president must represent all people and uphold America's core values. We must hold him to those standards. #Tru…
2017-01-18 15:26:06;RepRubenGallego;ACA provides groundbreaking, life-saving protections for #LGBT patients. Rep. Price would take those away. He’s #BadforLGBT and #BadforHHS
2017-01-17 15:54:54;RepRubenGallego;"We must stand against Trump's bigotries- birther conspiracies, attacks on Gold⭐️ parents &amp; civil rights heroes. I won't attend inauguration."
2017-01-16 16:41:37;RepRubenGallego;"Let's honor Dr. King today &amp; every day by serving others and fighting for justice &amp; equality. #MLKDay2017 https://t.co/tfeCE1osp9"
2017-01-16 04:01:18;RepRubenGallego;Attending the AZ Dr. Martin Luther King Jr. Celebration Candlelight Ceremony Scholarship Program… https://t.co/UPZBplBP9v
2017-01-13 19:25:12;RepRubenGallego;The waiver for Gen. Mattis is just another example of Donald Trump thinking the rules that his predecessors followe… https://t.co/aBKmGRSkEv
2017-01-12 17:37:19;RepRubenGallego;Failing to investigate #RussianHacking makes us all less safe. @SpeakerRyan – it’s time to act to #ProtectOurDemocracy.
2017-01-11 03:18:00;RepRubenGallego;#DefendingAmerica means standing up to those who try to strip us of our values. I'm committed to protecting those principles. Who's with me?
2017-01-11 02:34:26;RepRubenGallego;"#ThanksObama 4 fighting 4 our families &amp; communities &amp; the positive change you led. We'll keep fighting 4 progressive values. #ObamaFarewell"
2017-01-10 19:01:29;RepRubenGallego;@DeepInTheHills @summerbrennan @bdjojonegoro For context: https://t.co/ELGCTKZysQ
2017-01-10 18:46:54;RepRubenGallego;We have a duty to the American people to investigate Russian meddling in our elections. Proud to back @RepSwalwell… https://t.co/vU9Hv8KqZe
2017-01-10 15:38:30;RepRubenGallego;"Our AG must protect justice for all people - including women, #LGBT people, African Americans &amp; immigrants. The Senate must #StopSessions."
2017-01-09 15:24:50;RepRubenGallego;RT @RepLindaSanchez: Shame on the @HouseGOP. 4.2 million Latinos are newly insured thanks to #ACA. Repeal would leave them in the cold to s…
