timestamp;sn;text
2017-02-01 01:10:12;RyanLizza;Lectern
2017-01-31 23:48:39;RyanLizza;Trump on Ukraine, before and after the election. https://t.co/jMa89WAJ45
2017-01-31 19:37:06;RyanLizza;RT @kyletblaine: Steve Bannon in 2010: 'Islam is not a religion of peace. Islam is a religion of submission' https://t.co/Vl4gTU4lD5
2017-01-31 18:38:44;RyanLizza;That is very likely more signatories than any official dissent in State's history, though they are not made public… https://t.co/CZ1Tg1iRFw
2017-01-31 18:33:01;RyanLizza;RT @John_Hudson: BREAKING: State Dept. just officially received the dissent memo from employees criticizing Trump’s immigration policies
2017-01-31 18:31:48;RyanLizza;"RT @conradhackett: Trump's recent executive order blocks 12% of the world's Muslims from entering the United States

https://t.co/Te8LvDxN8…"
2017-01-31 18:26:39;RyanLizza;"Sean Spicer just now: the executive order is ""not a ban."" https://t.co/HM65btUVN7"
2017-01-31 18:18:50;RyanLizza;"RT @McFaul: Agree. Strange: ""There’s Something Very Weird Happening Inside Russia’s Cybersecurity World"" https://t.co/XP9yrggeW5 via @sheer…"
2017-01-31 18:14:02;RyanLizza;RT @kenvogel: Russia claims that a heart attack killed the ex-KGB chief suspected of helping compile the Trump/Russia dossier. https://t.co…
2017-01-31 18:10:38;RyanLizza;RT @ericgeller: I'm still astonished that a U.S. special forces raid in Yemen killed an 8-year-old American girl and virtually no one is ta…
2017-01-31 18:05:12;RyanLizza;Similar to what happened with call from Taiwanese president https://t.co/iq8FXKqSNH
2017-01-31 17:50:20;RyanLizza;Putin suddenly seem deeply knowledgeable about US intelligence sources in Russia https://t.co/QVyRsIwwxu
2017-01-31 17:44:10;RyanLizza;RT @NPRKelly: Reached out to 13 nat sec officials, to ask basic q: will travel ban will make country safer? Unanimous answer: no. https://t…
2017-01-31 17:38:31;RyanLizza;RT @cfarivar: City of San Francisco has just sued @realDonaldTrump @POTUS in federal court over sanctuary city issue. https://t.co/0sHVsKnt…
2017-01-31 14:25:41;RyanLizza;Meanwhile the conflict in east Ukraine is escalating https://t.co/l49s7aeu9a
2017-01-31 14:15:13;RyanLizza;"""if Trump is not reined in by Congress we will see a collapse of post-WWII international order &amp; massive bloodshed.” https://t.co/Fe9rnGuQju"
2017-01-31 14:08:59;RyanLizza;RT @sahilkapur: Nixon's White House counsel. 👇 https://t.co/Wp3rae1dpz
2017-01-31 14:07:51;RyanLizza;RT @zengerle: This from Yuval Levin is an excellent description of how (unlike Trump's right now) a White House *should* function. https://…
2017-01-31 13:58:50;RyanLizza;White House to State Department Dissenters: Quit https://t.co/Fe9rnGuQju
2017-01-31 13:58:01;RyanLizza;".@nytdavidbrooks: ""even if Trump’s ideology were not noxious, his incompetence is a threat to all around him."" https://t.co/h65xfvRFgU"
2017-01-31 13:12:51;RyanLizza;RT @mviser: This clip. Is. Amazing. https://t.co/HmHrdKVDSU
2017-01-31 02:06:45;RyanLizza;RT @DougHeye: This is not only out of bounds for any staffer, but the NDA/secrecy goes against Separation of Powers. https://t.co/5uWBtgrIsH
2017-01-31 02:03:54;RyanLizza;RT @EricHolder: Sally Yates: person of integrity/attorney with great legal skill. Has served this nation with distinction. Her judgment sho…
2017-01-31 02:01:57;RyanLizza;RT @gregorykorte: Pool reporter catches White House Chief of Staff @Reince Priebus in West Wing, asks if @POTUS will address Yates letter.…
2017-01-31 02:01:41;RyanLizza;RT @gregorykorte: In EO 13762, Obama replaced U.S. Attorneys in Virginia, Minnesota and Arizona with D.C., Illinois and California in order…
2017-01-31 02:01:37;RyanLizza;RT @gregorykorte: In case anyone is wondering, here's the order of succession in the Justice Department, established by Obama executive ord…
2017-01-30 21:44:41;RyanLizza;Spicer compared Bannon's role at the NSC to Axelrod's. Not so, says @davidaxelrod: https://t.co/7JydToQhY3
2017-01-30 19:56:50;RyanLizza;RT @matthewamiller: It is a chilling threat to thousands of public servants who love their country and swore an oath to the Constitution to…
2017-01-30 18:26:51;RyanLizza;"""major bureaucratic uprising...against the President on his executive order on refugees."" This is a huge story.  https://t.co/opIw0K7hV3"
2017-01-30 18:08:53;RyanLizza;Shoot first, ask questions later... https://t.co/dafVsi11Ai
2017-01-30 17:32:44;RyanLizza;RT @BraddJaffy: Senate Dems will filibuster Trump's Supreme Court pick no matter who it is, Sen. Jeff Merkley (D-OR) tells @politico https:…
2017-01-30 17:31:50;RyanLizza;"RT @SopanDeb: Also, Trump said in 2015 he hasn't cried since he ""was a baby"" if anyone is wondering. 
https://t.co/hoDwBxOgXo https://t.co/…"
2017-01-30 17:24:54;RyanLizza;"RT @jmartNYT: Remember when Reagan called press into the West Wing to savage Tip for that fat-ass nose of his?

https://t.co/rg3FPYb6iI"
2017-01-30 17:20:06;RyanLizza;".@MJGerson: ""When Donald Trump speaks on foreign policy, tyrants rest easier and dissidents and refugees lose hope."" https://t.co/8dFR3x1oTB"
2017-01-30 17:15:02;RyanLizza;RT @jlupf: Political scientist Richard Neustadt said the presidency is an empty vessel that takes the shape of the person who fills it. Thi…
2017-01-30 17:08:15;RyanLizza;"RT @Phil_Mattingly: Well-placed GOP aide e-mail in response to this: ""That's an absurd, half-baked excuse, and it clearly shows these guys…"
2017-01-30 14:39:58;RyanLizza;Miller is top White House policy adviser and the author of Trump's immigration ban. https://t.co/GDMjpx5PTc
2017-01-30 14:33:03;RyanLizza;RT @sairakh: From Nov. 2016, in which @RyanLizza predicts the future: https://t.co/Uhf2zcuZRc https://t.co/XG845P2p09
2017-01-30 14:19:06;RyanLizza;"RT @stephenfhayes: Someone needs to create a word that means at once ""shocking"" and totally ""unsurprising."" https://t.co/GwuKkR4BX5"
2017-01-30 14:18:16;RyanLizza;RT @AoDespair: Lies upon lies. Refugee vetting process already takes over a year, often two. https://t.co/RzObBAu3MA
2017-01-30 13:56:47;RyanLizza;"""ban"" https://t.co/HM65btUVN7"
2017-01-30 13:54:50;RyanLizza;RT @CNN: Your chance of dying in an attack by a foreign-born terrorist? 0.00003% https://t.co/8OTREPp4kQ https://t.co/v3xmyOwqDf
2017-01-30 13:54:44;RyanLizza;RT @CNN: Refugees from countries included in Trump’s travel ban that have killed anyone in terrorist attacks on US soil: 0 https://t.co/8OT…
2017-01-30 00:12:27;RyanLizza;RT @dabeard: JUST IN: Canada will give US-bound travelers victimized by #TrumpBan temporary residency https://t.co/z0XwrL7JoT https://t.co/…
2017-01-29 23:50:49;RyanLizza;RT @RonBrownstein: Wonder how repealing #DACA looks to Hill Republicans after reaction to #immigrationban - that would likely trigger even…
2017-01-29 22:09:37;RyanLizza;They also represent two-thirds of his margin of victory for Senate votes. Seems unwise to escalate. https://t.co/H2Lax1rIOj
