timestamp;sn;text
2017-01-25 03:16:40;sarajacobs89;RT @jodikantor: Reminder: this is how thoroughly Syrian refugees are screened before they can enter the U.S. https://t.co/nnnc8FPWm2
2017-01-25 00:49:55;sarajacobs89;@sruti0105 based in New York but get to D.C. A fair amount. Let's def grab coffee!
2017-01-25 00:49:41;sarajacobs89;@acshapiro thanks!! What are you up to?
2017-01-24 21:25:43;sarajacobs89;The goal is to map every school in the world and do internet connectivity in schools and some other cool stuff. Watch this space. 2/2
2017-01-24 21:25:14;sarajacobs89;Hi all - I know I've been away from twitter for awhile- wanted to let you know that I've started a new job as CEO of a new non-profit. 1/2
2016-11-10 17:30:51;sarajacobs89;Proud to be from California: https://t.co/ed4Wob8zr1
2016-11-10 00:02:57;sarajacobs89;"RT @HillaryClinton: ""Our constitutional democracy demands our participation, not just every four years, but all the time."" —Hillary"
2016-11-10 00:02:27;sarajacobs89;RT @HillaryClinton: “Let us have faith in each other. Let us not grow weary. Let us not lose heart. For there are more seasons to come and.…
2016-11-10 00:02:15;sarajacobs89;In my experience, voter turnout levels is a good indicator of the strength of a democracy. This is scary. Let's hop… https://t.co/o5dcD4jQXB
2016-11-09 23:59:48;sarajacobs89;"RT @WhiteHouse: ""To the young people...Don’t get cynical. Don’t ever think you can’t make a difference."" —@POTUS https://t.co/pxvMRA7h09"
2016-11-09 23:59:29;sarajacobs89;"RT @HillaryClinton: ""This loss hurts. But please never stop believing that fighting for what’s right is worth it."" —Hillary"
2016-11-09 23:59:10;sarajacobs89;"RT @HillaryClinton: ""To all the little girls watching...never doubt that you are valuable and powerful &amp; deserving of every chance &amp; opport…"
2016-11-09 15:59:44;sarajacobs89;And now this is on repeat today: https://t.co/G1lw5LapDq
2016-11-09 15:36:37;sarajacobs89;The words I couldn't seem to put together myself https://t.co/alVVMtfK8a
2016-11-09 08:08:27;sarajacobs89;I continue to believe, no matter what, that in the end, love will ALWAYS trump hate
2016-11-08 15:59:57;sarajacobs89;Ya, this is playing on repeat today #fightsong #imwithher #gameday #gotmfv https://t.co/lHjDaWVe0v
2016-11-08 15:58:34;sarajacobs89;🙌🙌🙌 we take nothing for granted on this campaign! #guamforhillary https://t.co/68y08JWEgA
2016-11-07 16:08:15;sarajacobs89;Tomorrow, let's make history together https://t.co/f41vbxBa3a
2016-11-07 05:19:14;sarajacobs89;RT @MaksCzuperski: If Secretary @Madeleine Albright is on the road knocking on doors to get people to #GOTV, so can you. #Election2016 http…
2016-11-07 05:14:01;sarajacobs89;RT @aseitzwald: Khan says a woman told him her 10-yo son watches his speech every day he gets bullied at school. Teacher made class watch,…
2016-11-07 05:12:59;sarajacobs89;So right.  We are #strongertogether and better than hateful, divisive rhetoric https://t.co/sWuDQlXLX1
2016-11-07 05:10:35;sarajacobs89;".@HillaryClinton ""Puerto Ricans are American citizens, and they deserve to be treated like American citizens"" https://t.co/EyLxM6XwDb"
2016-11-07 05:00:13;sarajacobs89;"The world is watching.  Join us!  #dothemostgood #strongertogether https://t.co/ZJHgSzk9W1

https://t.co/XglrLaDXpU"
2016-11-05 21:08:12;sarajacobs89;Don't forget - Now through Election Day, @HFA is standing by to answer your questions about voting! https://t.co/BeWXCxnR4E
2016-11-05 20:51:29;sarajacobs89;I'm not crying, you're crying. #ayearinthelife #imwithher #andallofthem #campaignfamily #wonksforthewin https://t.co/8Eux9T3piG
2016-11-05 16:12:27;sarajacobs89;Come on America - 4 days left to show what you're made of #lovetrumpshate https://t.co/Qo8W53k6MF
2016-11-05 05:11:42;sarajacobs89;"RT @juliewood: What are we going to do tonight B?
Same thing we do every night Hil
Try to take over the world https://t.co/W6jeIAiaJW"
2016-11-05 05:11:27;sarajacobs89;RT @lcollinsp: You've come a long way, baby. https://t.co/tTQs0sNvtX
2016-11-04 04:49:15;sarajacobs89;Always talk about the #GirlClub https://t.co/Yos3dvry96
2016-11-03 23:33:39;sarajacobs89;RT @HillaryClinton: 🤔 https://t.co/Gk2xWHIJsm
2016-11-03 21:02:52;sarajacobs89;@yunierdiaz71 Thanks for your support!
2016-11-02 20:42:39;sarajacobs89;6 days to go.... #imwithher #WeAreFlorida #wonksforthewin https://t.co/I3wvtyw4g6
2016-11-02 18:55:01;sarajacobs89;RT @TheBriefing2016: Under a Trump presidency, we'd be the only country in the world with a religious litmus test for immigration. https://…
2016-11-02 01:43:54;sarajacobs89;"I &lt;3 Uncle Joe https://t.co/r4beqn9NJ5"
2016-11-01 23:24:02;sarajacobs89;".@billclinton in South St. Pete ""answers are better than anger"" https://t.co/3EmqnlBPXt"
2016-11-01 19:07:22;sarajacobs89;RT @albamonica: Hillary Clinton is back in Florida for her 5th day in the last week (!) She's spent more days here than any other battlegro…
2016-10-29 01:32:33;sarajacobs89;"RT @IAStartingLine: ""You are right to fear me ... because I just turned 18 and will ... be voting for love &amp; tolerance"" a young Muslim refu…"
2016-10-25 20:52:51;sarajacobs89;"RT @UN: In failing to include women&amp;girls in peace processes, we are not only failing women&amp;girls. We are failing the world https://t.co/1E…"
2016-10-24 20:01:27;sarajacobs89;RT @HillaryClinton: Good question. https://t.co/wrd7SUI4cI https://t.co/Gpio1LA5Z8
2016-10-21 22:42:30;sarajacobs89;Great way to end the week! https://t.co/V52rAtcULy
2016-10-20 00:59:25;sarajacobs89;.@lcollinsp @HillaryClinton @megrooney2016 Is all of the above an option?
2016-10-15 19:50:55;sarajacobs89;"RT @rosenbergerlm: .@HillaryClinton on disrupted terror plot in Kansas aimed at Somali community.  ""This plot is an affront to all American…"
2016-10-14 21:20:10;sarajacobs89;RT @UNICEF: Clap your hands if you’re ready for the weekend - like these children in #Burundi. https://t.co/GIRuXMb5Oy
2016-10-14 20:43:16;sarajacobs89;"true lesson about the election &amp; true lesson on the importance of punctuation https://t.co/yRysa9RHbw"
2016-10-14 17:36:31;sarajacobs89;A good reminder that as far as we've come, there's still so much more work to do... #imwithher #allofthem https://t.co/Vh7RKdwGfh
2016-10-13 22:22:19;sarajacobs89;RT @asmamk: 7/ But the point is. This has NEVER happened before. Not like this. And I share - cause it's helpful in understanding the polit…
2016-10-13 22:22:16;sarajacobs89;RT @asmamk: 5/ And something that has never ever happened before -- a woman started yelling at me - said she didn't want any MUSLIMS on her…
2016-10-13 19:57:42;sarajacobs89;"RT @WhiteHouse: ""We’re the nation that just had six of our scientists and researchers win Nobel Prizes—and every one of them was an immigra…"
2016-10-13 16:30:57;sarajacobs89;.@HillaryClinton Statement on appointment new @UN Secretary-General Antonio Guterres https://t.co/s20omoP3UA
2016-10-12 04:11:27;sarajacobs89;RT @HillaryClinton: G’mar chatima tova to those celebrating #YomKippur. Wishing you a meaningful day and an easy fast. -H
2016-10-11 20:24:53;sarajacobs89;RT @DanSchwerin: This is a great CNN chyron for @algore @HillaryClinton event in Florida https://t.co/Cw7OXP4FoS
2016-10-11 20:24:19;sarajacobs89;@lcollinsp you must not have been paying attention.  I literally talk about it all the time.  #zika https://t.co/QblAaz3gp7
2016-10-11 19:53:49;sarajacobs89;RT @realDonaldTrump: The concept of global warming was created by and for the Chinese in order to make U.S. manufacturing non-competitive.
2016-10-11 19:46:34;sarajacobs89;"RT @HillaryClinton: ""The clean energy superpower of the 21st century is probably going to be Germany, China, or us—and I want it to be us.""…"
2016-10-11 19:45:52;sarajacobs89;truth https://t.co/KNQRIT1BKH
2016-10-11 19:45:18;sarajacobs89;RT @HillaryClinton: FACT: The Pentagon has identified climate change as a threat to America’s national security.
2016-10-11 18:53:45;sarajacobs89;RT @UNICEF: Girls have always changed the world and this generation can make it even better. #dayofthegirl https://t.co/MftQ5h65yf
2016-10-11 18:53:38;sarajacobs89;RT @WhiteHouse: No matter where she lives, every girl deserves the chance to live a life of her own choosing. https://t.co/qUTDr205Mc #DayO…
2016-10-11 18:53:34;sarajacobs89;RT @HillaryClinton: Every girl—in every country—deserves to get an education and reach her dreams. Thank you, @FLOTUS. https://t.co/1KhjnUA…
2016-10-11 18:52:20;sarajacobs89;Happy International #DayoftheGirl.  Here's hoping for a world where all girls are respected and equal, and know they can be anything.
2016-10-11 18:31:15;sarajacobs89;RT @joshledermanAP: +1 https://t.co/7Ml0wNEtiQ
2016-10-11 18:30:18;sarajacobs89;RT @MotherJones: Hillary Clinton Releases Plan to Help Children in Deep Poverty https://t.co/po0aQ0uVso
2016-10-10 21:32:31;sarajacobs89;"RT @kdrum: Donald Trump today: ""I consider myself in a certain way to be a blue collar worker."" https://t.co/YYWVj6l2BN"
2016-10-10 18:28:39;sarajacobs89;"RT @JewishWomenIntl: ""It’s important for us to make sure that we are really voting with our values,"" @sarajacobs89 says. #VoteLikeAGirl htt…"
2016-10-10 14:17:22;sarajacobs89;RT @PaulBegala: Thanks for this.  It's important. Just mentioned it on @CNN. (Citing you, of course.) #debate https://t.co/Sq7yoFPdna
2016-10-10 14:11:50;sarajacobs89;RT @mawilner: Moscow's position, verbatim. https://t.co/XOC5PxBO5B
2016-10-10 02:40:45;sarajacobs89;"RT @BBCWorld: .@HillaryClinton ""doesn't give up, I respect that"" - @realDonaldTrump #debate https://t.co/l7RFZWTW63 https://t.co/1lIGFuy4xD"
2016-10-10 02:20:13;sarajacobs89;"RT @peterwsinger: Holy Shit.
Trump just praised Assad, Russia, and Iran! That is most surprising part of this debate."
2016-10-10 02:20:07;sarajacobs89;RT @timkaine: Donald says Russia and Syria are killing ISIS? They're killing Syrian citizens. And he acts like they are fighting terrorists…
2016-10-10 01:32:17;sarajacobs89;RT @gabrielsnyder: Yes. When a principal part of your presidential platform is locking up your opponent, that is fascism. https://t.co/PqNn…
2016-10-10 01:31:59;sarajacobs89;RT @jessicaschulb: Threatening to throw your opponent in jail if you win is pretty classic dictator behavior
2016-10-10 01:19:14;sarajacobs89;"RT @AmandaRenteria: ""We are great because we are good."" @HillaryClinton #debate"
