timestamp;sn;text
2017-01-18 02:57:52;sarasolow;RT @SenWarren: I have 3 more rounds of q's that I would like to ask @usedgov nominee Betsy DeVos, @SenAlexander. I’m waiting. #1moreround #…
2017-01-13 15:57:58;sarasolow;Such a beautiful letter!  https://t.co/vAj7XIZgQM
2017-01-11 17:33:58;sarasolow;Great piece by @RonaldKlain! https://t.co/ehBhtK5hsO
2017-01-11 15:47:39;sarasolow;Rex Tillerson supporting Article V and sanctions against Russia.  Sounding reasonable. https://t.co/oYN0Z1t07x
2017-01-11 13:50:30;sarasolow;This is potentially explosive. https://t.co/ELghP236gh
2017-01-09 12:35:23;sarasolow;RT @AlecMacGillis: After campaigning with pledge to fight opiate epidemic, @realdonaldtrump set to eviscerate treatment w/ ACA repeal. http…
2017-01-07 20:41:41;sarasolow;RT @jmpalmieri: Oh yeah. What did happen with that? https://t.co/RE2kZB6asz
2016-12-24 16:16:38;sarasolow;Happy holidays - and check out my op ed!  Dear Mr. Trump: Here's How to Maintain America's Tech Lead | WIRED https://t.co/oWh9PFWqpR
2016-11-17 17:05:02;sarasolow;https://t.co/AR6yx6IZJ5.  Bannon.  This.  Come on.
2016-11-09 03:24:52;sarasolow;RT @mbsimon: @Mitch_Stewart @anamariecox Oakland (my home county) holding Obama '12 margin. Detroit always reports late,everyone nervous. 2…
2016-11-02 01:22:17;sarasolow;https://t.co/lPTRFKaKBg
2016-10-28 17:35:52;sarasolow;Hillary policy advisor Sara Solow is here to answer questions about addiction and mental illness https://t.co/rC2EBhYV36
2016-10-20 03:55:42;sarasolow;RT @RonaldKlain: Three for three.  #ImWithHer https://t.co/3BcFhqA5Of
2016-10-20 02:33:35;sarasolow;"RT @ThePlumLineGS: Trump: Not paying taxes is smart.

Clinton: You try to evade taxes.

Trump: ""Such a nasty women."""
2016-10-20 02:03:54;sarasolow;Trump buys portraits of himself with his Foundation's money.  Who does that? #debatenight
2016-10-20 01:57:53;sarasolow;Trump pivots from sexual assault allegations to emails.
2016-10-20 01:57:28;sarasolow;RT @neeratanden: yup https://t.co/zSGdsb6h7C
2016-10-20 01:52:22;sarasolow;"She went to Beijing; he was calling Miss Universe an ""eating machine.""  She was in the Sit Room - OBL.  He was hosting Celeb Apprentice."
2016-10-20 01:32:33;sarasolow;"""That's because he'd rather have a puppet as president.""  #debatenight @HillaryClinton"
2016-10-20 01:22:17;sarasolow;"RT @HillaryClinton: This was not actually a hard question.

""I strongly support Roe v. Wade."" —Hillary #DebateNight"
2016-10-20 00:24:40;sarasolow;Here we go! Pre debate excitement @slashklc @HillaryClinton https://t.co/2tqrR0jmtC
2016-10-10 04:04:11;sarasolow;"RT @JDtruth4u: ""Straight out of the dictator's handbook.."" @PaulBegala https://t.co/djQo5VsJtj"
2016-10-10 03:42:49;sarasolow;Bloodbath of a debate but @HillaryClinton killed it once again. Strong and steady in the face of a storm.
2016-10-10 03:19:33;sarasolow;https://t.co/JY4qbgQrd2
2016-10-10 01:34:08;sarasolow;RT @FranklinFoer: Trump treating the constitution like it's another woman to assault.
2016-10-10 01:32:10;sarasolow;"RT @JessicaValenti: ""Because you'd be in jail."" Are you fucking kidding me. This is a disgrace #debate"
2016-10-09 23:19:49;sarasolow;Look who joined our pre-debate ritual drink! @johnpodesta @slashklc #debatetonight https://t.co/yliqhvxvus
2016-10-08 02:18:22;sarasolow;RT @mitchellreports: .@SpeakerRyan:Im sickened by what I heard today. Women are to be championed and revered, not objectified. Trump not co…
2016-10-08 01:53:18;sarasolow;RT @JebBush: As the grandfather of two precious girls, I find that no apology can excuse away Donald Trump's reprehensible comments degradi…
2016-10-06 02:16:17;sarasolow;Jakey got a shout out! #HillaryClinton  https://t.co/tR00KkgS8N
2016-10-05 12:14:35;sarasolow;Says it all.  Brutal.  https://t.co/67uMnd16WD
2016-10-05 02:20:36;sarasolow;This is a joke! https://t.co/AkBwJp6zKN
2016-10-05 01:45:46;sarasolow;Pence can't articulate their position on the deportation force.
2016-10-05 01:33:39;sarasolow;TK flags the important point that Trump would raise taxes on millions of working families and kids. https://t.co/4TpjecjyDz
2016-10-05 01:27:19;sarasolow;Pence = chief cheerleader for Social Security privatization.
2016-10-05 01:25:48;sarasolow;TK crushing it on the tax returns.
2016-10-05 01:16:58;sarasolow;"""You are Donald's apprentice."" Go TK!  #VPDebate"
2016-10-04 19:41:52;sarasolow;Great time with @HillaryClinton at the Family Town Hall. https://t.co/jkiUFwOkcI
2016-10-04 00:57:21;sarasolow;RT @HillaryClinton: According to @NYTimes, Trump may contribute less to our military and college students than the undocumented immigrants…
2016-10-02 03:26:46;sarasolow;RT @WestWingReport: The ugly face of bigotry and hatred: @DrDavidDuke https://t.co/L5EbGug7rq
2016-10-02 02:46:29;sarasolow;Trump might not have paid federal taxes for 20 years.  How can this be happening right now.
2016-10-01 03:06:06;sarasolow;"RT @politico: Clinton: ""Every good thing this country has achieved happened because people worked together to make it a reality."" https://t…"
2016-09-27 03:52:24;sarasolow;RT @HillaryClinton: RT this if you're proud to be standing with Hillary tonight. #debatenight https://t.co/91tBmKxVMs
2016-09-27 02:26:56;sarasolow;"""Your President.""  Wow.  He's lost it."
2016-09-27 02:24:25;sarasolow;Yes he did!! https://t.co/9DcSouqv4I
2016-09-27 02:18:04;sarasolow;Trump lost this debate on the Birther thing.  #debatenight
2016-09-27 00:14:10;sarasolow;Pre-debate ritual drink.  #debatenight @slashklc https://t.co/ijiQjDBLyD
2016-09-21 23:55:41;sarasolow;"RT @HillaryClinton: A disability shouldn't define your future.

At @ChildDefender, Hillary helped give kids the chance to succeed. https://…"
2016-09-21 19:09:08;sarasolow;During this Opioid Awareness Week, check out Hillary's plan to tackle addiction and support folks in recovery.  https://t.co/5aR2AMjsm7
2016-09-20 13:17:35;sarasolow;This is out of control.   https://t.co/eAgHGxmYAu
