timestamp;sn;text
2017-02-01 02:58:41;SarahEMcBride;Yes the same constitution that said Obama's term was only three years the moment the seat opened? https://t.co/rNQnciVTf7
2017-02-01 02:49:11;SarahEMcBride;@Earl_Hunt of course he's POTUS, but he doesn't have a mandate. Should have nominated a centrist. Gorsuch isn't even centre-right.
2017-02-01 02:46:44;SarahEMcBride;Seems like an appropriate time to remind everyone that more Americans voted for a progressive to fill this #SCOTUS vacancy.
2017-02-01 01:44:01;SarahEMcBride;RT @ChadHGriffin: .@HRC opposes Gorsuch #SCOTUS nom. We cannot afford a radical, anti-equality justice who will rollback our rights. https:…
2017-02-01 01:43:37;SarahEMcBride;@mr_grission of course he's not. It was a passing observation. There are certainly FAR bigger issues.
2017-02-01 01:02:09;SarahEMcBride;"So are we getting a ""you're fired"" tonight?"
2017-02-01 00:59:31;SarahEMcBride;I hope Merrick Garland is getting all of the hugs as Trump formally steals his #SCOTUS seat tonight.
2017-02-01 00:56:03;SarahEMcBride;@rugger4equality I miss you
2017-02-01 00:55:56;SarahEMcBride;Best Handle Ever. ❤️ https://t.co/eScvuDos1M
2017-02-01 00:54:50;SarahEMcBride;@NoahDuckett #302Represent!
2017-02-01 00:47:02;SarahEMcBride;RT @AishaMoodMills: Don't just complain about your elected officials, REPLACE THEM. Run for Office!!! #BetheChange #Ready2Run #NoBanNoWall…
2017-02-01 00:40:21;SarahEMcBride;"@safarishane &lt;3"
2017-02-01 00:40:12;SarahEMcBride;RT @safarishane: This woman makes me cry about twice a week. Best follow ever. https://t.co/T3fcznERLO
2017-02-01 00:32:30;SarahEMcBride;It's been a long 11 days, but no presidency can change these simple facts: you are loved, you are worthy, and, together, we are powerful.
2017-01-31 22:19:08;SarahEMcBride;RT @NRMorrow: I'm going to watch the SCOTUS announcement by using a hand mirror around the corner from a bar that has a TV, as to deprive T…
2017-01-31 22:17:26;SarahEMcBride;"RT @HRC: Trump doesn't deserve credit for floating #LGBTQ rights repeal &amp; suddenly dialing back to avoid negative attn. 1/7 https://t.co/E5…"
2017-01-31 15:17:12;SarahEMcBride;"RT @NatGeoPR: Yesterday's #GenderRevolution premiere featured a panel with @katiecouric, @SarahEMcBride, @MaraKeisling, @VanessaFordDC &amp; @s…"
2017-01-31 04:51:42;SarahEMcBride;"RT @JayBrownHRC: Today’s decision is a win for fairness &amp; equality -- &amp; the very values the @BoyScouts represent. #trans #scouts https://t.…"
2017-01-31 04:51:05;SarahEMcBride;RT @KendraKoj: I loved everything about amazing panel #genderrevolution @VanessaFordDC @MaraKeisling @katiecouric @SarahEMcBride https://t.…
2017-01-31 03:40:13;SarahEMcBride;RT @kpwalling: Thank you @katiecouric and @NatGeo + @NatGeoChannel for an incredible viewing of #GenderRevolution - a powerful film that wi…
2017-01-31 02:53:16;SarahEMcBride;RT @ZackFord: We've got a panel at Gender Revolution! @MaraKeisling @SarahEMcBride and I'll finally get to meet @VanessaFordDC! https://t.c…
2017-01-30 19:13:07;SarahEMcBride;RT @chrisgeidner: .@HRC goes on the record with concerns regarding talk of a potential religious liberty/anti-LGBT EO floating around today…
2017-01-30 15:09:33;SarahEMcBride;"Great new advocacy effort by @eugeneyoung302 and others: ""Mayoral primary runner-up launches Wilmington nonprofit"" https://t.co/qZkFAFjQGS"
2017-01-30 14:18:52;SarahEMcBride;"RT @ajplus: ""My mother is an ordained minister. I’m a Muslim.""

Actor Mahershala Ali gave a powerful speech on acceptance at the SAG Awards…"
2017-01-30 14:01:38;SarahEMcBride;RT @CNN: Refugees from countries included in Trump’s travel ban that have killed anyone in terrorist attacks on US soil: 0 https://t.co/8OT…
2017-01-29 23:28:05;SarahEMcBride;Hey @POTUS, if you are gonna pretend this isn't about religion, then maybe you shouldn't have said it was during th… https://t.co/RrnajSoTEe
2017-01-29 18:02:56;SarahEMcBride;"RT @DamonSilvers: Attys at Dulles with a fed court order entitling them to see detainees told by CBP ""it's not going to happen"" Attys seeki…"
2017-01-29 17:54:33;SarahEMcBride;"Stand up. Speak out. Act up. #Resist and Defy. We have more power than we think.

#NoBanNoWall https://t.co/1qWFbhhN4Y"
2017-01-29 17:10:35;SarahEMcBride;The irony of WH Press Secretary @SeanSpicer saying this today is appalling. #NoBanNoWall https://t.co/qJZAoBOMsO
2017-01-29 16:59:13;SarahEMcBride;RT @igorbobic: Schumer says there are currently 42 Americans detained under Trump order, and that DHS Sec Kelly told him they would be rele…
2017-01-29 16:12:48;SarahEMcBride;RT @SenatorCarper: I'll be at @PHLAirport at 2:00pm today to speak with officials and demand that refugees are not detained or denied entry…
2017-01-29 06:50:16;SarahEMcBride;RT @ChadHGriffin: Legacies will be determined forever by what lawmakers (Dem and Rep) do at this moment in history. Silence enables. Stand…
2017-01-29 06:50:13;SarahEMcBride;RT @ChadHGriffin: There will be a time when we look back at this moment in history with disgust for the lawmakers who could have done somet…
2017-01-29 05:52:54;SarahEMcBride;RT @ChadHGriffin: .@POTUS: 0, @ACLU: 1. We must fight Trump's hate at every turn. America's most fundamental values depend on it. https://t…
2017-01-29 05:51:44;SarahEMcBride;RT @ChadHGriffin: This is leadership. Thank you! https://t.co/5F9mVltN2L
2017-01-29 05:46:40;SarahEMcBride;"RT @HillaryClinton: I stand with the people gathered across the country tonight defending our values &amp; our Constitution. This is not who we…"
2017-01-29 02:15:40;SarahEMcBride;RT @JuddLegum: Stunning scene at JFK airport https://t.co/ZAwnYmELo8
2017-01-28 22:02:50;SarahEMcBride;"RT @kalpenn: To the dude who said I don't belong in America, I started a fundraising page for Syrian Refugees in your name. 
https://t.co/N…"
2017-01-28 21:58:15;SarahEMcBride;A great project worthy of your support. So excited to see trans actors in trans roles and to see the finished produ… https://t.co/kcEqiXrldW
2017-01-28 19:41:37;SarahEMcBride;RT @thehill: JUST IN: Dem lawmakers secure release of detained Iraqi refugee https://t.co/I7Kmpzhipf https://t.co/y4709FQEHJ
2017-01-28 16:03:34;SarahEMcBride;"These refugees have literally done more on behalf of the American people than Donald Trump ever has. 
https://t.co/VUqCsZyTOb"
2017-01-28 02:06:51;SarahEMcBride;RT @Sej_Singh: Every single refugee and immigrant is vetted a hell of a lot more than Trump's cabinet nominees, but here we are https://t.c…
2017-01-28 02:05:29;SarahEMcBride;"RT @jarodkeith: .@VictoryFund Here's my #ready2run challenge picks: @SarahEMcBride, @MsYeseniaChavez &amp; @KTravisBallie  should run for offic…"
2017-01-27 22:27:45;SarahEMcBride;RT @HRC: We are proud to be on the ground in #Texas, fighting against any legislative attack on the #LGBTQ community. #txlege https://t.co/…
2017-01-27 22:27:35;SarahEMcBride;"RT @ACUHOI: Join @ACUHOI &amp; a panel of exceptional speakers at @HRC for Feb. 20-21 program on #LGBTQ students in res halls. https://t.co/7EM…"
2017-01-27 22:26:30;SarahEMcBride;RT @jillboard: High-key obsessed with @sarahkendzior and @SarahEMcBride's interviews on @THEBOSSYSHOW. Such smart women. Listen: https://t.…
2017-01-27 22:25:53;SarahEMcBride;"RT @ACLU: ""Extreme vetting"" is a euphemism for discrimination against Muslims. Period."
2017-01-27 18:23:54;SarahEMcBride;"RT @Olivianuzzi: After receiving a tough question from a British journalist called on by Theresa May, Trump jokes, ""there goes that relatio…"
2017-01-27 03:51:31;SarahEMcBride;RT @danpfeiffer: Any Democrat that votes for Sessions to be in charge of protecting civil and voting rights is going to end up on the wrong…
2017-01-26 20:49:43;SarahEMcBride;RT @OliviaAlair: Put another way: the American people are going to pay for the dumb $18 billion wall. https://t.co/ifgADi1cgU
2017-01-26 20:00:43;SarahEMcBride;@sophieluvsutoo Wow! Congrats Sophia! That's a big deal :)
2017-01-26 19:55:17;SarahEMcBride;This fmr AU SG president has never seen my AU peers so excited for anything like they are for the @SylviaBurwell announcement! #AU15thPres
2017-01-26 19:51:13;SarahEMcBride;"RT @eilperin: Call her Madam President now: @SecBurwell becomes @AmericanU president (&amp; gets a better commute) https://t.co/vJjCdxcBM6 via…"
2017-01-26 19:47:38;SarahEMcBride;RT @AmericanU: .@SylviaBurwell has been named American University’s 15th president. https://t.co/VZjBu53fOr https://t.co/rhrwWRm63z
2017-01-26 19:33:41;SarahEMcBride;Fmr. HHS Secretary @SylviaBurwell will become the new president of @AmericanU! First woman president! #AU15thPres
2017-01-26 06:54:19;SarahEMcBride;RT @jonfavs: I miss @BarackObama.
2017-01-26 00:43:07;SarahEMcBride;"RT @justownit: We are so excited to announce that LGBT advocate &amp; @HRC Nat'l Press Secretary @SarahEMcBride will be joining us again at #OW…"
2017-01-25 21:22:25;SarahEMcBride;"RT @jaketapper: It's not that complicated:
There have been instances of voter fraud.
There is ZERO evidence of 3-5 million illegal votes.
#…"
2017-01-25 19:35:24;SarahEMcBride;"Thank GOD we didn't elect someone who used a private email server.

Oh wait. Scratch ""someone"" and replace with ""wo… https://t.co/0Ix3e0EH3E"
2017-01-25 19:32:58;SarahEMcBride;"RT @Rob_Flaherty: step 1: don't vote for ben carson
step 2: don't say his LGBTQ answers were good
step 3: repeat

https://t.co/5yvHN9tprA"
2017-01-25 04:26:57;SarahEMcBride;RT @HRC: .@ChadHGriffin via @MSNBC: The LGBTQ community is as diverse as the fabric of this nation. An attack on one of us is an attack on…
2017-01-25 04:26:28;SarahEMcBride;RT @chrislhayes: This holds up. https://t.co/fUE6XeLQ2A
2017-01-24 23:33:38;SarahEMcBride;"""Delaware has a pretty incredible story when it comes to LGBTQ equality."" Thank you, @GovernorMarkell! https://t.co/TP8o0ZXcX9"
2017-01-24 18:20:32;SarahEMcBride;RT @NRMorrow: Great group joined @HRC Alabama this AM to talk about how Sessions has been bad for AL and he'll be bad for the U.S. as attor…
2017-01-24 16:59:17;SarahEMcBride;Telling stories will be more important than ever. Yesterday, we discussed @ThisIsEverythng, new docu on Gigi Gorgeo… https://t.co/hdCw9BlBLA
2017-01-24 16:37:23;SarahEMcBride;I hope he opened by thanking @BarackObama for there even being an automobile industry to meet with. https://t.co/MpLIb3P1pl
2017-01-24 06:02:20;SarahEMcBride;RT @KamalaHarris: This group just made it more difficult for women to get access to health care worldwide. You tell me what's wrong with th…
2017-01-24 00:50:20;SarahEMcBride;RT @nigelmfs: Kept warm at #Sundance chatting with team behind @ThisIsEverythng - and the incredible (and yes gorgeous) @TheGigiGorgeous. M…
2017-01-23 22:44:57;SarahEMcBride;"RT @SmartAssJen: Until the ACA, I was denied health coverage because I was trans. I was literally told they couldn't price a plan for my ""c…"
2017-01-23 22:35:23;SarahEMcBride;"RT @ThisIsEverythng: The official extended trailer for ""This is Everything: Gigi Gorgeous"" is now LIVE on https://t.co/iMEXXJydiu 🎥👏🏻👀 http…"
2017-01-23 22:33:20;SarahEMcBride;"RT @HRC: Very excited that @HRC's @SarahEMcBride &amp; @TheGigiGorgeous spoke about #transgender equality today at #Sundance2017 https://t.co/I…"
2017-01-23 22:20:05;SarahEMcBride;Spending the day at Sundance with this lovely lady, @TheGigiGorgeous, for a panel on the new docu on her life, This… https://t.co/E2AWoKCLvL
2017-01-23 22:18:00;SarahEMcBride;RT @NCCWSL: Check out this #video of @SarahEMcBride, one of our 2016 #Women of Distinction! https://t.co/Kt7ETTX4Hm @whyy https://t.co/zVtQ…
2017-01-23 04:15:50;SarahEMcBride;Terrible mess @slcairport and @AmericanAir. Been parked for forty mins waiting for gate.
2017-01-23 01:12:25;SarahEMcBride;@MaraKeisling Thank you for sharing, Mara! Kudos go to Ardis, Richard, and Joe, who lead this effort. Just honored to be a small part.
2017-01-23 01:11:56;SarahEMcBride;RT @MaraKeisling: I am so thrilled to see this. We are all so better off because of Andy and now his legacy will help more. Amazing. Thanks…
2017-01-22 22:27:17;SarahEMcBride;@TheDursoIsIn and ❤️💛💙💚💜
2017-01-22 22:27:03;SarahEMcBride;@TheDursoIsIn the credit goes to Ardis, Richard, and @JoeLuginbill
2017-01-22 21:55:51;SarahEMcBride;@traceylross ❤️💛💚💙💜
2017-01-22 21:45:32;SarahEMcBride;@MissAmericaMO thank you so much. He was a great person. Glad we can keep his legacy alive though! ❤️❤️
2017-01-22 21:20:52;SarahEMcBride;@madams104 thank you!!!
2017-01-22 21:20:42;SarahEMcBride;RT @madams104: What a beautiful way to honor Andy Cray who worked so hard to improve trans health access. Adding to my 2017 giving plan now…
2017-01-22 20:52:44;SarahEMcBride;@gauragDC Love you forever and always, G!
2017-01-22 20:52:25;SarahEMcBride;RT @gauragDC: I love you @SarahEMcBride, I miss him, and I'm so proud of you both. https://t.co/jSJHVEYbFc
2017-01-22 20:51:29;SarahEMcBride;"@kpwalling &lt;3"
2017-01-22 20:46:49;SarahEMcBride;We honor my late husband, Andy, a fierce trans advocate, with the launch of the Andrew Cray Memorial Scholarship.… https://t.co/mTFoXXWNSZ
2017-01-22 17:44:27;SarahEMcBride;RT @emilyslist: These women are ready to run for office! Keep an eye out for them on a ballot near you soon! #ReadyToRun https://t.co/J2nh8…
2017-01-22 03:33:32;SarahEMcBride;RT @chrislhayes: Reality matters.
2017-01-21 17:47:55;SarahEMcBride;RT @whyyfirst: First Person: Sarah McBride https://t.co/4O0RrlqVL3 #netDE
2017-01-21 17:28:49;SarahEMcBride;RT @allanbrocka: Now this is what a mandate looks like. 👏👏👏❤❤❤ #WomensMarch #WomensMarchOnWashington https://t.co/RSMDGAIFcU
2017-01-21 17:22:55;SarahEMcBride;Amazing speech by @janetmock! Inclusive, radical, intersectional, and needed! Thank you! #WomensMarch
2017-01-21 15:07:50;SarahEMcBride;RT @kaitrichmond: #WomensMarch in DC, Boston, Paris and London. https://t.co/9A3yx0355N
2017-01-21 02:15:55;SarahEMcBride;The gold curtains are, ironically, the same ones used by Bill Clinton in his Oval Office. https://t.co/nHxd0EkRpI
2017-01-21 01:56:19;SarahEMcBride;"RT @OliviaAlair: .@realDonaldTrump has been president for 5 hours &amp; already appointed the man who DEFENDED anti-LGBTQ #hb2 law in NC to lea…"
2017-01-20 21:41:31;SarahEMcBride;"RT @HRC: The Trump Administration has removed all mentions of #LGBTQ people &amp; rights from https://t.co/N4BDFyNf18 https://t.co/yrf3rcagw0"
2017-01-20 19:17:11;SarahEMcBride;RT @HRC: For #InaugurationDay @HRC is sharing messages of hope from our online community. This is one of our favorites. https://t.co/z27rlQ…
2017-01-20 19:16:44;SarahEMcBride;RT @HRC: Less than two hours after Trump's #Inauguration, all mentions of #LGBT have been removed from https://t.co/OItQe9wFFC. https://t.c…
2017-01-20 19:16:24;SarahEMcBride;More like a constitutionally mandated two term limit after being elected twice with a majority of voters both times. https://t.co/1lkDa4kTSu
2017-01-20 18:27:53;SarahEMcBride;RT @BryanAGraham: Climate change (https://t.co/EEk7HRdeK6) and LGBT rights (https://t.co/OzKWlLEfjL) pages have been removed from the White…
2017-01-20 18:13:32;SarahEMcBride;RT @ABC: Former Vice Pres. Biden and Dr. Jill Biden board Amtrak train to head home to Delaware. https://t.co/2moHOZYdVL https://t.co/rS5fV…
2017-01-20 18:12:58;SarahEMcBride;RT @POTUS44: I'm still asking you to believe - not in my ability to bring about change, but in yours. I believe in change because I believe…
2017-01-20 17:55:17;SarahEMcBride;RT @eilperin: The plane now called Special Mission 28000 (for the day) is waiting at Joint Base Andrews #ObamaFarewell https://t.co/3CYPNLo…
2017-01-20 17:44:38;SarahEMcBride;Thank you for your compassion, brilliance, and grace. https://t.co/jK2w1Muy15
2017-01-20 17:27:29;SarahEMcBride;Hello from the other side.
2017-01-20 17:05:30;SarahEMcBride;“The only thing you have to fear is my authoritarian rule and close relationships with our geopolitical enemies” – Donald Trump, basically
2017-01-20 17:04:10;SarahEMcBride;And the skies open up the moment Donald Trump is inaugurated.
2017-01-20 17:02:48;SarahEMcBride;“Ask not what your country can do for you, ask what you can do for my bank account.” – President Donald Trump, basically
2017-01-20 17:00:42;SarahEMcBride;"""What have we done? We've made a terrible mistake.""

-60% of America, basically"
2017-01-20 16:28:16;SarahEMcBride;The dynamic duo one last time as President and Vice President of the United States. Thanks Obama/Biden! https://t.co/X7NR0WIhMN
2017-01-20 16:19:39;SarahEMcBride;RT @JillBidenVeep: So much grace and goodness. True role models for everyone. https://t.co/3AuH5hvFQT
2017-01-20 15:56:42;SarahEMcBride;"RT @HillaryClinton: I'm here today to honor our democracy &amp; its enduring values. I will never stop believing in our country &amp; its future. #…"
2017-01-20 14:37:15;SarahEMcBride;"RT @nowthised: Reporters to @BarackObama as he departs Oval - 'any final words for the American people?' 

'Thank you' is his reply"
2017-01-20 00:46:34;SarahEMcBride;RT @WhiteHouse: Because you fought to make it happen, marriage equality is the law of the land, and we made progress on ensuring that all a…
2017-01-20 00:26:36;SarahEMcBride;@vogcharlie I love you!! Haha
2017-01-19 23:11:06;SarahEMcBride;"""I don't know if it's ever been done before. It must have been somber.""

2009: https://t.co/ub7vf5aC5e"
