timestamp;sn;text
2017-02-01 05:21:09;seanhannity;"I can name many others. I made my point. Thank you irredeemable deplorable friends. U did this. Rest well &amp; cling t… https://t.co/Qk88JQaDJr"
2017-02-01 05:17:49;seanhannity;I have been critical of Senator McConnell. He deserves our respect and thanks for fighting on this. I hope he is re… https://t.co/nmv7UARAzo
2017-02-01 05:15:15;seanhannity;Clyde, it's not about humility.  These people tried to sabotage @realDonaldTrump every step of the way. If they had… https://t.co/MGtTzZU8iZ
2017-02-01 05:04:58;seanhannity;No thanks to you Bill. Maybe time to man up and admit you were wrong about @POTUS. I won't hold my breath. Tonight… https://t.co/uCAAsTDrNs
2017-02-01 05:02:08;seanhannity;"@NRO, Tonight happened in spite of you. IMHO you owe every ""irredeemable deplorable"" Trump supporter and @POTUS an… https://t.co/FxuYlCq2AQ"
2017-02-01 04:57:07;seanhannity;K-Lo it wouldn't matter who @realDonaldTrump @POTUS picked the left would oppose. https://t.co/8OQqRNlaIX
2017-02-01 03:58:00;seanhannity;Question of the Day: What do you think of President Trump's Supreme Court pick? #Hannity
2017-02-01 03:28:55;seanhannity;RT @seanhannity: An Originalist and Constitutionalist. No thanks to NRO, WSJ, and Weekly Standard. Thank you Irredeemable deplorable friend…
2017-02-01 03:00:01;seanhannity;President Trump has picked Judge Neil Gorsuch as his US Supreme Court nominee… Get my take now! #Hannity
2017-02-01 02:35:52;seanhannity;Tonight on #Hannity I get live reaction to President Trump's SCOTUS pick from @IngrahamAngle, @WilliamJBennett, @CornelWest and much more!
2017-02-01 01:38:17;seanhannity;"@SenMikeLee ""Judge Gorsuch is an outstanding choice"" ""I have argued before him"""
2017-02-01 01:32:57;seanhannity;"@realDonaldTrump @POTUS keeps another HUGE campaign promise. @tedcruz calls this a ""Homerun""."
2017-02-01 01:17:47;seanhannity;Gorsuch and Scalia. https://t.co/nzkeR6LdBX
2017-02-01 01:07:13;seanhannity;An Originalist and Constitutionalist. No thanks to NRO, WSJ, and Weekly Standard. Thank you Irredeemable deplorable friends. U did this!!
2017-02-01 01:03:59;seanhannity;Maureen Scalia is in the room. Gorsuch is a great choice.
2017-02-01 01:02:33;seanhannity;https://t.co/nzkeR6LdBX
2017-02-01 00:23:55;seanhannity;I know Bannon, Miller, Reince, Jared and Kellyanne and all of them are up for the job. Not sure they could be the s… https://t.co/4AAmplYXkJ
2017-02-01 00:20:37;seanhannity;Mark it has only been 11 days!!! You just want to jump down the guys throat. Look at the promises he has already ke… https://t.co/Rpflhnpwjh
2017-02-01 00:16:30;seanhannity;If @realDonaldTrump keeps his word and nominates an Originalist to the SCOTUS, Will NRO Weekly Standard WSJ snobs apologize to Trump voters?
2017-01-31 23:23:34;seanhannity;You need to interview parents whose children were killed by illegal immigrants like I have, and then tell me what y… https://t.co/GauoZuGSQ0
2017-01-31 23:13:21;seanhannity;Mark here is what I want. Our country safe and secure. I also want the economy moving to help people get jobs, get… https://t.co/YRSqf4anPp
