timestamp;sn;text
2017-02-01 02:32:27;SenatorBaldwin;BREAKING: Senator Baldwin’s Statement on President Trump’s U.S. Supreme Court Nomination → https://t.co/fTcQiGevC7 https://t.co/x3KwHVTUmm
2017-02-01 00:02:54;SenatorBaldwin;I'm fighting back and cosponsoring legislation to rescind the executive order. https://t.co/b9PgMxtqwZ
2017-02-01 00:02:27;SenatorBaldwin;With the stroke of his pen, President Trump’s travel ban will make ISIS stronger, weaken America’s counterterrorism efforts and cost lives.
2017-01-31 23:28:55;SenatorBaldwin;Read more about the @ChrisMurphyCT and @SenFeinstein legislation I'm cosponsoring: https://t.co/b9PgMxtqwZ
2017-01-31 23:28:39;SenatorBaldwin;"I've joined the fight to block &amp; rescind @POTUS' discriminatory executive order."
2017-01-31 22:57:46;SenatorBaldwin;The Financial Services Conflict of Interest Act will help ensure our government is truly of, by and for the people. https://t.co/OLMquxH3GB
2017-01-31 22:56:56;SenatorBaldwin;Today, I intro’d a reform with @RepCummings to slow the revolving door and stop golden parachutes like Tillerson's Exxon payout.
2017-01-31 22:56:27;SenatorBaldwin;Wisconsin families can’t afford to have insiders running our government to rig the rules on behalf of corporatations. #Tillerson
2017-01-31 22:55:21;SenatorBaldwin;Tillerson received a $180 million golden parachute from ExxonMobil. It’s hard to imagine our nation's top diplomat will forget such a favor.
2017-01-31 22:53:09;SenatorBaldwin;.@POTUS said he wants to #DrainTheSwamp. His appointment of Rex Tillerson for Secretary of State suggests otherwise.
2017-01-31 22:51:27;SenatorBaldwin;Taking to the Senate floor soon to oppose the nomination of Rex Tillerson to serve as Secretary of State. Watch: https://t.co/tXfqXcgT2j
2017-01-31 19:37:49;SenatorBaldwin;.@KBJR6news: Senator Baldwin writes letter to Trump urging FDA to solve milk mislabeling https://t.co/L3apRyKKUU
2017-01-31 16:37:58;SenatorBaldwin;ICYMI, I will not be supporting Betsy #DeVos for our next Secretary of Education → https://t.co/3lcrOlOHwK
2017-01-31 15:39:00;SenatorBaldwin;"I don't believe #DeVos respects Wisconsin's long &amp; proud tradition of supporting quality public education for all. She won't get my vote."
2017-01-31 15:10:01;SenatorBaldwin;Betsy #DeVos lacks the public education experience and qualifications to be our next Secretary of @usedgov. https://t.co/3lcrOlOHwK
2017-01-31 14:55:08;SenatorBaldwin;We need an AG who will protect constitutional freedoms of all Americans and not be driven by politics. #Sessions won't get my vote.
2017-01-31 14:35:07;SenatorBaldwin;I oppose Jeff Sessions for Attorney General. Americans deserve an independent @TheJusticeDept that works for them. https://t.co/hhjzdyykfy
2017-01-31 02:32:00;SenatorBaldwin;"Friday: With his pen, @POTUS turned his back on our American values. 
Saturday: With his phone, @POTUS got cozy with Putin."
2017-01-31 00:50:53;SenatorBaldwin;Tonight, we stand united. I'm proud to stand up for our American values, shoulder to shoulder with all of you. https://t.co/dgSxXmuYmA
2017-01-30 22:50:38;SenatorBaldwin;Tonight, we stand united. Join us at 6:00 pm et on the steps of the Supreme Court. https://t.co/grXMNksQNj
2017-01-30 22:23:44;SenatorBaldwin;2/ That’s why I've joined @SenMarkey in calling on Rex Tillerson to recuse himself from all matters related to ExxonMobil.
2017-01-30 22:23:10;SenatorBaldwin;1/ The American people can’t afford to have our Secretary of State in the pocket of powerful corporations and special interests.
2017-01-30 22:02:01;SenatorBaldwin;I cannot and will not support Congressman Price’s confirmation for Secretary of Health and Human Services. https://t.co/1086m1hPoB
2017-01-30 20:40:29;SenatorBaldwin;"Proud to cosponsor @ChrisMurphyCT’s legislation to block @POTUS’ harmful restriction on refugees &amp; immigrants."
2017-01-30 19:03:02;SenatorBaldwin;I will not support Betsy DeVos for Secretary of @usedgov → https://t.co/3lcrOlOHwK
2017-01-30 17:35:09;SenatorBaldwin;ICYMI, I've announced my opposition to Senator Jeff Sessions' nomination for U.S. Attorney General. https://t.co/hhjzdyykfy
2017-01-29 17:58:30;SenatorBaldwin;We need extreme vetting of @POTUS' Exec Orders before he signs. Travel ban will make ISIS stronger, weaken counterterrorism and cost lives.
2017-01-29 14:02:01;SenatorBaldwin;"On Friday, we sent a letter to Betsy #DeVos about her conflict of interests:
https://t.co/ePUpWWAHKZ"
2017-01-29 00:32:00;SenatorBaldwin;"We can do more for workers:
Fight against outsourcing.
Establish #BuyAmerica rules.
Crack down on China cheating.
https://t.co/e4YGjwW6e7"
