timestamp;sn;text
2017-01-16 02:01:03;SenatorReid;My dear friend Tim Mitchell was an institution. I will always remember all the good he did for me and the country. https://t.co/Fs8YiP4NIm
2017-01-03 13:40:05;SenatorReid;"RT @SenSchumer: House GOP's 1st act a little different frm @SenatorReid's as Maj Ldr in '07; he intro'ed S1, Honest Leadership &amp; Open Gov A…"
2016-12-30 21:32:21;SenatorReid;Jan Chamberlin is a person of good conscience, and I support her. https://t.co/b6hAVn1wkp
2016-12-27 00:44:27;SenatorReid;RT @StopBigMoney: .@SenatorReid: Because of #CitizensUnited, “The country is up for sale right now.” https://t.co/ApdkgbgeU5 https://t.co/H…
2016-12-21 17:08:58;SenatorReid;RT @KNPRnews: After 34 years, @SenatorReid is leaving Congress. JOIN our conversation with the long-serving lawmaker at 9 a.m.: https://t.c…
2016-12-15 14:57:53;SenatorReid;'Nevada’s unemployment rate hits nine-year low in November' https://t.co/uYKbvI1DBl
2016-12-13 23:15:17;SenatorReid;RT @Newseum: In just a few min, @SenatorReid will join @BuzzFeed and @BuzzFeedPol for #BuzzFeedBrews. Watch it here: https://t.co/vvom3KvZRf
2016-12-13 22:17:19;SenatorReid;"RT @MeetThePress: ""Yes, I believe that Putin did what he could to try to discredit the democratic process here and in doing so he wins"" - @…"
2016-12-13 21:41:19;SenatorReid;RT @Newseum: @SenatorReid joins @BuzzFeed Brews at the Newseum tonight - watch live at 6:30 PM https://t.co/vvom3KvZRf @BuzzFeedPol
2016-12-10 21:41:40;SenatorReid;@foxnation @FoxNews I don't. https://t.co/H4JsI1KS91
2016-12-10 19:27:47;SenatorReid;@MiaFarrow Thank you Mia. Did you know I have a grandchild who was named after you?
2016-12-08 23:23:21;SenatorReid;RT @USSenatePhoto: Press Photographers capture the moment as @SenatorReid unveils his leadership portrait in the Kennedy Caucus Room. https…
2016-12-08 21:01:38;SenatorReid;I’m happy to be joined by my friends and colleagues for a special event. You can watch it live here: https://t.co/oy3tXNxv7Z
2016-12-08 14:31:58;SenatorReid;Today I deliver my farewell address to the Senate. Watch it live here: https://t.co/lYThiYebjJ
2016-12-07 20:42:54;SenatorReid;Joe Biden’s life is the stuff of which movies are made. He's had a stellar career in the Senate and as our VP. Prou… https://t.co/MttY5UEUfg
2016-12-07 18:18:18;SenatorReid;RT @patagonia: Have you seen 'The Refuge'? Bernadette thanked @SenatorReid w/ handmade shoes on the 56th anniversary of the Arctic Nat'l Wi…
2016-12-07 15:33:14;SenatorReid;"I cannot think of a better person with which to leave public service. Thank you @POTUS for being who you are.
https://t.co/BKMsWLedCM"
2016-12-05 20:19:30;SenatorReid;I admire those who locked arms with the Standing Rock Sioux. Appropriately enough, these people called themselves ‘water protectors.’
2016-12-05 20:15:25;SenatorReid;Yesterday in bitter cold of North Dakota December, there was a celebration at Standing Rock. I'm glad Army Corps made the right decision.
2016-12-02 15:02:21;SenatorReid;"RT @christine_kolbe: Senator Harry Reid - ""If a report came out saying 200 million men had had a testicle removed. Would the world still st…"
2016-12-02 15:01:40;SenatorReid;"RT @Mariamaworld: #EndingVAW - #FGM is  not going to end just with the help of women, but instead with both men &amp; women support.Thank you S…"
2016-12-02 15:01:01;SenatorReid;RT @USIP: Watch live: @SenatorReid delivers remarks at the #endFGM conference: https://t.co/csYmYBcLCt #endviolenceagainstgirls
2016-12-01 15:21:04;SenatorReid;We’ll all miss @SenatorBarb's sharp wit. She loved her job and she did it extremely well. Thanks for your friendshi… https://t.co/KUEnMDpKlY
2016-11-30 15:48:07;SenatorReid;I have three brothers and @SenatorBoxer is the sister I've never had. Barbara, thank you for your wonderful service. https://t.co/XOtely77LA
