timestamp;sn;text
2017-02-01 01:46:21;SherrodBrown;SCOTUS nominee Neil Gorsuch believes corporations are people. I can't stand behind a nominee who doesn't recognize the needs of Ohioans.
2017-01-31 19:00:01;SherrodBrown;"Mnuchin lied in committee hearings, proving he doesn't belong in the Treasury Secretary. Say ""NO"" to Mnuchin: https://t.co/uxy9k6aTel"
2017-01-31 17:15:28;SherrodBrown;"Sherrod led a boycott on a markup hearing for Trump's Treasury Secretary pick, Steve Mnuchin. Say ""NO"" to Mnuchin: https://t.co/uxy9k6aTel"
2017-01-29 22:11:00;SherrodBrown;President Trump’s executive order turns our back on children and families that are escaping violence and persecution https://t.co/50zi5mNPK3
2017-01-27 16:10:01;SherrodBrown;Trump's FCC pick wants to end #netneutrality regs - another example of appointees prioritizing corporate interests. https://t.co/tojKBkuONE
2017-01-25 21:22:01;SherrodBrown;Putting Mnuchin in charge of Treasury Dept. will build a gov't ripe for corruption. Add your name if you agree: https://t.co/tSwdvDSmt1
2017-01-23 01:13:49;SherrodBrown;Yesterday's #WomensMarch was an inspiring day filled with love. Thanks for a peaceful demonstration!
2017-01-21 23:00:02;SherrodBrown;"President Trump formally nominated Goldman Sachs alum Steven Mnuchin as Treasury Sec. Sign to say ""no"" to Mnuchin &gt;&gt; https://t.co/xDErHeg97q"
2017-01-21 14:15:22;SherrodBrown;"Simply put, women deserve equal rights. I will always be a voice for women in Ohio &amp; stand against measures to take away women's rights."
2017-01-20 02:01:23;SherrodBrown;I am opposing Steven Mnuchin's nomination to be Treasury Secretary. If you agree, sign my petition here: https://t.co/b2FpZcbyOf
2017-01-17 02:44:23;SherrodBrown;"MLK knew the path to progress is an uphill battle. ""Faith is taking the first step, even when you don't see the whole staircase."" #MLKDAY"
2017-01-09 19:45:01;SherrodBrown;"Demand Congress &amp; the president-elect stop their assault on the ACA. Add your name: https://t.co/EhtN0ZDXE7 https://t.co/WRcgpvSEQC"
2016-11-26 15:43:53;SherrodBrown;It's ga❌e day in Colu❌bus for @OhioState. Let ❌e hear you: OH-
2016-11-24 19:28:00;SherrodBrown;I hope your holiday is filled with good cheer, friends, and family. From Connie, me, and the whole family, happy Thanksgiving. -SB
2016-11-17 00:53:50;SherrodBrown;Add your name to call on President-elect Trump to do the right thing -- fire Steve Bannon. https://t.co/ooipoxrYVT
2016-11-09 16:14:07;SherrodBrown;Congratulations to Maggie Hassan in New Hampshire. I'm excited to have another strong advocate for middle class families in the Senate.
2016-11-08 17:09:39;SherrodBrown;Ohio workers are hitting the doors. #GOTV https://t.co/jX3V5AolQT
2016-11-08 02:18:46;SherrodBrown;"Sherrod &amp; Franklin stopped by the ODP to thank the hardworking election protection team. For voting info visit… https://t.co/yHbswYd0Wy"
