timestamp;sn;text
2017-02-01 07:13:02;AmbassadorRice;"RT @CharlesMBlow: If DT can ban Muslims ""until we figure out what the hell is going on,"" we can block justices ""until we figure out what th…"
2017-01-31 16:53:58;AmbassadorRice;Long tradition of State officers airing dissenting views w/o retribution is necessary. Kill that and kill a profess… https://t.co/Sbe90n5HbY
2017-01-31 07:10:58;AmbassadorRice;Sally is a highly respected career professional. To attack her judgment, integrity or commitment to our country is… https://t.co/tYGHILIZUS
2017-01-30 09:18:53;AmbassadorRice;My deepest condolences to the victims of this heinous attack on #Quebec City mosque. We stand in solidarity with ou… https://t.co/d25RsQVuED
2017-01-30 08:56:06;AmbassadorRice;Yes, Senator. You are absolutely right. This EO will make us far less safe. Quickly https://t.co/3PNzasimbH
2017-01-29 08:31:45;AmbassadorRice;Pence may chair NSC mtgs in lieu of POTUS. Never happened w/Obama. UN Amb sidelined from Cabinet and Sub Cab mtgs. #NationalSecurityCouncil
2017-01-29 08:28:51;AmbassadorRice;"Chair of Joint Chiefs &amp; DNI are after thoughts in Cabinet level principals mtgs. And CIA?? Cut out of everything? #NationalSecurityCouncil"
2017-01-29 08:16:38;AmbassadorRice;Chairman of Joint Chiefs and DNI treated as after thoughts in Cabinet level principals meetings. And where is CIA?? Cut out of everything?
2017-01-29 08:15:19;AmbassadorRice;Pence may chair NSC meetings in lieu of POTUS. Never happened under Obama. UN Ambassador sidelined from Cabinet and Sub cabinet level mtgs.
2017-01-29 07:52:33;AmbassadorRice;This is stone cold crazy. After a week of crazy. Who needs military advice or intell to make policy on ISIL, Syria,… https://t.co/1Hk790Icye
2017-01-28 16:38:20;AmbassadorRice;RT @ChemiShalev: Then: President Trump is right. We grab 'em by the pussy too. Then kiss. Also Tic Tacs. Like a magnet.  We are stars of Da…
2017-01-28 16:27:08;AmbassadorRice;"""Innocents"" in #HolocaustMemorialDay statement refers to ALL civilians killed in WW2. NOT GENOCIDE against JEWS. #whitewashinghistory"
2017-01-28 13:22:16;AmbassadorRice;What sickness enables a statement on #holocaustmemorialday that ignores 6 million Jews!  Just imagine the response if Pres. Obama did that.
2017-01-27 12:52:48;AmbassadorRice;Mexico and US must be partners not adversaries. Our economic ties run deep and benefit both countries. Pena Nieto gets it. Why box him in?
2017-01-27 12:48:52;AmbassadorRice;Messing with Mexico is stupid and dangerous. Mexico has been key to limiting the flow of Central American migrants to the US.
2017-01-27 11:34:34;AmbassadorRice;Proud of my dear friend @SylviaBurwell who will be a fantastic President of @AmericanU. Great news for @AmericanU c… https://t.co/PgVMDXai2B
