timestamp;sn;text
2017-02-01 02:33:35;TalleySergent;"(2/2) @TheDemocrats would be better to air grievances, skip obstruction &amp; get to organizing to win Senate seats. Only way to make change."
2017-02-01 02:30:38;TalleySergent;(1/2) While I wish #SCOTUS was comprised of 9 Ruth Bader Ginsburgs, the @SenateDems do not have the votes to stop the #Gorsuch nomination.
2017-01-31 00:14:56;TalleySergent;#ThankYou @Sen_JoeManchin ... #NoHateNoFear #NoBanNoWall #MuslimBan https://t.co/do41KUrdFB
2017-01-31 00:11:19;TalleySergent;Proud that @CocaCola opposes #MuslimBan. https://t.co/V67mGUhwXK https://t.co/EN3gCeMTnr
2017-01-30 19:46:04;TalleySergent;"The power of brands to shape public opinion is real. 

👏👏👏 to @Nike, @Starbucks, @lyft &amp; @adidas for stepping up. 

#NoHateNoFear #MuslimBan"
2017-01-30 04:01:26;TalleySergent;#WestVirginia proud! https://t.co/rG1ZGuJNzo
2017-01-29 15:43:03;TalleySergent;"RT if you agree: America is Beautiful! #NoBanNoWall #NoHateNoFear #LetThemIn #MuslimBan 

https://t.co/D6pQ4wVpEv"
2017-01-29 08:00:33;TalleySergent;"RT @HillaryClinton: I stand with the people gathered across the country tonight defending our values &amp; our Constitution. This is not who we…"
2017-01-29 02:34:37;TalleySergent;🇺🇸 1, @realDonaldTrump 0. https://t.co/dJDD4vGmID
2017-01-29 01:21:56;TalleySergent;@jmartNYT - got beat by @WVUhoops handily earlier this week.
2017-01-29 01:05:58;TalleySergent;The #LoveActually arrivals gate @HeathrowAirport got nothin' on @JFKairport #JFKTerminal4! #NoHate #NoFear… https://t.co/ajCxwQv4aQ
2017-01-28 21:06:49;TalleySergent;".@realDonaldTrump feeds off of chaos &amp; mayhem w/o regard to people or the law. He's sitting back w Bannon &amp; enjoying the show. 
Sickening."
2017-01-28 20:47:13;TalleySergent;"This. 

Thank you @JustinTrudeau. 

#MuslimBan https://t.co/qOdsgUqUux"
2017-01-28 20:45:38;TalleySergent;"""Give me your tired, your poor, 
Your huddled masses yearning to breathe free ... 
Send these the homeless, tempest… https://t.co/dQ6VhQQJYb"
2017-01-28 13:07:32;TalleySergent;Go @serenawilliams! #Go🇺🇸! https://t.co/wTveF5Lb50
2017-01-27 20:24:53;TalleySergent;"We have seen walls of hate before. 

Auschwitz, Buchenwald, Dachau, Warsaw Ghetto. 

#NeverAgain #NeverForget #HolocaustRemembrance"
2017-01-27 01:20:29;TalleySergent;"Congrats #WestVirginia native @SecBurwell - excited for what the future holds for you &amp; @americanu! 
https://t.co/UCdHS5C17t"
2017-01-27 00:31:06;TalleySergent;#GoHeels! #Go🇺🇸!
