timestamp;sn;text
2017-02-01 02:16:06;TheAdvocateMag;RT @AP: BREAKING: North Dakota senator: Acting Army Secretary directs Army Corps to grant easement to finish Dakota Access pipeline.
2017-02-01 01:59:35;TheAdvocateMag;Our #NeilGorsuch story is updated with info on two #trans -related cases he was involved in (scroll to bottom)… https://t.co/2hK6Bqdbj3
2017-02-01 01:15:36;TheAdvocateMag;"Gorsuch: “A judge who likes every outcome he reaches is very likely a bad judge."" #SCOTUS"
2017-02-01 01:14:23;TheAdvocateMag;Gorsuch: “What’s expected of us: impartially, and independence, collegiality and courage.” #SCOTUS
2017-02-01 01:13:36;TheAdvocateMag;"""#Trump Nominates Conservative Judge #NeilGorsuch for SCOTUS"" https://t.co/SGouwYlSr4 #supremecourtnominee https://t.co/JLPa8AVet4"
2017-02-01 01:12:44;TheAdvocateMag;"Gorsuch: ""“Justice Scalia was a lion of the law."" #SCOTUS"
2017-02-01 01:10:00;TheAdvocateMag;"Trump: ""I can only hope that both Democrats and Republicans can come together for once for the good of the country."" #SCOTUS #Gorsuch"
2017-02-01 01:08:26;TheAdvocateMag;"Learn more about Trump's #supremecourtnominee Neil Gorsuch, a ""religious liberty"" champion: https://t.co/ViD6c3NSab"
2017-02-01 01:07:55;TheAdvocateMag;"Trump said Antonin Scalia's ""image and genius was in my mind throughout the decision-making process."" #SCOTUS #Gorsuch"
2017-02-01 01:06:18;TheAdvocateMag;"Trump: ""His or her decisions can a last a century of more and can often be permanent."" #SCOTUS #Gorsuch"
2017-02-01 01:05:21;TheAdvocateMag;"Trump: ""Millions of voters said this was the single most important issue to them when they voted for me for president."" #SCOTUS #Gorsuch"
2017-02-01 01:04:11;TheAdvocateMag;Trump's #supremecourtnominee is: Neil M. Gorsuch
2017-02-01 00:49:42;TheAdvocateMag;Any minute we'll hear who @POTUS 's #SCOTUS pick is.. Here's why he needs to be pressured on his LGBT record:… https://t.co/cqs6n57Ha3
2017-01-31 22:22:51;TheAdvocateMag;RT @outmagazine: What better time than now to #ExploreCanada? https://t.co/tVzr03Odls  #bucket list #OUTinCanada #ad https://t.co/EKqRhumVVW
2017-01-31 19:40:00;TheAdvocateMag;"""@GMHC: Trump's Halt of #Obamacare Ads Is 'Direct Attack' on HIV Community"" https://t.co/eMdnmBRv6W By @dnlreynolds https://t.co/aOx4xApOuQ"
2017-01-31 19:21:07;TheAdvocateMag;@eternalkerri @nbroverman was walking from a DR appt! :)
2017-01-31 19:15:44;TheAdvocateMag;Protests are becoming a fact of daily life in #LosAngeles #resist #StopPresidentBannon #stopsessions https://t.co/Lgsi03A8Qx
2017-01-31 17:21:04;TheAdvocateMag;"""I'm a Musician Who's #Trans, Not a Trans Musician"" https://t.co/qZLdWDKcL9 https://t.co/1jPVUgciYz"
2017-01-31 16:46:58;TheAdvocateMag;"""Senate Must Stand Firm Against Anti-Equality Supreme Court Candidates"" https://t.co/Ue6WGgkjO2 https://t.co/5HzABLC2xd"
2017-01-31 16:33:22;TheAdvocateMag;"""In Defense of @Madonna"" https://t.co/pUA2EQo037 A salute to ""General Madonna, Voice of the Trump #Resistance."" https://t.co/5WkPwsHIdu"
2017-01-31 16:25:10;TheAdvocateMag;"""The Advocate Nominated for @GLAAD Media Award"" https://t.co/Vgyym2359c By @dnlreynolds #GLAADAwards https://t.co/TsnJXP2J6d"
2017-01-31 07:19:42;TheAdvocateMag;"""Trump Backtracks on Campaign Promise, Won't Overturn #LGBT Protections"" https://t.co/uvAVN422Dz A win for… https://t.co/4keyuDec2p"
2017-01-31 02:51:21;TheAdvocateMag;RT @e_alexjung: at least sally yates went down guns fucking blazing https://t.co/YGKpxirOOp
2017-01-31 02:50:51;TheAdvocateMag;"RT @eternalkerri: Holy Shit.  #MondayNightMurder  #ImpeachmentNow

https://t.co/2ccSHjinVw"
2017-01-31 02:09:24;TheAdvocateMag;Boy Scouts Will Allow Trans Kids: https://t.co/sWjx3lx2QC https://t.co/aJYH7PEr01
2017-01-31 01:33:50;TheAdvocateMag;RT @FeeneyWalker2: My sister came out 2 years ago. She got engaged 3 days ago. If Trump signs that LGBT EO, I will not be quiet. I'm ready…
2017-01-31 00:28:04;TheAdvocateMag;.@AP is reporting @boyscouts will allow #trans boys to participate in scouting programs. Developing... https://t.co/kGRQfCU4yQ
2017-01-30 23:56:27;TheAdvocateMag;"""#PeterThiel Defends #Trump's #MuslimBan"" https://t.co/ueAoFzt7Tq By @yezyes https://t.co/In933YKveg"
2017-01-30 23:54:16;TheAdvocateMag;RT @nprpolitics: #BreakingNews: Acting Attorney General Sally Yates says the DOJ will not defend Trump's immigration executive order in cou…
2017-01-30 21:11:11;TheAdvocateMag;"""White House Staying Mum on Rumors of Anti-#LGBT Exec Order"" https://t.co/VyjJ9bQbnp https://t.co/r5X2ds2RIi"
