timestamp;sn;text
2016-11-07 21:13:00;TheBriefing2016;Reminder: Donald Trump built his campaign on demonizing immigrants. https://t.co/mc3hEIqp44
2016-11-07 19:20:02;TheBriefing2016;Donald Trump is already having an effect on our kids—and he's only a candidate. Imagine him as president.… https://t.co/7RiCi3X9ko
2016-11-07 17:37:52;TheBriefing2016;"We put many, but not all, of the terrible things Donald Trump has said about women into one video. (It's lengthy.)

https://t.co/bukoNdiI0a"
2016-11-06 20:27:05;TheBriefing2016;"RT @brianefallon: We were always confident nothing would cause the July decision to be revisited. Now Director Comey has confirmed it
https…"
2016-11-06 18:34:00;TheBriefing2016;In the spirit of friendship, here's Donald Trump's ISIS plan for your consideration. https://t.co/Ye3mjC6ITg
2016-11-06 16:30:00;TheBriefing2016;Think the Bush tax cuts didn't give enough money away to the super wealthy? You'll love the Trump tax cut. https://t.co/t7uqdc9u4o
2016-11-05 17:32:01;TheBriefing2016;Here's how the news covered it when Trump's company was busted for discriminating against African American renters.… https://t.co/701lJ6jVBf
2016-11-05 02:02:01;TheBriefing2016;"Millions lost their homes during the housing crisis.

Donald Trump tried to cash in. 

He says ""that's called busin… https://t.co/s2qTEC3VNF"
2016-11-05 00:32:00;TheBriefing2016;"We'd make a ""Sad!"" joke, but this is actually sad. https://t.co/NEY8AAvsau"
2016-11-04 22:01:00;TheBriefing2016;4000! https://t.co/805s6Ynpj2
2016-11-04 20:44:00;TheBriefing2016;Want to grow your wealth faster than Donald Trump? Put your money in an index fund...and leave it. https://t.co/F4xjzHstMh
2016-11-04 19:23:00;TheBriefing2016;Trump University actually instructed its employees to prey on single parents with hungry kids. https://t.co/lNTUfaZ8OB
2016-11-04 18:29:05;TheBriefing2016;Fox News' @BretBaier, who first reported the debunked story about Clinton Foundation indictments, apologizes and re… https://t.co/HskWjPRpQM
2016-11-04 18:17:00;TheBriefing2016;"Some candidates talk about outsourcing. 

Donald Trump has a record of results. https://t.co/ymKIXPdAkX"
2016-11-04 17:31:01;TheBriefing2016;"So Wall Street put Donald Trump on an allowance and his daddy had to bail him out. 

Growing up is hard.… https://t.co/ZnMoNUOZS7"
2016-11-04 16:43:14;TheBriefing2016;"The phony Fox News report of a ""likely"" indictment in the Clinton inquiry just keeps on keepin' on. https://t.co/dzwqLjVTTN"
2016-11-04 15:28:39;TheBriefing2016;Donald Trump's economic plan is great for Donald Trump and probably pretty terrible for you. https://t.co/MSVI6pUqUE https://t.co/kG0EmXJNeF
2016-11-04 13:53:18;TheBriefing2016;"RT @brianefallon: This sure seems like adequate grounds for an Inspector General review.
https://t.co/EEJIfrFB0H"
2016-11-03 22:27:54;TheBriefing2016;".@chucktodd: ""What is the status of the FBI investigation into the Clinton Foundation?""

@PeteWilliamsNBC: ""There r… https://t.co/cea3V3GtnU"
2016-11-03 19:36:05;TheBriefing2016;"Donald Trump got rich while discriminating. 

He's campaigned the same way. 

Imagine him in the White House.… https://t.co/rASqYqzm3S"
2016-11-03 17:46:23;TheBriefing2016;"He said a judge's heritage makes him unfit to do his job. 

His companies openly committed discrimination.

Now imagine Trump as President."
2016-11-03 15:56:18;TheBriefing2016;"Trump's company stamped African American rental applications with a ""C."" 
 
It meant ""colored.""  

They'd be denied… https://t.co/TfEsBgEbup"
2016-11-03 00:12:00;TheBriefing2016;A Trump presidency would mean an unprecedented amount of global conflicts of interest. https://t.co/iyEaDwF7aW
2016-11-02 21:17:00;TheBriefing2016;You've heard about Donald Trump's income tax avoidance. Here are his other methods to avoid paying his fair share. https://t.co/QggoxeqchT
2016-11-02 19:56:00;TheBriefing2016;If Trump becomes president, his children would still have major business ties with a number of foreign interests. https://t.co/iyEaDwF7aW
2016-11-02 19:10:00;TheBriefing2016;This Trump guy sure sounds like an up-standing, taxpaying citizen. https://t.co/Qggoxe8ATj https://t.co/v1FDN346oX
2016-11-02 18:20:01;TheBriefing2016;Easy to forget that Trump claimed that a Mexican-American judge's heritage disqualifies him from doing his job. https://t.co/qC2uE9LWVo
2016-11-02 17:42:00;TheBriefing2016;Under a Trump presidency, we'd be the only country in the world with a religious litmus test for immigration. https://t.co/3tXiQwwkAC
2016-11-02 16:51:01;TheBriefing2016;The national director of the KKK explains his organizations endorsement of Donald Trump:  https://t.co/RFHoYJ4fOL
2016-11-02 15:59:56;TheBriefing2016;Donald Trump's not using a dog whistle. He's using a foghorn. https://t.co/Q6ME9fFsHi
2016-11-02 00:35:00;TheBriefing2016;Trump avoided income taxes for years by utilizing a legally dubious tax scheme...that Hillary later helped end. https://t.co/9QzVTkBewB
2016-11-01 23:50:01;TheBriefing2016;"Glenn Beck (of all people!) says that the Comey letter ""one of the most irresponsible things to ever happen."" https://t.co/MkgKhWB2Wy"
2016-11-01 22:35:00;TheBriefing2016;Toooootally normal.  https://t.co/AZujgUQruE https://t.co/mducZStjdZ
2016-11-01 21:02:00;TheBriefing2016;This says it all. https://t.co/quvWGtP2nP
2016-11-01 20:19:01;TheBriefing2016;"Trump avoided paying taxes by using a tax scheme so ""legally dubious"" that even his own lawyers advised against it. https://t.co/9QzVTkBewB"
2016-11-01 19:26:00;TheBriefing2016;We could tell you what Donald Trump thinks about women, but he's said himself already. https://t.co/jQRYwG8JZN
2016-11-01 18:50:01;TheBriefing2016;Donald Trump was briefed that the Russians were to blame for the DNC hacks. He still denies it anyway. https://t.co/XUnClodq6v
2016-11-01 18:07:01;TheBriefing2016;Donald Trump believed that as a paegent owner, he was entitled to walk in on dressing rooms. https://t.co/LHPLIL1udJ https://t.co/5Xyf6DQxQn
2016-11-01 17:15:01;TheBriefing2016;How did Donald Trump avoid paying taxes for years? By writing off other people's losses. https://t.co/9QzVTkjD81
