timestamp;sn;text
2017-02-01 01:04:55;TheDemocrats;Judicial scholars are worried that Gorsuch could be even more extreme than Scalia. Americans deserve a better Supre… https://t.co/Z4HPF0cxHa
2017-01-31 22:09:37;TheDemocrats;Call Congressional Republicans and tell them that Trump's Muslim ban is un-American: https://t.co/qtqrkP5bdq https://t.co/5DZAizsjNc
2017-01-31 20:45:44;TheDemocrats;RT to remind Trump that he has no mandate to carry out his unconstitutional, immoral Muslim ban. #NoBanNoWall https://t.co/lCERWI99bb
2017-01-31 19:34:39;TheDemocrats;Add your name and tell Trump that his Muslim ban is immoral, it is unconstitutional, and we will not stand for it:… https://t.co/3iCkMo23Lm
2017-01-31 18:31:51;TheDemocrats;Thank you, lawyers! Lawyers and advocacy groups are gearing up for the continued assault on basic human rights: https://t.co/Q06esULDDU
2017-01-31 17:38:44;TheDemocrats;Call your representatives in Congress and ask them to take action: https://t.co/qtqrkPmMC0 https://t.co/k0mcemYQA5
2017-01-31 16:35:01;TheDemocrats;Today is the LAST DAY to buy health insurance for 2017 on https://t.co/cUaYP7TbZj — RT and spread the word. https://t.co/NclMV5SsFU
2017-01-31 15:57:01;TheDemocrats;Senate Democrats aren't letting Trump's nominees get confirmed without a fight: https://t.co/gbOQKy6BTa
2017-01-31 15:01:12;TheDemocrats;Sally Yates was fired, by the president, for defending the Constitution. Day 10 of his tyrannical presidency: https://t.co/OBsXL7eiTq
2017-01-31 02:39:03;TheDemocrats;Sally Yates is a patriot. Thank you. https://t.co/z5ChUaHOo6
2017-01-31 01:58:45;TheDemocrats;Trump underestimates the resilience of the American people: https://t.co/SBj2FZNFLJ
2017-01-31 00:52:13;TheDemocrats;We know Trump's Muslim ban will leave us less safe, and we're already seeing its effects: https://t.co/EobLPoPExx
2017-01-30 23:51:08;TheDemocrats;RT @KamalaHarris: As a nation of immigrants, this #MuslimBan runs counter to what truly makes America great: our diversity and our compassi…
2017-01-30 23:49:09;TheDemocrats;"RT @RepBarbaraLee: The #MuslimBan betrays our values. Refugees fleeing violence &amp; persecution should have a home in America. #NoBanNoWall"
2017-01-30 23:47:52;TheDemocrats;RT @rosadelauro: Tonight we march to the Supreme Court to tell @realDonaldTrump no hate, no fear, refugees are welcome here! #NoBan https:/…
2017-01-30 23:47:05;TheDemocrats;"RT @SenatorCardin: To whom does ""give me your tired, your poor, your huddled masses yearning to breathe free"" apply if not to refugees? #No…"
2017-01-30 23:46:23;TheDemocrats;RT @chelliepingree: This anti-#MuslimBan sign outside #SCOTUS says it all. #RefugeesWelcome 🗽 https://t.co/WjqxtIQxWF
2017-01-30 23:45:35;TheDemocrats;RT @repjoecrowley: Proud to stand for love and inclusion over @POTUS' fear and division. @HouseDemocrats are here to say #NoBanNoWall! http…
2017-01-30 23:11:54;TheDemocrats;We're live on Facebook on the steps of the Supreme Court to protest the #MuslimBan. Watch now: https://t.co/MI3MMuO6t3
2017-01-30 22:24:58;TheDemocrats;"With a ""frightening detachment from facts,"" Trump is causing chaos and disrupting immigrant and refugees' lives: https://t.co/NdW0WNV8fK"
2017-01-30 20:28:32;TheDemocrats;Don't let anyone tell you it isn't a Muslim ban. https://t.co/M6mVeTAE1g
2017-01-30 19:24:51;TheDemocrats;RT @DNC: Listen to history. 🔥 @RevDrBarber gave an inspiring and fiery sermon on why we need a moral movement. https://t.co/2m7txnkLML
2017-01-30 18:01:14;TheDemocrats;"Trump doesn't want you to know that tomorrow is the last day to enroll in Obamacare.
Definitely don't retweet this:… https://t.co/cbhzE1iEGL"
2017-01-30 15:40:01;TheDemocrats;Call your Senators now and tell them refugees and immigrants are welcome here. #NoBanNoWall https://t.co/qtqrkPmMC0 https://t.co/RahbPq7F70
2017-01-30 03:29:27;TheDemocrats;A student. A nurse in training. A professor. These are the faces of Trump's Muslim ban: https://t.co/sT8M19JFQK
2017-01-30 02:51:55;TheDemocrats;RT @repjohnlewis: We must work together to make a way out of no way.  #goodtrouble https://t.co/LPk18qCoIS
2017-01-30 00:34:36;TheDemocrats;Democrats across the country stood with immigrants and refugees today. Add your name if you're with them:… https://t.co/ONoMnlwzbX
2017-01-29 23:14:46;TheDemocrats;"“Our lives, our families, we have everything to thank for our interpreters. We owe them."" #NoMuslimBan https://t.co/hnElm49EZc"
2017-01-29 21:53:39;TheDemocrats;Here's Senate Democrats' plan to fight Trump's illegal and immoral Muslim ban: https://t.co/EJafhUFrkN
2017-01-29 20:32:56;TheDemocrats;.@SenCortezMasto is at the protest in DC today. Why she's fighting for immigrants and refugees: https://t.co/P1JkCvSGs1
2017-01-29 20:25:06;TheDemocrats;RT @GovernorVA: Welcome to Virginia! https://t.co/YdsymB5N4h
2017-01-29 20:24:51;TheDemocrats;RT @GinaRaimondo: We won’t back down, Mr. President. We won’t stand silently. Rhode Islanders stand strong against your Muslim ban #NoMusli…
2017-01-29 20:21:48;TheDemocrats;RT @SenMarkey: This is a #MuslimBan no matter what “#alternativefacts” @realDonaldTrump tries to peddle. 20K strong in Boston's Copley Squa…
2017-01-29 20:21:46;TheDemocrats;RT @SenGillibrand: An honor to raise my voice with thousands of New Yorkers in Battery Park today. https://t.co/oUpkKN2bKf
2017-01-29 20:05:41;TheDemocrats;Donald Trump's Muslim ban makes us less safe and separates young children from their parents. This is outrageous. https://t.co/w25KeupPeJ
2017-01-29 19:34:52;TheDemocrats;Refugees and immigrants are welcome here. #nomuslimban https://t.co/3ulHalBZfL
2017-01-29 18:45:18;TheDemocrats;We're live from the #NoMuslimBan protest at the White House. Watch now: https://t.co/MI3MMuO6t3
2017-01-29 18:06:33;TheDemocrats;Thanks to every Democratic elected official and voter who showed up for immigrants yesterday. #NoMuslimBan https://t.co/cHqrHnDqtK
2017-01-29 17:22:55;TheDemocrats;RT @KamalaHarris: Together we can fight for and win back our democracy. Join us at the White House at 1pm to protest the #MuslimBan. Let’s…
2017-01-29 16:42:19;TheDemocrats;Trump's Muslim ban is un-American. Add your name to stand up for our values: https://t.co/zx2u7ZigyI https://t.co/5zO4TP0RFb
2017-01-29 16:01:18;TheDemocrats;Welcome to America, Hameed. We're so glad you're here. https://t.co/T5TJ3CRUDI
2017-01-29 15:22:29;TheDemocrats;This is what we're capable of when we refuse to back down. Find a protest near you: https://t.co/0pEz88leqS https://t.co/NyceuKwYjW
2017-01-29 01:56:00;TheDemocrats;Today, America is not safer, but we are less decent. Less humane. Less free. https://t.co/y58NDNaZE0
2017-01-29 01:40:15;TheDemocrats;RT @repjohnlewis: To treat as strangers these law-abiding immigrants threatens the democratic principles this nation stands for.
2017-01-29 01:40:12;TheDemocrats;RT @repjohnlewis: People immigrate to America because they are inspired by our commitment to justice and democracy.
2017-01-29 01:24:14;TheDemocrats;RT if you're proud to stand up for immigrants and refugees. https://t.co/W00gTeyYYH
2017-01-29 01:09:01;TheDemocrats;These volunteer lawyers are patriots and public servants. Thank you. https://t.co/61ZZQNPCoD
2017-01-29 00:13:15;TheDemocrats;"RT @KamalaHarris: We can learn a lot from six-year-old Alex.
https://t.co/ALBuruI8mK"
2017-01-28 23:21:51;TheDemocrats;Thank you, @TerryMcAuliffe, for standing up and fighting for what's right. https://t.co/s18t1QLYJ9
2017-01-28 22:59:36;TheDemocrats;RT @ACLU: Resist! Fight back! This is our New York! #NoMuslimBanJFK https://t.co/SkE7PKfJxy
2017-01-28 22:30:54;TheDemocrats;"RT @SenWarren: We are a country of immigrants &amp; refugees, of people fleeing religious persecution &amp; seeking freedom, a country made strong…"
2017-01-28 21:59:19;TheDemocrats;The @ACLU is taking legal action to support immigrants' rights. Learn about their work and how you can help: https://t.co/GMAik7SYJP
2017-01-28 20:58:21;TheDemocrats;"RT @RepAndreCarson: (2/2) Today, millions of Muslim families need our help.
America is an immigrant nation. Blocking them is un-American."
2017-01-28 20:58:15;TheDemocrats;"RT @RepAndreCarson: 1/ 2 The US was built by immigrants &amp; refugees: Protestants looking 4 freedom, Irish Catholics escaping starvation &amp; Je…"
2017-01-28 19:38:19;TheDemocrats;RT @ChrisMurphyCT: To my colleagues: don't ever again lecture me on American moral leadership if you chose to be silent today. https://t.co…
2017-01-28 18:41:55;TheDemocrats;Thank you, @RepJerryNadler and @NydiaVelazquez, for putting our values into action. https://t.co/xhBJOL0VzR
2017-01-28 18:28:49;TheDemocrats;The United States was built by immigrants and refugees. Donald Trump's Muslim ban is immoral and illegal. The GOP s… https://t.co/dgtbEYNc3W
2017-01-28 16:48:19;TheDemocrats;The second #DNCForum is today. If you couldn't make it to Houston, follow along from home: https://t.co/6d9xwzxQpe https://t.co/sKUoIR0vXl
2017-01-28 15:37:12;TheDemocrats;America is better than this: https://t.co/PzQdye5MJ8
2017-01-28 15:35:15;TheDemocrats;RT @DNC: Happening NOW: The 2nd regional #DNCForum, hosted at @TexasSouthern. Hear from candidates for DNC officer positions→ https://t.co/…
2017-01-28 00:32:13;TheDemocrats;RT @DNCWomen: RT if you’re fighting to protect abortion rights and access to all reproductive health care. #WeWontGoBack https://t.co/wvO0I…
2017-01-27 22:45:03;TheDemocrats;Stand with Democrats to make sure Roe v. Wade remains the law of the land. https://t.co/vg75yTQhlr https://t.co/06rbdSoR73
2017-01-27 22:10:25;TheDemocrats;We deserve to know that the president is making choices based on what's best for America, not his own wallet. https://t.co/KU2SPNPFmy
2017-01-27 20:55:22;TheDemocrats;It's only been one week, and it's already clear — Donald Trump's presidency is worse than we thought. Fight back:… https://t.co/lEYvBIrZ7z
2017-01-27 19:53:22;TheDemocrats;"Repealing the ACA would hurt:
✅ Patients
✅ American economy
✅ Innovations in care
And helps...millionaires? https://t.co/DKLmwaFbjD"
2017-01-27 18:58:14;TheDemocrats;"How does the Trump administration lie? Let me count the ways.

https://t.co/2qcQAsW0yO https://t.co/a0s1kxtV2l"
2017-01-27 18:01:21;TheDemocrats;Betsy DeVos is ludicrously unqualified to serve as Education Secretary, and Democrats aren't voting for her: https://t.co/OhRNYKxzk3
2017-01-27 17:05:20;TheDemocrats;Trump claims he's fighting for American workers, but his choice for Labor Secretary outsourced jobs: https://t.co/FlXdz5vsdH
2017-01-27 15:41:50;TheDemocrats;So much wrong with this: Trump demonizes Muslim immigrants unless they come from countries he’s done business with. https://t.co/ZMh1ZDVKh1
2017-01-27 01:58:18;TheDemocrats;Trump’s action on women’s health and re-instating the global gag rule will cause deaths around the globe:… https://t.co/MXqyHi2JV2
2017-01-27 00:09:21;TheDemocrats;It's time for Donald Trump to stop thinking about his personal fortune and instead focus on helping American worker… https://t.co/xjUYkNaC9X
2017-01-26 23:02:25;TheDemocrats;Thank you to the many Democratic mayors who are standing up to Trump and protecting immigrant families:… https://t.co/OwsSjJCvbq
2017-01-26 21:08:39;TheDemocrats;"Trump's decision not to divest from his business threatens the integrity of American democracy &amp; national security: https://t.co/6Wb1UFUQvN"
2017-01-26 19:44:17;TheDemocrats;Lies, lies, lies. https://t.co/50f4RrY4Cm
2017-01-26 18:34:21;TheDemocrats;When Donald Trump talks about investigating voter fraud, he's really working to implement voter suppression:… https://t.co/Ii6ODWIZHm
2017-01-26 17:21:21;TheDemocrats;The many, many ways Trump's especially draconian gag rule could lead to the death of women in the developing world: https://t.co/VJV01zhLXn
2017-01-26 15:50:34;TheDemocrats;#ThrowbackThursday https://t.co/DM8cmcRtox
2017-01-26 01:46:42;TheDemocrats;Democrats know that the American dream should be available to all who work for it. Join us and fight back:… https://t.co/QhZrRjqO5h
2017-01-26 00:58:54;TheDemocrats;Thanks, Obama. https://t.co/ChT7A2zlLW
2017-01-25 22:39:01;TheDemocrats;This is not how science works. https://t.co/Lya7pSIa04
2017-01-25 19:57:04;TheDemocrats;RT if you know that banning immigration from Muslim-majority countries is not who we are as Americans. Period. https://t.co/uHuswPqbmM
2017-01-25 18:43:28;TheDemocrats;"About those ""millions"" of illegal votes... https://t.co/fj1CikECqE https://t.co/VllfVvgpis"
2017-01-25 18:00:08;TheDemocrats;Immigrants help make America great. https://t.co/QheKfy5IyY
2017-01-25 16:55:02;TheDemocrats;THIS is who we are. 🇺🇸 🇺🇸 🇺🇸 https://t.co/xVG49wSLNt
2017-01-25 16:14:14;TheDemocrats;Trump is good for one thing: motivating people to run for office to fight against his damaging policies. https://t.co/CZIuG2v0dO
2017-01-25 15:43:29;TheDemocrats;"RT @DNC: 🚨 Last chance! 🚨
Submit questions for DNC officer candidates to be asked at the #DNCForum this weekend in Houston: https://t.co/Ex…"
2017-01-25 00:13:02;TheDemocrats;"These are women's issues:
✓ Heath care
✓ Education
✓ Criminal justice reform
✓ Climate change
And we're still fight… https://t.co/A1piYP65Wv"
2017-01-24 22:31:19;TheDemocrats;Do you feel safe knowing that Trump's national security advisor is under investigation for his dealings with Russia? https://t.co/ZPRbO9QILs
2017-01-24 22:31:03;TheDemocrats;RT @DNC: Have questions for the next officers of the DNC? Submit your questions for the #DNCForum this Saturday in Houston: https://t.co/wt…
2017-01-24 20:35:36;TheDemocrats;#Resist. https://t.co/hf2iO1bEAv
2017-01-24 20:35:21;TheDemocrats;We all have to stand up and take action. https://t.co/s6fauRu0lc
2017-01-24 20:35:03;TheDemocrats;Trump can't silence the fact that climate change is real. https://t.co/vaTTImzjRG
2017-01-24 19:38:38;TheDemocrats;The energy at the #WomensMarch was palpable, but DNC digital staffer @sonjatrier has noticed this trend since Nov 9: https://t.co/u2FdRPv0Uq
2017-01-24 17:28:43;TheDemocrats;If you’re counting on Social Security and Medicare — now or in the future — watch this: https://t.co/GvQb6zuiEC
2017-01-24 17:07:32;TheDemocrats;2.5 million American men and women choose Planned Parenthood for their health care every year. Mick Mulvaney wants… https://t.co/9YZi5FqPmw
2017-01-24 16:40:42;TheDemocrats;Trump resurrected the Keystone XL and Dakota access pipelines. Fight to protect our climate for future generations:… https://t.co/GcYi4kFEIa
2017-01-24 01:49:59;TheDemocrats;Fired up after a weekend of action? Now stand and fight with Democrats to protect health care:… https://t.co/p3LVkkxuPz
2017-01-24 00:49:39;TheDemocrats;Fight back: https://t.co/0DQLVvL2j0 https://t.co/KhbtWM08i5
2017-01-23 23:18:58;TheDemocrats;"Trump has ensured millions of women around the world will lose access to safe abortions &amp; reproductive health care: https://t.co/i5aV18Tt6V"
2017-01-23 21:34:00;TheDemocrats;RT @DNCWomen: Trump just made it harder for women in developing countries to access a safe abortion: https://t.co/599ZkftVZB https://t.co/G…
2017-01-23 20:32:28;TheDemocrats;Call your senators and tell them the choice is clear: https://t.co/q8UaXt3LFl https://t.co/4558088f3c
2017-01-23 19:27:31;TheDemocrats;Trump’s pick to lead HHS — Tom Price — pressured the FDA to help his wealthy donors at the expense of consumers: https://t.co/GSAB4C3gFW
2017-01-23 18:34:26;TheDemocrats;"Bi-partisan team of constitutional scholars &amp; ethics lawyers say Trump is violating the Constitution. They're suing: https://t.co/iswLCtDbbb"
2017-01-23 17:32:57;TheDemocrats;This weekend we marched. Today we organize. Call your senators and tell them not to repeal the Affordable Care Act:… https://t.co/I9gj1kpU1n
2017-01-23 16:39:58;TheDemocrats;Fired up and ready to work? Follow @PPact and your state Democratic Party for #MuteMonday: https://t.co/zzmCGmf2He
2017-01-23 01:30:38;TheDemocrats;"The GOP should look at this before they try to take away our health care.

Say you'll fight to protect the ACA:… https://t.co/hUq4loIUsi"
2017-01-22 20:38:46;TheDemocrats;It's week one. Are you ready to fight back? https://t.co/6uR4u63gsx https://t.co/To6IW4jt2v
2017-01-22 15:34:09;TheDemocrats;Fighting to make sure that the right to choose is protected and that reproductive health care is accessible to all.… https://t.co/psFaOP9Ou4
2017-01-22 14:38:13;TheDemocrats;This was just the first day. We will not go away. https://t.co/wfJqKnbl4G
2017-01-21 22:30:47;TheDemocrats;RT if you're fighting back today. #womensmarch https://t.co/Dddq41BfqO
2017-01-21 13:44:43;TheDemocrats;If you're worried you'll be discriminated against because of who you are, or where you were born, or how you worshi… https://t.co/Ta8uYn6GUy
2017-01-20 18:09:38;TheDemocrats;Thank you. https://t.co/EUCIUgyTm6
2017-01-20 17:56:37;TheDemocrats;Thank you. https://t.co/4wfRsM3BWt
2017-01-20 17:00:45;TheDemocrats;We’re here and we’re ready to fight back. Say you’re in: https://t.co/gv4QExXeUN https://t.co/UVlHUpSGhn
2017-01-20 14:48:44;TheDemocrats;There’s only one thing left to say after eight years of dedication, service, and progress. https://t.co/ZUMLKGTUfY
2017-01-19 21:20:13;TheDemocrats;RT if the Republicans’ plan to repeal the ACA won’t save you money on your taxes. https://t.co/O7ltuHJRBQ
2017-01-19 20:02:50;TheDemocrats;Thanks, Obama. https://t.co/WASEdSTGjJ
2017-01-19 19:10:44;TheDemocrats;"""Schools in Detroit are poor and it's not because we are poor."" Detroit student Dannah on Betsy DeVos via @AFTunion: https://t.co/VMgfA8nrxd"
2017-01-19 18:39:16;TheDemocrats;If you think Trump refusing to separate himself from his businesses abroad is shady, you need to see this: https://t.co/PgCS3pNkEF
2017-01-19 18:36:05;TheDemocrats;Don’t miss Sen. Casey standing up for homeowners by grilling “foreclosure king” Mnuchin. https://t.co/BkDOr9YPoo
2017-01-19 17:17:50;TheDemocrats;How Trump’s pick for Treasury Secretary earned the nickname “foreclosure king.” https://t.co/zzlqR2DjQP
2017-01-19 16:55:52;TheDemocrats;RT @SenWarren: When Mnuchin makes mistakes on complicated paperwork, he asks for forgiveness. When his customers made mistakes, he took the…
2017-01-19 16:19:31;TheDemocrats;Trump’s nominee for Treasury Secretary explains tax shelters in less than 30 seconds: https://t.co/DFKSKlHgQU
2017-01-19 16:01:17;TheDemocrats;One of many conflicts of interest for Trump’s Treasury pick that Hatch and Mnuchin just glossed over: https://t.co/8OqmypoG1F
2017-01-19 15:24:34;TheDemocrats;Donald Trump basically nominated a movie villain to be his Treasury Secretary. https://t.co/NfYpq2Y4B2
2017-01-19 01:42:02;TheDemocrats;Donald Trump's nominee to lead the Environmental Protection Agency, everyone: https://t.co/T3Vrb5Lfom
2017-01-19 00:59:06;TheDemocrats;"Betsy DeVos has proven that she is wholly unqualified to lead the Department of Education.

Call your senators:… https://t.co/9NFgjawGNc"
2017-01-18 22:24:39;TheDemocrats;"Trump's nominee to lead the EPA thinks his opinion on climate change is ""immaterial.” https://t.co/IEF2mC5LX0"
2017-01-18 20:42:45;TheDemocrats;Democrats aren’t going to back down on voting rights. https://t.co/4Y6HfhhESQ
2017-01-18 20:34:35;TheDemocrats;Thank you for being a leader and standing up for LGBTQ Americans, President Obama. https://t.co/zmuUo773iN
2017-01-18 20:16:51;TheDemocrats;This country isn’t done making progress. https://t.co/NXbfImAuaV
2017-01-18 19:15:39;TheDemocrats;"RT @FlaDems: ""That's something I've not reviewed, nor know about.""—Trump's EPA nominee, Scott Pruitt on lead poisoning in drinking water 🤔…"
2017-01-18 18:48:42;TheDemocrats;RT @DNCWomen: Tom Price didn't think unaffordable birth control was a problem pre-ACA. One woman's story that proves him wrong: https://t.c…
2017-01-18 18:36:02;TheDemocrats;Tom Price didn't do his homework before voting on health care, and as a result he put access to birth control at ri… https://t.co/aLDDrbadUt
2017-01-18 18:28:16;TheDemocrats;"1) Watch Tom Price refuse to promise to protect Medicare funding
2) Tell your senators that's unacceptable:… https://t.co/HF2aq1f4D6"
2017-01-18 18:17:24;TheDemocrats;Call your senators and tell them that Tom Price isn't looking out for your health and can't be confirmed:… https://t.co/CvCAPCsqMu
2017-01-18 17:03:53;TheDemocrats;RT if you agree with Sen. Franken: No family should have to hold a fundraiser because they hit a lifetime cap on he… https://t.co/1ju5WEjTKg
2017-01-18 16:52:49;TheDemocrats;It’s not just our health care that’s at risk. https://t.co/noD75eazsX
2017-01-18 16:19:48;TheDemocrats;Meanwhile, Senate Republicans are lobbing softball questions at Trump's climate change denying EPA nominee. https://t.co/QWyhhdV9VW
2017-01-18 16:12:24;TheDemocrats;If you plan to retire one day, you need to know this about Trump’s nominee to lead the Dept. of Health and Human Se… https://t.co/HBzrDRoQdt
2017-01-18 16:10:26;TheDemocrats;"If you like that the ACA provides:
-Coverage for young adults under age 26
-Maternity care
-Mental health care
Watc… https://t.co/kxvRgl3i0I"
2017-01-18 15:53:01;TheDemocrats;In case you missed the beginning of Tom Price's hearing to lead HHS, he definitely doesn't have a plan to help thes… https://t.co/XWhgFkGU7t
2017-01-18 15:43:17;TheDemocrats;Tom Price is looking out for his own bottom line, not Americans’ health care. Tell your senators he can’t lead HHS:… https://t.co/sMz0VSfRB0
2017-01-18 01:26:32;TheDemocrats;Betsy DeVos isn’t going to stand up for students with disabilities. She just said so: https://t.co/UQ8oXREIs7
