timestamp;sn;text
2017-02-01 04:25:01;WhiteHouse;"RT @POTUS: President Donald J. Trump Nominates Judge Neil Gorsuch to the United States Supreme Court
#JusticeGorsuch #SCOTUS 
https://t.co/…"
2017-02-01 04:24:58;WhiteHouse;RT @realDonaldTrump: Hope you like my nomination of Judge Neil Gorsuch for the United States Supreme Court. He is a good and brilliant man,…
2017-02-01 01:55:58;WhiteHouse;"""This has been the most transparent Supreme Court selection process in the history of our country."" - @POTUS… https://t.co/kOadoSyXDs"
2017-02-01 01:45:49;WhiteHouse;"RT @GorsuchFacts: 11 current Dem Senators &amp; 20 current GOP Senators were in office when Judge Gorsuch was confirmed w/out oppo in '06. #Jus…"
2017-02-01 01:28:30;WhiteHouse;"RT @GorsuchFacts: .@POTUS Trump has chosen a #SCOTUS with a brilliant legal mind, sterling academic credentials, &amp; a commitment to constitu…"
2017-02-01 01:25:12;WhiteHouse;"RT @GorsuchFacts: Judge Gorsuch defends the Constitution &amp; protects individual rights, incl religious liberty, against gov't attack. #Justi…"
2017-02-01 01:24:24;WhiteHouse;"""Judge Gorsuch has a superb intellect, an unparalleled legal edu, and a commitment to interpreting the Constitution… https://t.co/ErtgG1YeQr"
2017-02-01 01:19:30;WhiteHouse;RT @SenateMajLdr: My statement on @POTUS' excellent selection of Neil Gorsuch as our next #SCOTUS Justice https://t.co/z7TNYvd0ie
2017-02-01 01:19:08;WhiteHouse;RT @SpeakerRyan: Judge Neil Gorsuch is a phenomenal nominee for the #SCOTUS. https://t.co/qQIeFmXE3O https://t.co/QoiGqCZ2dH
2017-02-01 01:18:36;WhiteHouse;RT @GorsuchFacts: Join us in congratulating Judge Neil Gorsuch on his nomination for #SCOTUS! Read his bio here: https://t.co/Im2VNUG6Bk #J…
2017-02-01 01:18:31;WhiteHouse;"RT @POTUS: President Trump's Nominee for the Supreme Court Neil M. Gorsuch. 
#SCOTUS #JusticeGorsuch 
https://t.co/OnnJxv0sNG https://t.co/…"
