timestamp;sn;text
2017-02-01 05:41:45;tyleroakley;"@benjpasek loved connecting our michigan dots tonight, congratulations again on everything this year!! &lt;3"
2017-02-01 05:37:53;tyleroakley;"@JKCorden tonight was so fun mate. loved the giggles &amp; cuddles, can't wait to sweat lodge with you soon 😘"
2017-02-01 05:37:09;tyleroakley;@lauradreyfuss great to hang tonight, can't wait to see you kill it again next time i'm in town!! in the meantime watch out for debris
2017-02-01 05:14:30;tyleroakley;@Ohemgeeitzmarie i promise we would have helped you!!
2017-02-01 04:42:42;tyleroakley;absolutely blown away by @BenSPLATT in @DearEvanHansen, this is THE Broadway show to see. plus, what a talented swe… https://t.co/jF8BElR2uN
2017-01-31 23:58:40;tyleroakley;you can talk shit, but facts are facts!! https://t.co/FgvAFb5ZcM
2017-01-31 21:29:27;tyleroakley;"""when someone shows you who they are, believe them - the first time."" -maya angelou https://t.co/s8tll666CM"
2017-01-31 20:46:09;tyleroakley;had a beautiful afternoon at the @MuseumModernArt 🥀 https://t.co/YnbyCb3IPe
2017-01-31 16:33:39;tyleroakley;"it's snowing in new york city &amp; i'm twirling through the streets &amp; catching pokemon - for the next 24 hours don't remind me about trump"
2017-01-31 16:32:35;tyleroakley;RT @Charlie_Carver: The attack on LGBT people began when Trump singled out our Muslim brothers and sisters. We are every class, race, and c…
2017-01-31 16:15:27;tyleroakley;if you don't like your job, fucking resign, @SpeakerRyan. get your shit together you spineless fascism enabler. https://t.co/IHRX2XMwnu
2017-01-31 06:11:45;tyleroakley;@chrisgeidner @Christian_Zamo @yottapoint @charles_gaba can't wait for the Ryan Murphy show about it
2017-01-31 05:56:05;tyleroakley;RT @UNTRESOR: Trump wants to ban Muslims but if we learned anything from Prohibition it's that people will just make Muslims in their batht…
2017-01-31 05:25:16;tyleroakley;well ain't this rich https://t.co/5iQVfK9re4
2017-01-31 04:21:24;tyleroakley;@emojioakIey idk her
2017-01-31 04:20:35;tyleroakley;spotted upon arrival in NYC. even in the darkest hours, there will always be beacons of light. find your way to be… https://t.co/qkCHDYZKHi
2017-01-31 03:58:35;tyleroakley;New York City, I am in you.
2017-01-31 02:21:56;tyleroakley;@crayonoakley honestly idk?? i think maybe the youtube rewind 2015 shoot?? or maybe my billboard campaign?? it is unclear. a while back!!
2017-01-31 02:20:26;tyleroakley;"never posted this, so enjoy!! fyi, as i type this, i'm in sweatpants &amp; a tee i just spilled ketchup on. get yoursel… https://t.co/276U2sVbFu"
2017-01-31 02:03:25;tyleroakley;@koreykuhl https://t.co/ZUNVrcPq8n
2017-01-30 22:39:16;tyleroakley;@AmazingPhil hbd sweet prince 🎈
2017-01-30 21:14:31;tyleroakley;@laurenfairwx iconic!!
2017-01-30 21:00:16;tyleroakley;"RT @adamjmoussa: REPORT: An anti-LGBTQ executive order is coming soon

LGBTQ FOLK: https://t.co/c1mLtE1k7p"
2017-01-30 20:57:56;tyleroakley;@soundlyawake hair, face, floss, body 💁🏼‍♂️
2017-01-30 19:48:01;tyleroakley;@jason_bentley i just really appreciate you, thought i should let you know!!
2017-01-30 19:46:54;tyleroakley;@JoesDaily this just gave me amazing race flashbacks
2017-01-30 19:43:50;tyleroakley;RT @thehyphykordei: fuck trump fuck pence! https://t.co/jHLlGjdFKn
2017-01-30 19:21:55;tyleroakley;"not sure how to let your voice be heard??
this is my fav new website: https://t.co/L4g4CWvv2d
it's seriously so well-made &amp; easy to use"
2017-01-30 17:52:54;tyleroakley;"@MJDempseyPsych thankful for friends like you!! life's all about giggles &amp; gratitude, aka the theme of our brunches"
2017-01-30 16:45:27;tyleroakley;life comes at you fast https://t.co/QnkVzYYTx9
2017-01-30 16:07:42;tyleroakley;my best audiobook review yet https://t.co/c79hX6DPgU
2017-01-30 03:27:29;tyleroakley;"@BenJPierce excuse me i screamed, ""I! AM! MO! A! NA!"" ☝🏻☝🏻☝🏻"
2017-01-30 02:53:37;tyleroakley;RT @kylegriffin1: Starbucks CEO responds to Trump's Executive Order with plans to hire 10,000 Refugees over 5 years in 75 countries https:/…
2017-01-30 00:35:01;tyleroakley;@TROYLERKILOS 2017 vibes tbqh
2017-01-29 23:02:02;tyleroakley;@MyPhanRomance21 feel free to unfollow! plenty of youtubers out there with zero empathy or care for the world, if that's what you prefer!
2017-01-29 22:55:59;tyleroakley;"according to the public white house schedule, you watched Finding Dory, &amp; then immediately started tweeting about W… https://t.co/ual9JCiFQb"
2017-01-29 20:01:00;tyleroakley;PROUD OF MY UNIVERSITY https://t.co/dwG85oFE5I
2017-01-29 18:19:12;tyleroakley;"RT @Ibrahim_M_: RT if you've ever met a Syrian, Iranian, Somali, Turkish, Iraqi, Sudanese or Yemeni person &amp; they weren't detrimental to yo…"
2017-01-29 17:45:05;tyleroakley;"RT @slack2thefuture: Remember sitting in history, thinking “If I was alive then, I would’ve…”

You’re alive now. Whatever you’re doing is w…"
2017-01-29 17:32:41;tyleroakley;@hankgreen this has become so true for my group of friends
2017-01-29 17:12:55;tyleroakley;@KyleKriegerHair @pepsi c'mon brand deal!! yes god!!
2017-01-29 16:16:39;tyleroakley;@swike the most iconic cake i had ever seen, i was gasping
2017-01-29 09:19:46;tyleroakley;RT @Twitter: Twitter is built by immigrants of all religions. We stand for and with them, always.
2017-01-29 08:53:31;tyleroakley;RT @JaneCaro: Hey America, awesome move. 1.5 million of you killed by guns since 1968 versus 5 killed by refugees, but you guys ban.....ref…
2017-01-29 08:52:54;tyleroakley;@druidDUDE same though
2017-01-29 03:21:05;tyleroakley;"@BlairImani can't wait to make magic &amp; fight fascists together, also to giggle &amp; perhaps frolic, depending on the day"
2017-01-29 03:12:48;tyleroakley;muslims make america great
