timestamp;sn;text
2017-02-01 03:29:32;USNewsOpinion;Democrats are making a huge blunder opposing Trump #SCOTUS pick Neil Gorsuch, @PeterRoff writes https://t.co/peNmHa2RHm
2017-02-01 02:05:51;USNewsOpinion;Look back to history to resist Donald Trump. https://t.co/6V3730Wh9Q via @pastpunditry
2017-02-01 01:09:47;USNewsOpinion;Draw the line with Donald Trump. https://t.co/jWdteTwIMV via @simonwdc
2017-02-01 00:03:44;USNewsOpinion;The Democrats can and should obstruct Trump's #SCOTUS pick. https://t.co/46aDovRLYf via @Pat_Garofalo
2017-01-31 23:12:45;USNewsOpinion;.@realdonaldtrump's executive order on regulations is absurd. https://t.co/rfbFnVg68O
2017-01-31 22:29:44;USNewsOpinion;Donald Trump fired the acting attorney general. https://t.co/2MIhWioilR
2017-01-31 22:08:48;USNewsOpinion;Draw the line with Donald Trump, Democrats. https://t.co/SlrudRjQxj
2017-01-31 21:45:02;USNewsOpinion;The White House omitted Jews from its Holocaust statement. That matters. https://t.co/K6GrZocHgE
2017-01-31 21:20:39;USNewsOpinion;Trump's administration is moving fast – intentionally. https://t.co/pbyZo6D0hd
2017-01-31 20:57:28;USNewsOpinion;The Democrats have every right to hold up Trump's #SCOTUS pick. https://t.co/7YPXlZFXoz via @Pat_Garofalo
2017-01-31 20:35:34;USNewsOpinion;The Trump administration failed to truly confront the horrors of the Holocaust. https://t.co/kSHpjGmJwf
2017-01-31 20:03:20;USNewsOpinion;"Donald Trump fired Sally Yates, the acting attorney general. Here's what everyone';s saying. https://t.co/T0muDygIcx"
2017-01-31 19:34:35;USNewsOpinion;There is enough crazy happening. Why did the media drum up more over Trump and State? https://t.co/BwKyMEA5oU
2017-01-31 19:12:53;USNewsOpinion;Democrats should filibuster the heck out of Trump's #SCOTUS pick. https://t.co/dJ7iy6fenh via @Pat_Garofalo
2017-01-31 18:44:06;USNewsOpinion;Here's what everyone's saying about Donald Trump firing the acting attorney general. https://t.co/22KtAUkLeo
2017-01-31 17:29:02;USNewsOpinion;Stop the outcry over Betsy DeVos' approach to education. https://t.co/7eBOk856Ro
2017-01-31 17:05:39;USNewsOpinion;How to resist Donald Trump? Go to the history books. https://t.co/9o3PPI3dw3 via @pastpunditry
2017-01-31 15:28:27;USNewsOpinion;Donald Trump is intentionally making it hard for you to keep up. https://t.co/nnHBwqMZIT
2017-01-31 14:28:19;USNewsOpinion;Democrats, it's time to draw the line with Donald Trump. https://t.co/VoScYMdhSh via @simonwdc
2017-01-31 13:52:42;USNewsOpinion;The case against Betsy DeVos, in 5 points. https://t.co/hwfSMMhzfR
2017-01-31 12:29:27;USNewsOpinion;Donald Trump is wreaking so much havoc, it's hard to keep up. (And that's the point.) https://t.co/H9iORZZsdb
2017-01-31 02:37:31;USNewsOpinion;Trump won't create jobs by deregulating the economy. https://t.co/eEhrYDLFVA
2017-01-31 01:37:14;USNewsOpinion;Here are the 3 flawed assumptions underlying Trump's #MuslimBan https://t.co/4KEXU1ybKG
2017-01-31 00:35:34;USNewsOpinion;Trump has a chance to finish what Obama started in Cuba. https://t.co/XcOJdv3VyQ
2017-01-30 23:35:21;USNewsOpinion;Use Steve Bannon's and @realdonaldtrump's tactics against them. https://t.co/cMps8cbQxJ
2017-01-30 23:04:27;USNewsOpinion;This is what's wrong with @realdonaldtrump's immigration ban. https://t.co/C2YUOlw7aU
2017-01-30 22:41:00;USNewsOpinion;The regulations order is absurd and a total Trump gimmick. https://t.co/RKUYFjNzYe via @Pat_Garofalo
2017-01-30 22:07:24;USNewsOpinion;.@realdonaldtrump and Steve Bannon are flooding us. Flood them back. https://t.co/8kUT3j9q6k
2017-01-30 21:45:51;USNewsOpinion;Trump's immigration ban rollout was bad. The bottom line is right. https://t.co/kITPu1znEN
2017-01-30 20:05:25;USNewsOpinion;.@realdonaldtrump's executive order on regulations is absurd. https://t.co/QvwDaF1cnN via @Pat_Garofalo
2017-01-30 19:10:45;USNewsOpinion;Just say no to more federal spending on infrastructure. https://t.co/XgAGLQqI7Y
2017-01-30 18:19:30;USNewsOpinion;Trump's voter fraud claim is bogus. https://t.co/g9eVufLoqr
2017-01-30 17:57:19;USNewsOpinion;No, cutting regulations is bad for the economy. https://t.co/zZIKBuOziG
2017-01-30 17:37:06;USNewsOpinion;Here's what @POTUS' immigration ban gets wrong. https://t.co/DLiUBYb1mS
2017-01-30 16:33:49;USNewsOpinion;The government's plan to gut regulations will hurt the economy. https://t.co/wX78XRBwZE
2017-01-30 16:03:33;USNewsOpinion;Trump has a chance to finish what Obama started in Cuba. https://t.co/7mgMyKhG9d
2017-01-30 15:41:01;USNewsOpinion;3 things @realdonaldtrump's immigration ban gets wrong. https://t.co/kjuSf4bkYr
2017-01-30 03:03:47;USNewsOpinion;.@realdonaldtrump's conflicts of interest endanger us. https://t.co/AsimFv8rsP
2017-01-30 01:33:47;USNewsOpinion;Trump's voter fraud claim is bogus. https://t.co/8dSdasK3El
2017-01-30 00:03:42;USNewsOpinion;Obama set a dangerous precedent when it comes to press freedom. https://t.co/EvtsthdGXN
2017-01-29 22:34:55;USNewsOpinion;Barron Trump will be just fine when it comes to media kerfuffles. https://t.co/rxqKZURopl
2017-01-29 21:12:02;USNewsOpinion;Fentanyl is killing us. Here's what can be done. https://t.co/zfot8Te6Rh
2017-01-29 19:35:01;USNewsOpinion;Undercutting the @cfpb will only hurt America's working class. https://t.co/fSyJyDubTf
2017-01-29 18:19:04;USNewsOpinion;The case against Betsy DeVos, in 5 points. https://t.co/WURrT09K6T
