timestamp;sn;text
2017-01-31 15:41:39;USPS;Send love by Valentine's Day! Use our in-store coupon at select Post Offices™ for $1.00 off the purchase of three… https://t.co/JBXSUYJkaW
2017-01-30 22:30:28;USPS;@JohnHRaby Thank you for supporting the US Postal Service. ^DC
2017-01-30 15:52:23;USPS;USPS celebrates the 'Year of the Rooster' with new Forever stamps! https://t.co/I0IWM0iAH8
2017-01-27 16:45:58;USPS;@Rextyj Apologies. Please follow and DM your tracking information. I would like to help^MJ
2017-01-27 15:30:03;USPS;Watch the LIVE stream of the #USFlagStamp dedication at 11:00 AM ET! https://t.co/jylLWFXL7G https://t.co/7YdmLfrIBx
2017-01-26 13:45:39;USPS;@McNicollb USPS responds to @townhallcom blog by Brian McNicoll https://t.co/bqkYCTqXLR
2017-01-25 21:35:21;USPS;@KSL_AlexCabrero Thank you for supporting the US Postal Service Mail Carriers. ^DC
2017-01-25 16:00:04;USPS;It's cold out there. Stay cozy and skip the Post Office™ with our Package Pickup https://t.co/lqeX5f2BHD https://t.co/8g49cDmoxw
2017-01-24 19:36:51;USPS;@DanWGME Thank you for supporting the US Postal Service Mail Carriers. ^DC
2017-01-23 15:33:28;USPS;Santa Claus is back in the North Pole after a successful holiday season — thanks, in part, to his USPS “helpers”… https://t.co/QH4PJR3KED
2017-01-21 21:00:46;USPS;Boy writes letter, meets baseball hero https://t.co/32o6j2dUk2 https://t.co/7tjqdhOS3R
2017-01-18 15:30:04;USPS;When you just can't wait to mail your package. #USPS https://t.co/khpYfeHUk8
2017-01-17 16:10:37;USPS;Schedule a free Package Pickup and we'll come get your shipment during regular delivery https://t.co/bcbWtOPAzO https://t.co/t9Z5zrg5uj
2017-01-16 17:51:45;USPS;Early morning wake-ups and snowy forecasts won’t stop us from delivering for you. #PriorityYou https://t.co/tcDYURgVM3
2017-01-15 20:00:02;USPS;Skywriting pilot has been filling the skies words for more than a half-century. #LoveStamp https://t.co/NriI7JmvjD https://t.co/A9qoGE4NWY
2017-01-13 22:51:01;USPS;@twileyGPB Thank you for supporting the US Postal Service. ^DC
2017-01-13 18:02:01;USPS;USPS helps revive Idlewild Music Festival with #SarahVaughanForever stamps! https://t.co/QIDTNLDcrK
2017-01-12 15:20:41;USPS;Whether you're sending shoes to Kalamazoo or a baseball to St. Paul, make sure you send it with Priority Mail Flat… https://t.co/pJ1WuaYChp
2017-01-11 20:05:25;USPS;@DebbieMonterrey Thank you for supporting the US Postal Service. ^DC
2017-01-11 15:00:05;USPS;Lined up and ready to roll out for deliveries. #USPS https://t.co/hvaY0PxpUa
2017-01-10 18:21:17;USPS;Add a sweet touch to your letters with the Love Skywriting Forever stamp!  https://t.co/hORRKsq99Y #LoveStamp https://t.co/6tSo2rmQHy
2017-01-10 12:55:54;USPS;Neither snow, nor rain... #PostalProud https://t.co/uHshtQGq90
2017-01-09 14:20:20;USPS;Rain or shine. Sleet or snow. Our dedicated team works hard to deliver through every type of weather. #USPS https://t.co/7hiYmv104s
2017-01-05 22:00:04;USPS;Celebrate the Year of the Rooster with the #LunarNewYearStamp! https://t.co/jylLWFXL7G https://t.co/c9O2XTeCVC
2017-01-05 15:00:04;USPS;Socks not your thing? Return them without having to leave home: https://t.co/b0EurEFWF0 https://t.co/1ndLi7kLj9
