timestamp;sn;text
2017-01-31 21:06:00;UAW;Today in 1938, the Pecan Shellers’ Strike started. It sparked the Hispanic workers movement: https://t.co/pboPBsFn8h #PROUAW #UNIONHISTORY
2017-01-31 19:22:00;UAW;“Aunt Ida” was the first SSI recipient. SSI today provides security for 60 million vulnerable Americans: https://t.co/LzTlS7WqGf #PROUAW
2017-01-31 16:44:00;UAW;Black Men In Unions brings activists nationwide together for classes in Dearborn, MI. Registration ends February 9: https://t.co/LcKK3ENWkC
2017-01-31 14:45:37;UAW;@MachinistsUnion @USATODAY thank you! #solidarity
2017-01-31 14:45:19;UAW;RT @MachinistsUnion: The IAM stands behind Mississippi Nissan workers @UAW #OrganizeTheSouth https://t.co/7IyiIstltn
2017-01-30 19:52:59;UAW;When bargaining broke down, the Cemetery Association of Greater Chicago locked out its workers: https://t.co/CYMJ5pbSdA #PROUAW
2017-01-30 18:36:00;UAW;More disturbing allegations abt CKE Restaurants, the company run by Andrew Puzder who wants to be Labor Secretary: https://t.co/F5usFqZZEk
2017-01-30 18:02:59;UAW;New post on https://t.co/Gt7c4AEmb0! Statement from UAW President Dennis Williams on Immigration https://t.co/gQovlBI02T
2017-01-30 17:01:18;UAW;Collective bargaining for Bohdan means he's secure in his work so that he can spend time on his passion: https://t.co/sd5LAtpsfS  #PROUAW
2017-01-30 15:32:00;UAW;In Jan. 1932, this state created the 1st unemployment insurance law which led to today's federal program: https://t.co/ReTRokpy6x #PROUAW
2017-01-30 14:25:05;UAW;Labor has long clashed with business over fair treatment. But in January 1834, things drastically changed: https://t.co/MAwQ2KHLGp #PROUAW
2017-01-28 20:02:58;UAW;RT @ben_zucker: Legendary Mississippi @UAW and @MSNAACP leaders Morris Mock and Frank Figgers visiting us in Louisiana. #1u #dobetter @DoBe…
2017-01-27 21:02:42;UAW;RT @MichiganDems: Thank you to MI Dem congressionals/@UAW for saving auto industry, paving way for profit-sharing workers have earned https…
