timestamp;sn;text
2017-02-01 02:30:26;UltraViolet;RT @SenJeffMerkley: Not only is this a stolen seat, but @realDonaldTrump has nominated a far right extremist. Unacceptable. https://t.co/9b…
2017-02-01 02:25:03;UltraViolet;"It's time for Democrats to fight like hell. Tell Senate Dems to block Neil Gorsuch --&gt; https://t.co/AeEMKtYJze #SupremeCourt"
2017-02-01 01:53:42;UltraViolet;"A quick refresher on the Hobby Lobby decision via puppets:
https://t.co/eJ5lFJidPW #SupremeCourt #NeilGorsuch"
2017-02-01 01:49:07;UltraViolet;"RT @kylegriffin1: Pelosi slams Gorsuch: ""It is no surprise that President Trump intends to place someone hostile to women’s rights on the S…"
2017-02-01 01:43:43;UltraViolet;RT @NARAL: Trump #SCOTUS pick Neil Gorsuch poses an existential threat to legal abortion. The stakes couldn’t be higher when it comes to ou…
2017-02-01 01:38:53;UltraViolet;RT @thinkprogress: Neil Gorsuch’s crusade against Planned Parenthood #SCOTUS https://t.co/sMAMCWCD6o https://t.co/PEiRLJAOlF
2017-02-01 01:38:15;UltraViolet;RT @SenSherrodBrown: I cannot support any #SCOTUSnominee who does not recognize that corporations are not people. Read my full statement. -…
2017-02-01 01:24:16;UltraViolet;Judge Neil Gorsuch thinks corporations are people that can impose religious beliefs. #SupremeCourt https://t.co/tIKDnFxARE
2017-02-01 01:23:02;UltraViolet;Yes, Trump really just nominated Neil Gorsuch - the judge behind the Hobby Lobby decision to the #SupremeCourt: https://t.co/473OeCitYM
2017-02-01 01:19:25;UltraViolet;Just a reminder that Senate Republicans never even gave Merrick Garland a hearing. #SupremeCourt #SupremeHypocrisy
2017-02-01 01:18:47;UltraViolet;RT @amprog: Think Americans should have access to contraception and protection from discrimination? Gorsuch does not.  #NotOurJustice
2017-02-01 01:06:15;UltraViolet;BREAKING: Trump nominates conservative Neil Gorsuch to the #SupremeCourt
2017-01-31 22:58:55;UltraViolet;Thanks @SenSchumer for delaying vote on #Sessions Americans deserve answers on #muslimban - will he stand by Trump or the Constitution?
2017-01-31 22:43:38;UltraViolet;Thanks @SenFeinstein for delaying vote on #Sessions Americans deserve answers on #muslimban - will he stand by Trump or the Constitution?
2017-01-31 22:35:04;UltraViolet;RT @crampell: Jerry Falwell Jr, head of Liberty U, says he will lead as-yet-unannounced federal task force on higher ed policy https://t.co…
2017-01-31 22:24:52;UltraViolet;RT @peoplefor: Supreme Court rallies are taking place TONIGHT near you, at your local federal courthouse. Raise your voice! https://t.co/Bv…
2017-01-31 22:24:33;UltraViolet;RT @AFJustice: President Trump will name his SCOTUS nominee TONIGHT. Join us outside the Supreme Court to protest his nominee. https://t.co…
2017-01-31 21:36:44;UltraViolet;Meet the women of color leading the resistance against Trump https://t.co/sisxEofomC #resisttrumptuesday by @CarimahWheat
