timestamp;sn;text
2017-02-01 01:47:36;WesleyLowery;RT @scotusreporter: Neil Gorsuch naturally equipped for his spot on Trump’s Supreme Court shortlist https://t.co/g0MYV7Uu0q
2017-01-31 22:46:32;WesleyLowery;after a 50-year legal battle, Cleveland, Ms. will stop fighting school desegregation - merge 2 high schools into one https://t.co/t60JEqBNfz
2017-01-31 22:17:46;WesleyLowery;Swept up in chaos, innocent man accused in Quebec terror attack https://t.co/iJMU8K673i
2017-01-31 18:21:05;WesleyLowery;wapo 2017 fatal police shooting database - still tracking and updating in real time https://t.co/UaWbO07mWx
2017-01-31 17:02:51;WesleyLowery;@DamianKairon @redsteeze @SethAMandel @washingtonpost why am i tagged in this?
2017-01-31 16:49:01;WesleyLowery;never should have lied on Kanye and picked that fight with Nicki https://t.co/e7JKaNBUp1 https://t.co/NetEEQD3up
2017-01-31 16:05:26;WesleyLowery;"RT @wpjenna: The tale of a Trump falsehood: How his voter fraud claim spread like a virus. 
https://t.co/4yVK0jeHpH https://t.co/dekL1O5sXX"
2017-01-31 15:41:29;WesleyLowery;"@dogunderwater @SallyQYates yeah, although has declared it inactive - opening door for an imposter ""personal account"""
2017-01-31 15:37:42;WesleyLowery;"@TMannWSJ yeah, that stood out to me too. Would be quite something for her to declare herself ""former AG"""
2017-01-31 15:35:54;WesleyLowery;this account @iamSallyYates, picking up 10s of thousands of followers, seems fake (unverified, rampant grammar/so errors, etc)
2017-01-31 04:13:18;WesleyLowery;@jaillilwayne @gabrielmalor that it inaccurately presented her quote, which I acknowledged
2017-01-31 03:54:20;WesleyLowery;RT @abbydphillip: Mostly silence from R's tonight. But Cruz speaks out to defend Trump https://t.co/hpp20fq5wY
2017-01-31 03:52:05;WesleyLowery;@justkarl @gabrielmalor sure. fwiw my inbox is always open for constructive non personal attack critiques
2017-01-31 03:43:15;WesleyLowery;@CokeBlackstone @justkarl @gabrielmalor thanks
2017-01-31 03:36:35;WesleyLowery;@justkarl @gabrielmalor I know exactly who he is, did prior. And none of this has to do with your continued ad hominems
2017-01-31 03:32:53;WesleyLowery;"@justkarl @gabrielmalor are you his mother? I responded in same tone as his, then went back &amp; forth on content, offered further convo"
2017-01-31 03:28:50;WesleyLowery;@justkarl @gabrielmalor by engaging, admitting error and offering further dialogue while being maligned by bad faith partisans? Yep
2017-01-31 03:25:52;WesleyLowery;"@justkarl @gabrielmalor you sent your ad hominem one minute before I sent that, I didn't ""lead"" - he started the interaction"
2017-01-31 03:21:36;WesleyLowery;@justkarl @gabrielmalor responded by engaging the critique, and admitting error (but ad hominems are fun, too)
2017-01-31 03:19:16;WesleyLowery;@PeteinWI @gabrielmalor yep, that's it (great, kind followers you've got Gabe)
2017-01-31 03:14:36;WesleyLowery;"@jadler1969 you're right. What do you make of her obligation/(does she have) to defend order of questionable (""unsure"") lawfulness?"
2017-01-31 03:09:11;WesleyLowery;@AnnMarieZ88 much easier to have a civil convo when you approach civilly. Have a good night
