timestamp;sn;text
2017-01-27 02:24:20;williebosshog;Fixing to go LIVE on @TuckerCarlson  on @FoxNews https://t.co/3jefKLwpz8
2017-01-27 02:20:32;williebosshog;About to be on https://t.co/S8xSbNYJ4f
2017-01-24 16:52:39;williebosshog;RT @onekngdm: I know a guy... #philrobertson https://t.co/FEZCxGNWDr https://t.co/XuddnRLvW3
2017-01-19 01:52:02;williebosshog;New Duck Dynasty in 10 minutes!
2017-01-14 22:05:45;williebosshog;RT @ThePlayersParty: We're excited to have @williebosshog appearing at The Players Party 2017. Get your tickets here: https://t.co/tg4XF2Ft…
2017-01-10 15:38:12;williebosshog;"Excited to join my friends from Texas at Black Tie &amp; Boots in DC on Jan 19th. Incredible event celebrating the Inauguration.Hope to see you!"
2017-01-05 03:02:18;williebosshog;"Going Siral on A&amp;E now!"
2017-01-05 00:21:59;williebosshog;NEW DD AND GOING SIRAL TONIGHT!
2016-12-22 03:02:27;williebosshog;Going Siral Now!
2016-12-22 00:42:27;williebosshog;Who all is tuning in to new Duck Dynasty and Going Siral tonight?
2016-12-15 02:30:22;williebosshog;Now time for Going Siral!
2016-12-15 02:23:41;williebosshog;Join the #onesquad and help out in Uganda. Proud of @bosshogswife @sadierob @John316Luke923 https://t.co/de19bOvukF
2016-12-15 02:18:52;williebosshog;That's a good assistant https://t.co/22f8JXYTWG
2016-12-15 02:13:14;williebosshog;Sorry @JepDuckman you lose
2016-12-15 02:07:08;williebosshog;Of course I will https://t.co/3EFbyS42jA
2016-12-15 02:06:51;williebosshog;RT @JaseDuckman: New @DuckDynastyAE  is on now.  Hunting and Hope are two of the main themes.
2016-12-15 01:59:47;williebosshog;Duck Dynasty now!
2016-12-14 23:51:37;williebosshog;New Duck Dynasty and Going Siral tonight!
2016-12-09 17:20:42;williebosshog;Next week I'm talking to farmers about family business at Farmer2Farmer in Omaha, Join me #f2f16 https://t.co/EqiVtbeal2
2016-12-08 03:05:16;williebosshog;Hope everyone enjoyed Duck Dynasty and Going Siral tonight!
2016-12-08 02:46:02;williebosshog;"""You know your an idiot when you play with fireworks and end up with pink eye""
-Si Robertson"
2016-12-08 02:31:10;williebosshog;Going Siral Now
2016-12-08 02:18:55;williebosshog;My bearded friend Cadillac did not make the points I needed him too.
2016-12-08 02:08:24;williebosshog;@westodd_gigem your dad is a smart man
2016-12-08 02:05:06;williebosshog;That car is sweet
2016-12-08 00:18:23;williebosshog;New Duck Dynasty and Going Siral tonight!
2016-12-01 02:36:11;williebosshog;@blake_kennedyy Si says so
2016-12-01 02:31:13;williebosshog;Going Siral now!
2016-12-01 01:57:13;williebosshog;New Duck Dynasty and Going Siral starts in 3 minutes! Get to a TV now
2016-11-30 22:13:50;williebosshog;Oh boy https://t.co/o8KbtoJXhO
2016-11-29 02:49:05;williebosshog;https://t.co/zfVG57IzjZ
2016-11-24 01:07:19;williebosshog;Who is watching new episodes of Duck Dynasty and Going Siral tonight?
2016-11-23 20:34:24;williebosshog;Like our show?  Help us win Fan Favorite! Go to https://t.co/7WSIyZwjtb to vote! #BuckCommander @Buck_Commander https://t.co/FzdibzTWxz
2016-11-22 23:56:43;williebosshog;"Ducks Bucks and now turkeys. Just in time for Thanksgiving!
Check out https://t.co/5gTecWCSKO https://t.co/ttBApOZimz"
2016-11-18 22:58:57;williebosshog;@Jake_Q_7 on way
2016-11-18 20:49:46;williebosshog;Alabama! Gonna be @PagePalette in Fairhope at 5pm signing my new book #AmericanFisherman @WmMorrowBks https://t.co/xS0QsNz2Og
2016-11-17 17:14:02;williebosshog;"No im not singing

I'm signing books 

But hey my Christmas songs are pretty good https://t.co/cXiO3352nc"
2016-11-17 16:55:53;williebosshog;Ill be home singing #AmericanFisherman @booksamillion tonight at 7pm in Monroe. Come see me @WmMorrowBks https://t.co/xS0QsNQEcQ
2016-11-17 03:46:42;williebosshog;RT @seanhannity: Don’t miss Duck Dynasty’s @williebosshog who is here on set NEXT! #Hannity
2016-11-17 03:09:33;williebosshog;Also on Hannity tonight talking #AmericanFisherman https://t.co/O6A9ueOLD4
2016-11-17 03:02:12;williebosshog;Hope yall enjoyed Going Si-Ral tune in next week! https://t.co/oQy86RR11F
2016-11-17 02:49:47;williebosshog;Thanks to everyone for the past 5 years! They've been awesome! This last season will be great! https://t.co/X8RznBA6gT
2016-11-17 02:40:57;williebosshog;RT @bosshogswife: Well the news is out! This is our final season of @DuckDynastyAE Its been a blast! We are so grateful for y'alls love and…
2016-11-17 02:30:55;williebosshog;RT @DuckDynastyAE: Uncle Si is working hard at #GoingSiral. And, that's a fact, Jack! https://t.co/GrDuHRgqry
2016-11-17 02:30:42;williebosshog;GOING SIRAL PREMIERE NOW!!!
2016-11-17 02:06:07;williebosshog;@amdd6894 👍🏼
2016-11-17 02:05:48;williebosshog;RT @MikeSalter: @williebosshog @bosshogswife don't be silly, elect Willie!
2016-11-17 01:59:22;williebosshog;"Here we go! Tune to A&amp;E now!"
2016-11-17 01:38:43;williebosshog;RT @DuckDynastyAE: Quack Quack! This wait has our heads spinning. Don't fret, Jack. Just one more hour until the big #DuckDynasty announcem…
2016-11-17 00:19:03;williebosshog;RT @sadierob: y'all ready for this? It's going to be hilarious 😂  #GoingSiral premieres tonight after #DuckDynasty at 9/8c https://t.co/Fc2…
2016-11-16 23:32:30;williebosshog;"RT @williebosshog: Tonights the night GOING SI-RAL begins. Be sure to tune in cause we have a big announcement to make
#goingsiral https://…"
2016-11-16 21:27:11;williebosshog;"Tonights the night GOING SI-RAL begins. Be sure to tune in cause we have a big announcement to make
#goingsiral https://t.co/ynu7fGN4aG"
2016-11-16 16:59:27;williebosshog;TONIGHT! Who's ready? https://t.co/JZ3yGTp3Oo
2016-11-16 16:05:54;williebosshog;"RT @Duck_Commander: Get your FREE tea cup &amp; bandana and watch Si-Ral tonight after @DuckDynastyAE! CODE: SIRAL - https://t.co/SWkT3OffX3 ht…"
2016-11-16 15:18:09;williebosshog;New Jersey! I'll be at @BookendsNJ in Ridgewood tonight at 7 signing my new book #AmericanFisherman @WmMorrowBks https://t.co/xS0QsNz2Og
2016-11-16 03:18:26;williebosshog;RT @bosshogswife: Celebrating #worldadoptionday Thankful for how adoption has made our family! Love that this is a thing! Thanks @HankForte…
2016-11-15 18:37:24;williebosshog;Tonight come out to @HudsonUnionNY at 7pm to celebrate my new book #AmericanFisherman from @WmMorrowBks https://t.co/xS0QsNz2Og
2016-11-15 15:24:51;williebosshog;Todays the day American Fisherman hits shelfs! Get you a copy! https://t.co/x1hOIBPyZI
2016-11-15 00:01:37;williebosshog;"RT @foxandfriends: ICYMI: @williebosshog talks President-elect Trump victory and new book ""The American Fisherman"" https://t.co/Be6t9PosGI…"
2016-11-14 14:37:36;williebosshog;RT @ainsleyearhardt: Look who is here. @williebosshog telling us about his new book @FoxNews @foxandfriends https://t.co/ljIFpS6XWz
2016-11-12 14:13:34;williebosshog;Headed to the @NOLAbookfest today to sign some copies of American Fisherman. Come see me
2016-11-11 23:15:57;williebosshog;Happy Veterans Day! Thankful to uncle si and all those who served. On @oreillyfactor tonight talking about my new book American Fisherman
2016-11-08 14:18:52;williebosshog;RT @Duck_Commander: We want to encourage everyone to get out and VOTE this election. 🇺🇸 Get a free hat w/ code: IVOTED online at https://t.…
2016-11-07 20:01:26;williebosshog;Help support our Veterans!! Show your support by lighting up social media today #GreenlightAVet #ad Visit: https://t.co/4hNgNfZviJ
2016-11-05 20:01:49;williebosshog;Anyone got any predictions for LSU Alabama? #GeauxTigers
2016-11-05 18:24:37;williebosshog;RT @bosshogswife: Willie and I want to invite you to Sunday with Friends at the West Monroe Auditorium this Sunday… https://t.co/z9b1j6t4H5
