timestamp;sn;text
2017-02-01 01:42:38;Yamiche;"RT @sahilkapur: SCHUMER says he has ""very serious doubts"" about Gorsuch for SCOTUS and will demand a 60-vote threshold to confirm. https://…"
2017-02-01 01:42:16;Yamiche;RT @WSJ: State Department received formal dissent by hundreds of officials protesting Trump’s refugee and immigration order https://t.co/Cb…
2017-02-01 01:40:00;Yamiche;"RT @kylegriffin1: Chuck Schumer: ""Judge Gorsuch has repeatedly sided with corporations over working people, demonstrated a hostility toward…"
2017-02-01 01:20:27;Yamiche;RT @robyoon: In the last 50 yrs, it took about 70 days for #SCOTUS picks to get from announcement of nomination to final Senate confirmatio…
2017-02-01 01:18:44;Yamiche;Democrats are going to face  pressure from their base to filibuster Neil Gorsuch but they'll also have to balance keeping heat on the ban
2017-02-01 01:16:32;Yamiche;"RT @imillhiser: Gorsuch voted against birth control in the Hobby Lobby case. Yes, THAT Hobby Lobby case.

https://t.co/LAJgeN82b8"
2017-02-01 01:16:12;Yamiche;As TMZ is shifting gears tonight with this. https://t.co/XxKyW46Vtt
2017-02-01 01:15:33;Yamiche;RT @michaelhayes: NRA applauds Trump's pick #Gorsuch https://t.co/ZEV8jghDJB
2017-02-01 01:15:23;Yamiche;"Tonight is a big part of Trump's win. Evangelicals and many women told  me that they would over look his ""crass"" nature bc of Supreme Court."
2017-02-01 01:13:20;Yamiche;RT @tamaragitt: protestors performing civil disobedience blocking traffic outside Trump Tower https://t.co/W6UAXrNZ95
2017-02-01 01:11:37;Yamiche;"RT @frates: Here's what you need to know about Gorsuch from the experts, Denver Post reporters @mkmatthews + @kirkmitchell 

 https://t.co/…"
2017-01-31 23:42:54;Yamiche;FACT CHECK: 721 People (Not 109) Were Denied Entry Under Trump Ban https://t.co/Vn8MtexZ4M
2017-01-31 22:49:13;Yamiche;RT @NolanDMcCaskill: .@jaketapper with a remarkable 2-minute fact-check on @PressSec https://t.co/GGjQ21GMUb
2017-01-31 20:17:50;Yamiche;Wow. Family of Syrians Deported From Philadelphia Voted for Donald Trump https://t.co/wCDpFQQlln via @nbcphiladelphia
2017-01-31 19:01:34;Yamiche;"RT @BraddJaffy: ""That's not a ban,"" White house press secretary Sean Spicer just said moments ago https://t.co/8Hz9SAofR3"
