timestamp;sn;text
2017-02-01 00:57:13;maxlinsky;RT @jiatolentino: I wrote down my immigrant story, the most American thing https://t.co/Gr8p6Y81NJ https://t.co/a6jawFB4Bl
2017-01-31 01:36:16;maxlinsky;RT @pineapplemedia: Working on a new show hosted by the perfect amazing @janetmock https://t.co/9AIA1GkvUZ
2017-01-30 18:46:41;maxlinsky;This might just me but I really feel like it would have been better if Hillary Clinton had won the 2016 presidential election.
2017-01-30 15:51:44;maxlinsky;This is going to be one of those things where as soon as you hear it you’ll realize you’ve been waiting for it fore… https://t.co/r5ZdOzRous
2017-01-30 14:33:34;maxlinsky;Also: Bill Belichick's grandparents immigrated from Croatia, arrived w/o knowing a word of English. Settled in Western PA, football country.
2017-01-30 14:29:40;maxlinsky;Kerr and Pop have been so good. The sports world has a huge role to play — how many championship teams will refuse… https://t.co/3UV7Y7tNux
2017-01-29 22:15:37;maxlinsky;"RT @williamjordann: Days until achieving MAJORITY disapproval from @Gallup

Reagan: 727
Bush I: 1336
Clinton: 573
Bush II: 1205
Obama: 936…"
2017-01-28 01:37:51;maxlinsky;Take him seriously. Take him literally. Fight.
2017-01-27 17:13:45;maxlinsky;"RT @megreenwell: i keep getting asked for recs, so i want to try to help people who don't feel ""connected"": if you are looking for an editi…"
2017-01-27 15:34:05;maxlinsky;@cmonstah Thank you for this, Carolina. Point is very well taken.
2017-01-26 00:55:45;maxlinsky;Correction: He’s making sweeping, disastrous policy decisions based on some shit he MISHEARD at a party one time
2017-01-26 00:52:40;maxlinsky;Our president is making sweeping, disastrous policy decisions based on some shit he heard at a party one time https://t.co/XTjfGN4ONj
2017-01-25 21:41:35;maxlinsky;RT @aaronlammer: I talked to the Russian journalist Alexey Kovalev this week on Longform Podcast. https://t.co/pnVB76sbuD
2017-01-25 03:54:23;maxlinsky;It's somehow even worse than we thought.
2017-01-25 03:38:39;maxlinsky;"RT @jennydeluxe: Thinking about who opted out of the women's march -- and why -- is more important than who did go. My latest &gt;&gt; https://t.…"
2017-01-22 03:22:09;maxlinsky;RT @bentaub91: @maxlinsky that's from Genesis, right?
2017-01-22 01:44:59;maxlinsky;"Day 1: Tell small crowd their nation is a land of carnage
Day 2: Lie about small crowd while huge crowd protests you
Day 3: Take the day off"
2017-01-21 19:40:07;maxlinsky;"RT @HillaryClinton: Thanks for standing, speaking &amp; marching for our values @womensmarch. Important as ever. I truly believe we're always S…"
2017-01-21 18:30:50;maxlinsky;This is beautiful
2017-01-21 15:42:03;maxlinsky;With her and her and her and her and her and her and her and her and her and her and her and her and her and her and her and her and her and
2017-01-21 14:33:22;maxlinsky;Keep having this fantasy that Hillary and Barack and Michelle will be out there today.
2017-01-20 18:53:43;maxlinsky;This is real.
2017-01-20 14:28:47;maxlinsky;"… if we have the courage to reach for it, and to work for it, and to fight for it.

- Barack Obama, Jan 3 2008"
2017-01-20 14:28:23;maxlinsky;Hope is that thing inside us that insists, despite all evidence to the contrary, that something better awaits us…
2017-01-20 14:28:05;maxlinsky;It's not sitting on the sidelines or shirking from a fight.
2017-01-20 14:27:43;maxlinsky;It's not ignoring the enormity of the task ahead or the roadblocks that stand in our path.
2017-01-20 14:27:27;maxlinsky;Hope is not blind optimism.
2017-01-19 02:25:01;maxlinsky;"RT @theotherSeanD: From @JeffSharlet's awesome interview on @longformpodcast 
https://t.co/OGdlKEBgRw https://t.co/4FNnD7saAq"
2017-01-19 00:40:50;maxlinsky;"“The performance he gave in the role of president of the United States was flawless.”

@Wesley_Morris on Obama: https://t.co/nqh2ofQHCE"
2017-01-18 23:27:32;maxlinsky;"RT @ev_rat: New @longformpodcast: Much wisdom from @JeffSharlet on covering religion, chasing monsters, &amp; escaping the darkness: https://t.…"
2017-01-18 16:18:21;maxlinsky;"RT @longform: “I like the stories about people who are dismissed as monsters.” 

Longform Podcast #228: @JeffSharlet — https://t.co/TmwilHH…"
2017-01-16 13:01:39;maxlinsky;"RT @Amy_Siskind: Experts in authoritarianism advise to keep a list of things subtly changing around you, so you'll remember.
Week 9: https:…"
2017-01-11 18:08:50;maxlinsky;I really enjoyed this one, learned a ton. Great interview by @aaronlammer https://t.co/HbVw75MGnN
2017-01-11 02:43:15;maxlinsky;Show up.
2017-01-08 16:44:53;maxlinsky;RT @longform: Previously: A.J Daulerio on the Longform Podcast https://t.co/7VnOqKUlFP https://t.co/wBL0WBxL8d
2017-01-07 02:03:50;maxlinsky;RT @aaronlammer: If you’re looking to get your work in front of the CIA and NSA, we’re booking now! editors@longform.org
2017-01-06 22:20:13;maxlinsky;Well this is wild. @adrianchen telling me about how Russian trolls were support trump is in the declassified DNI re… https://t.co/ggfUHsFXYj
2017-01-06 15:01:32;maxlinsky;Rare footage of me and @wbjenna trying to build a recording studio https://t.co/5SEmHUkaQJ
2017-01-06 00:32:11;maxlinsky;@sbcsays @nprfreshair hey thank you Sara Brooke Curtis!
2017-01-05 15:42:39;maxlinsky;RT @edyong209: There really can't be any doubt that @jmooallem is one of the greatest writers working today. https://t.co/kPelwTN1nc
2017-01-05 04:03:35;maxlinsky;@lmrow @longformpodcast played it cool yet again!!
2017-01-05 01:41:01;maxlinsky;@lmrow @longformpodcast mine too...
2017-01-04 18:46:50;maxlinsky;I interviewed Terry Gross about interviewing and it was the most fun I have had in a long time https://t.co/MjrablQ8pv
2017-01-02 23:09:53;maxlinsky;I think I might've been dehydrated for all of 2016
2017-01-01 12:47:28;maxlinsky;@hani6202 you too
2016-12-31 19:48:17;maxlinsky;What a life. Read this to the end https://t.co/bLNNJ6LMr1
2016-12-31 18:39:56;maxlinsky;This Obama interview with @davidaxelrod gave me a first slight glimmer of hope. My god are we gonna miss this guy https://t.co/CTHQBWU77c
2016-12-31 17:21:58;maxlinsky;I see your dad hat and raise you this https://t.co/wdBe8MsXn8
2016-12-30 16:45:52;maxlinsky;"RT @Wesley_Morris: New Still Processing: ""That's all it was Kanye. We still love Kanye.
And I love you like Kanye loves Kanye."" https://t.c…"
2016-12-30 00:46:15;maxlinsky;@andrew_mcmillen ha i’m glad you liked that one, since i asked it about 300 times in that interview
2016-12-29 14:48:00;maxlinsky;So... a restaurant https://t.co/aXPSsaSRfr
2016-12-29 03:39:34;maxlinsky;@elongreen @whet 🍹🍹🍹
2016-12-29 03:32:54;maxlinsky;@elongreen take er easy!
2016-12-24 19:44:08;maxlinsky;"Holidays with family, 2016

1. Nobody wants to talk about Trump
2. Someone talks about Trump
3. Lots of yelling
4. Silence
5. Repeat"
2016-12-24 19:04:18;maxlinsky;CMON YOU CLEVELAND BROWNS CMON
2016-12-24 18:51:25;maxlinsky;RT @nytimes: Still Processing gets into the list-making game with the best moments of 2016 from @jennydeluxe and @wesley_morris https://t.c…
2016-12-22 23:32:58;maxlinsky;@nomizeichner real good https://t.co/6Nu94m1mXI
2016-12-22 00:01:46;maxlinsky;RT @tanehisicoates: Mutual. I want a life-time pass to @longformpodcast @ev_rat https://t.co/cmmeLljFwZ
2016-12-21 18:38:38;maxlinsky;Here’s the latest installment, our last episode of 2016. It’s wonderful https://t.co/S6JfitDtD5
2016-12-21 18:38:06;maxlinsky;One of the most special things about the Longform Podcast is this ongoing, years-long conversation between @tanehisicoates and @ev_rat
2016-12-20 15:42:29;maxlinsky;Wonder how different a list of the 16 most-read-to-the-end stories would look https://t.co/F7QDz0o2Pp
2016-12-20 14:36:43;maxlinsky;@stevekandell @michelledean that was a fun google search, well done
2016-12-20 14:32:22;maxlinsky;It’s weird and pretty unfortunate that the word “earnest” has become an insult
2016-12-19 16:25:59;maxlinsky;I am deeply in favor of any list that includes Beyoncé, The Rock and @WBJenna — https://t.co/wxkBn688fJ
2016-12-18 15:02:37;maxlinsky;"RT @longform: Longform’s Best of 2016

#1 “My Four Months as a Private Prison Guard” by @Shane_Bauer in @MotherJones https://t.co/X4QtqzVrk…"
2016-12-18 15:02:33;maxlinsky;"RT @longform: Longform’s Best of 2016

#2 “The Mastermind” by @ev_rat in @atavistmag https://t.co/u7PyPNCe0x https://t.co/IaV1SU5PWg"
2016-12-18 15:02:31;maxlinsky;"RT @longform: Longform’s Best of 2016

#3 “The Old West’s Muslim Tamale King” by @kathrynschulz in @NewYorker https://t.co/05qcL35qXd https…"
2016-12-18 15:02:28;maxlinsky;"RT @longform: Longform’s Best of 2016

#4 “The Mysterious Metamorphosis of Chuck Close” by Wil S. Hylton in @NYTmag  https://t.co/OO20d0eL5…"
2016-12-18 15:02:25;maxlinsky;"RT @longform: Longform’s Best of 2016

#5 “Interview With a Woman Who Recently Had an Abortion at 32 Weeks” @jiatolentino/@Jezebel https://…"
2016-12-18 15:02:23;maxlinsky;"RT @longform: Best of 2016

#6 “Dee Dee Wanted Her Daughter to Be Sick, Gypsy Wanted Her Mom Murdered”  @michelledean /@buzzfeed  https://t…"
2016-12-18 15:02:14;maxlinsky;"RT @longform: Longform’s Best of 2016

#7 “The White Flight of Derek Black” by @elisaslow in @washingtonpost https://t.co/wm9CitA94b https:…"
2016-12-18 15:02:11;maxlinsky;"RT @longform: Longform’s Best of 2016

#8 “The Last Taboo” by @Wesley_Morris in @NYTmag https://t.co/gWAQjypo3g https://t.co/gY3oLos1Mj"
2016-12-18 15:00:50;maxlinsky;RT @DavidGrann: The top ten narrative nonfiction stories of the year--chosen by @longform. There are great and memorable ones: https://t.co…
2016-12-18 13:44:24;maxlinsky;RT @SoxSquad: Francis @andthelights✨ ladies and gentlemen with the assist! https://t.co/XLdXN47LS1
2016-12-17 22:36:13;maxlinsky;"In related breaking news, excited to announce the email dad said ""just disappeared!!!"" was in his archive folder cc @nytimes @washingtonpost"
2016-12-17 22:30:41;maxlinsky;Hi dad
2016-12-17 22:30:05;maxlinsky;Just found out my dad gets an email alert every time I tweet
2016-12-17 00:38:36;maxlinsky;There is no better way to spend 5 minutes than considering all the things with @nprAudie https://t.co/HamP45wfza
2016-12-15 22:07:36;maxlinsky;RT @jennydeluxe: THIS IS NOT A DRILL! STILL PROCESSING x ANOTHER ROUND YAWL https://t.co/fKSvhQYKqI https://t.co/njzcXH1bB4
2016-12-15 20:49:52;maxlinsky;Best Conference Call Hold Music of 2016
2016-12-15 19:26:25;maxlinsky;"Here’s @longform’s best of 2016 list: https://t.co/2qDEwe0VV4

And here’s my lazy, haphazard readers’ poll! What did we miss?"
2016-12-15 18:04:23;maxlinsky;RT @aaronlammer: @maxlinsky https://t.co/MDpqttN13L
2016-12-15 17:54:47;maxlinsky;One of the great joys in my life is sharing an email address with @aaronlammer https://t.co/wBB4Mtkf9x
2016-12-15 17:16:48;maxlinsky;Thanks to everyone who wrote articles I loved this year and to everyone at @longform who put this together. Bye 2016 https://t.co/2qDEwe0VV4
2016-12-15 16:46:37;maxlinsky;".@jennydeluxe + @Wesley_Morris +  @heavenrants + @brokeymcpoverty + @ezraedelman + @BillSimmons = fun as all hell

https://t.co/Z3Dgaqvlni"
2016-12-15 01:12:10;maxlinsky;RT @huahsu: thx 2 @longform + @aaronlammer 4 allowing me to drone on about my book, AZNs, writing takes/criticism, california https://t.co/…
2016-12-15 00:44:31;maxlinsky;"Every year we’ve done @longform the most popular stories have always been about murder and sex. 

In 2016, they were about disappearing."
2016-12-14 22:53:04;maxlinsky;"@ev_rat I dunno ""Doof Linsky"" is pretty strong"
2016-12-14 22:01:20;maxlinsky;Update for you kind folks who’ve asked if I’m feeling better: I just wrote “doof” instead of “food” in an email then signed it “Ax Linsky”
2016-12-14 20:20:34;maxlinsky;Agriculture Secretary looks promising https://t.co/xVpRlXIzac
2016-12-14 00:10:55;maxlinsky;"Q train. 2 men, 80s, arguing about who has the better sofa

""What did you pay tho, huh? A FORTUNE!""

""Who cares, your couch feels like ass."""
2016-12-13 23:24:20;maxlinsky;"RT @pineapplemedia: So pleased that #stillprocessing &amp; @MakingGayHistry made @ELLEmagazine's top 10 along with some other greats https://t.…"
2016-12-13 19:29:17;maxlinsky;"“It’s not my place to be cynical.” 

@bentaub91 talks to @ev_rat about covering the Syrian War: https://t.co/h7XbPOomH8"
2016-12-13 19:26:54;maxlinsky;My favorite @longform podcast of 2016 was also @nwquah’s: https://t.co/566LB5HTAK
2016-12-13 15:04:26;maxlinsky;We are being trolled.
2016-12-12 01:51:32;maxlinsky;@aaronlammer holy shit german car commercials are bananas
2016-12-11 22:26:35;maxlinsky;"Kid: I want to drive
Me: that's a terrible idea
Kid: I WANNA DRIVE I WANNA DRIVE
Me: I really think you'd be bad at it
Kid: I want ice cream"
2016-12-10 03:13:39;maxlinsky;The whole thing about a con is that it only has to last long enough to pay out.
2016-12-10 00:57:42;maxlinsky;@lpolgreen @WBJenna please teach us how to be grownups
2016-12-10 00:27:09;maxlinsky;@WBJenna 👔👔💼💼
2016-12-08 20:04:27;maxlinsky;@aminatou @bradfordpearson yup
2016-12-08 19:33:12;maxlinsky;RT @WBJenna: Lena talks to the incredible Geneva Reed-Veal, mother of Sandra Bland, in this episode of #womenofthehour https://t.co/Rgt47oW…
2016-12-07 23:59:07;maxlinsky;RT @ev_rat: New @longformpodcast: I talked to the great @carlzimmer about boundless curiosity, Trump-age science writing + more: https://t.…
2016-12-07 22:36:42;maxlinsky;@eleanorkagan @WBJenna so sly too
2016-12-07 21:31:21;maxlinsky;@lexfri indeed
2016-12-07 20:16:49;maxlinsky;Found the title of my airport business book https://t.co/L9kXvauC4U
2016-12-06 21:21:17;maxlinsky;.@aaronlammer’s unforgettable interview with AJ Daulerio is gonna make a lot of best of the year lists Here’s @bw’s https://t.co/G2MaC1orWC
2016-12-06 15:15:39;maxlinsky;Goldman Sachs stock is up 25% since Election Day.
2016-12-05 14:10:19;maxlinsky;2016, aka the year we played ourselves. https://t.co/fnJV6uHm8Y
2016-12-03 19:47:28;maxlinsky;Lonzo Ball is a stupendous basketball name
2016-12-03 04:52:57;maxlinsky;@jiatolentino she definitely has no shame that's for sure
2016-12-03 04:29:16;maxlinsky;Just challenged my dog to a weight loss contest
2016-12-03 00:09:45;maxlinsky;https://t.co/y7bLth52q1
2016-12-01 22:30:13;maxlinsky;@SteveKandell bunch it's rush hour
2016-12-01 22:26:24;maxlinsky;@MrGordian you seemed like you wanted to be alone man
2016-12-01 22:25:02;maxlinsky;"Man, 30s, walking quick on a crowded sidewalk, hands in coat pockets. Stops suddenly. Stands still. Then, quietly: ""Donald. Fucking. Trump."""
2016-12-01 20:49:46;maxlinsky;@jazzedloon https://t.co/vlYr0OjMBY
2016-12-01 20:23:50;maxlinsky;I wrote the forward to this book https://t.co/l22HD6ZGvB
2016-12-01 16:53:04;maxlinsky;RT @Wesley_Morris: Fun fun fun: Still Processing becomes Prince Movies for a bit w/ @PAPPADEMAS while @jennydeluxe seduces Africa: https://…
2016-12-01 15:26:14;maxlinsky;"RT @cwarzel: ""if we can discredit the messenger we don't have to engage with the message at all"" - @WesleyLowery's pod was good https://t.c…"
2016-12-01 01:19:47;maxlinsky;@lizzieohreally you would not be saying that if you could see me defending her right to eat in peace
2016-12-01 00:52:57;maxlinsky;Got a cat last week and now I’m my dog’s bodyguard
2016-11-30 19:37:20;maxlinsky;RT @longform: Longform Podcast #222: @WesleyLowery, national reporter for @washingtonpost and author of “They Can’t Kill Us All” https://t.…
2016-11-29 23:37:00;maxlinsky;@jessicagross not sure repeatedly describing yourself as scrambled eggs counts as energetic, but the trust your gut takeaway is def true
2016-11-29 00:42:53;maxlinsky;This is our great mistake
2016-11-27 22:31:30;maxlinsky;He's not even in office yet.
2016-11-26 16:26:47;maxlinsky;Only been in the Brooklyn Botanical Gardens for 20 minutes and already overheard like 7 New Yorker cartoons
2016-11-25 01:51:35;maxlinsky;@fromedome I am all in let's do this
2016-11-25 01:29:16;maxlinsky;@noahedavis practically v difficult, spiritually v similar
2016-11-25 01:26:28;maxlinsky;My best sport is dishwashing
2016-11-24 02:51:09;maxlinsky;@nwquah sister named Dot
2016-11-24 02:50:12;maxlinsky;@nwquah I just got a cat yesterday and it is your cat https://t.co/eTaNnMDB7F
2016-11-24 02:32:52;maxlinsky;@max_read TrumpTV
2016-11-24 02:29:00;maxlinsky;@max_read they should deliver them as videos
2016-11-24 02:24:13;maxlinsky;"Reasons you would avoid intelligence briefings after being elected president:

1. Fear
2. Apathy
3. Denial
4. Terrifying mix of all three"
2016-11-24 00:58:21;maxlinsky;@magiciansbook @bartona104 oh no doubt, but looking at this thing has made me feel existentially terrible for years
2016-11-24 00:48:11;maxlinsky;You know what's not relaxing anymore? Sitting down to read the paper.
2016-11-23 19:14:13;maxlinsky;@nkbialoglowski @andthelights i like when you guys talk here
