name,screen_name
Senator Tim Kaine,timkaine
President Obama,POTUS
Mark Cuban,mcuban
Demi Lovato,ddlovato
GOP,GOP
shonda rhimes,shondarhimes
Hillary en español,Hillary_esp
Joe Biden,JoeBiden
Andrew Jenks,AndrewJenks
John Lewis,repjohnlewis
Jason Collins,jasoncollins98
Madeleine Albright,madeleine
The Atlantic,TheAtlantic
Chad Griffin,ChadHGriffin
Hardball,hardball
Ezra Klein,ezraklein
Alicia Machado,machadooficial
Official Team Trump,TeamTrump
The Briefing,TheBriefing2016
Daniel Scavino Jr.,DanScavino
Ben Smith,BuzzFeedBen
Mitt Romney,MittRomney
Washington Post,washingtonpost
one Vox,oneVoxdotcom
Vox,voxdotcom
Kellyanne Conway,KellyannePolls
The New York Times,nytimes
Military Times,MilitaryTimes
IGNITE National,IGNITE_National
Enquirer,Enquirer
Ted Cruz,tedcruz
Washington Examiner,dcexaminer
Every Voice,EveryVoice
Los Angeles Times,latimes
Rachael Gass,RachaelGass
Funny Or Die,funnyordie
Young PwD 4 Hillary,YoungPwD4HRC
Hillary for America,HFA
Elizabeth Plank,feministabulous
Good Morning America,GMA
David Fahrenthold,Fahrenthold
Senator Harry Reid,SenatorReid
The White House,WhiteHouse
Hillary for Ohio,HillaryforOH
Bernie Sanders,BernieSanders
Rev. Dr. Barber,RevDrBarber
George Takei,GeorgeTakei
Mic,mic
Clinton Foundation,ClintonFdn
Bernie Sanders,SenSanders
Eric Trump,EricTrump
Jorge_Silva,Jorge_Silva
Kirsten Gillibrand,SenGillibrand
Evan McMullin,Evan_McMullin
Tom Joyner,TJMShow
Library of Congress,librarycongress
Sophia Bush,SophiaBush
Jennifer Jacobs,JenniferJJacobs
Marc E. Elias,marceelias
Laura Rosenberger,rosenbergerlm
Twitter Moments,TwitterMoments
Kurt Eichenwald,kurteichenwald
Newsweek,Newsweek
Lou Dobbs,LouDobbs
Ivanka Trump,IvankaTrump
CNBC Opinion,CNBCopinion
Laura Seay,texasinafrica
College Democrats,CollegeDems
TIME,TIME
Tyler Oakley,tyleroakley
Barack Obama,BarackObama
U.S. News Opinion,USNewsOpinion
Business Insider,businessinsider
Mike Schmidt,mikereedschmidt
NowThis,nowthisnews
Brian Fallon,brianefallon
Ben White,morningmoneyben
Hillary Clinton,HillaryClinton
BuzzFeed,BuzzFeed
Dallas Morning News,dallasnews
Sara Jacobs,sarajacobs89
Liz Romanoff Silva,LizRomanoff
Slate,Slate
John Podesta,johnpodesta
Reuters Politics,ReutersPolitics
Ann Coulter,AnnCoulter
Hillary for Arizona,HillaryforAZ
RSBN TV,RSBNetwork
DRUDGE REPORT,DRUDGE_REPORT
Sara Solow,sarasolow
Jamil Smith,JamilSmith
Yahoo News,YahooNews
Zerlina Maxwell,ZerlinaMaxwell
Fox News,FoxNews
Hillary for Utah,HillaryforUT
Yamiche Alcindor,Yamiche
Hillary for Georgia,HillaryForGA
Morning Joe,Morning_Joe
Paul Begala,PaulBegala
Justin Timberlake,jtimberlake
U.S. Postal Service,USPS
Maria Cardona,MariaTCardona
Rhett Buttle,rhettbuttle
refinery29,Refinery29
Hillary for Michigan,HillaryforMI
Michael Shapiro,mpshapiro
Deadspin,Deadspin
Marlon Marshall,MarlonDMarshall
Maya Harris,mayaharris_
Maddow Blog,MaddowBlog
Andra Day,AndraDayMusic
Meredith Walker,meredeetch
WIRED,WIRED
Teen Vogue,TeenVogue
Hillary for Colorado,HillaryforCO
igorvolsky,igorvolsky
