name,screen_name
Jim Hoft,gatewaypundit
CNN,CNN
Chelsea Clinton,ChelseaClinton
Deplorable Scavino,DanScavino
CNBC Now,CNBCnow
Mark Treglio,IAFFTreg
Kyle Griffin,kylegriffin1
Jonathan Murray,jmurray20
John Kasich,JohnKasich
Bill Clinton,billclinton
MSNBC,MSNBC
MO Democratic Party,MoDemParty
Sarah McBride,SarahEMcBride
Piers Morgan,piersmorgan
Chris Murphy,ChrisMurphyCT
Dominic Lowell,dominiclowell
DemConvention,DemConvention
HumanRightsCampaign,HRC
Elizabeth Banks,ElizabethBanks
Wesley Lowery,WesleyLowery
Randi Brazeau,RandiBrazeau
Sam,sjbxtr
Hillary for PA,HillaryforPA
Kelly,klyouell
The Advocate,TheAdvocateMag
Al Gore,algore
Hillary for Florida,HillaryforFL
Sherrod Brown,SherrodBrown
Claire McCaskill,clairecmc
NARAL,NARAL
NPR,NPR
Jeff Flake,JeffFlake
Everytown,Everytown
Barbara Boxer,BarbaraBoxer
Monica Alba,albamonica
ABC News,ABC
Melissa Harris-Perry,MHarrisPerry
Ryan Lizza,RyanLizza
Ryan Graney,RyanEGraney
Literally Trump,literally_trump
CBS Evening News,CBSEveningNews
Lorella Praeli,lorellapraeli
FOX & Friends,foxandfriends
End Citizens United,StopBigMoney
UltraViolet,UltraViolet
Moms Demand Action,MomsDemand
Dan Malloy,DanMalloyCT
Cameron Esposito,cameronesposito
Gavin Newsom,GavinNewsom
Elizabeth Warren,SenWarren
Lessig,lessig
Michael Barbaro,mikiebarb
NAACP,NAACP
Lin-Manuel Miranda,Lin_Manuel
CWA,CWAUnion
Medium,Medium
Austin Hunt,AustinHunt
Gwen Rocco,gwenrocco
Jennifer Palmieri,jmpalmieri
Christina Reynolds,creynoldsnc
Hillary for NC,HillaryforNC
Rana Foroohar,RanaForoohar
Amanda Renteria,AmandaRenteria
Hillary for NH,HillaryforNH
LinkedIn,LinkedIn
Economic Policy Inst,EconomicPolicy
